(-6, -6, 20), [5, 5, 9], 3.11.am_cp_ajs 
(-5, -7, 26), [6, 4, 4], 3.11.am_cu_aky 
(-6, -6, 26), [5, 5, 4], 3.11.am_cv_alc 
(-4, -8, 32), [7, 3, 10], 3.11.am_cx_als 
(-6, -6, 28), [5, 5, 6], 3.11.am_cx_alo 
(-3, -9, 38), [8, 2, 5], 3.11.am_cy_ama 
(-6, -5, 12), [5, 6, 1], 3.11.al_cb_aha 
(-5, -6, 18), [6, 5, 7], 3.11.al_ch_aio 
(-5, -6, 20), [6, 5, 9], 3.11.al_cj_aiy 
(-6, -5, 21), [5, 6, 10], 3.11.al_ck_ajc 
(-4, -7, 25), [7, 4, 3], 3.11.al_cm_aju 
(-6, -5, 23), [5, 6, 1], 3.11.al_cm_ajo 
(-4, -7, 26), [7, 4, 4], 3.11.al_cn_ajy 
(-6, -5, 24), [5, 6, 2], 3.11.al_cn_aju 
(-4, -7, 27), [7, 4, 5], 3.11.al_co_akc 
(-6, -5, 25), [5, 6, 3], 3.11.al_co_aka 
(-6, -5, 27), [5, 6, 5], 3.11.al_cq_akm 
(-4, -7, 29), [7, 4, 7], 3.11.al_cq_akk 
(-4, -7, 30), [7, 4, 8], 3.11.al_cr_ako 
(-6, -4, 6), [5, 7, 6], 3.11.ak_bp_aeu 
(-6, -4, 8), [5, 7, 8], 3.11.ak_br_afg 
(-6, -4, 12), [5, 7, 1], 3.11.ak_bv_age 
(-5, -5, 12), [6, 6, 1], 3.11.ak_bw_ago 
(-6, -4, 13), [5, 7, 2], 3.11.ak_bw_agk 
(-5, -5, 13), [6, 6, 2], 3.11.ak_bx_agt 
(-6, -4, 14), [5, 7, 3], 3.11.ak_bx_agq 
(-5, -5, 14), [6, 6, 3], 3.11.ak_by_agy 
(1, -11, 51), [1, 0, 7], 3.11.ak_bz_ahj 
(-5, -5, 15), [6, 6, 4], 3.11.ak_bz_ahd 
(-6, -4, 16), [5, 7, 5], 3.11.ak_bz_ahc 
(-4, -6, 18), [7, 5, 7], 3.11.ak_cb_ahw 
(-6, -4, 18), [5, 7, 7], 3.11.ak_cb_aho 
(-5, -5, 17), [6, 6, 6], 3.11.ak_cb_ahn 
(-4, -6, 19), [7, 5, 8], 3.11.ak_cc_aia 
(-5, -5, 18), [6, 6, 7], 3.11.ak_cc_ahs 
(-4, -6, 20), [7, 5, 9], 3.11.ak_cd_aie 
(-6, -4, 20), [5, 7, 9], 3.11.ak_cd_aia 
(-4, -6, 21), [7, 5, 10], 3.11.ak_ce_aii 
(-6, -4, 21), [5, 7, 10], 3.11.ak_ce_aig 
(-5, -5, 20), [6, 6, 9], 3.11.ak_ce_aic 
(-3, -7, 25), [8, 4, 3], 3.11.ak_cf_aiv 
(-1, -9, 38), [10, 2, 5], 3.11.ak_cg_ajc 
(-3, -7, 26), [8, 4, 4], 3.11.ak_cg_aiy 
(-6, -4, 23), [5, 7, 1], 3.11.ak_cg_ais 
(-4, -6, 23), [7, 5, 1], 3.11.ak_cg_aiq 
(-3, -7, 27), [8, 4, 5], 3.11.ak_ch_ajb 
(-6, -4, 24), [5, 7, 2], 3.11.ak_ch_aiy 
(-4, -6, 24), [7, 5, 2], 3.11.ak_ch_aiu 
(-4, -6, 25), [7, 5, 3], 3.11.ak_ci_aiy 
(-5, -5, 24), [6, 6, 2], 3.11.ak_ci_aiw 
(-3, -7, 29), [8, 4, 7], 3.11.ak_cj_ajh 
(-1, -9, 41), [10, 2, 8], 3.11.ak_cj_ajf 
(-4, -6, 26), [7, 5, 4], 3.11.ak_cj_ajc 
(-3, -7, 30), [8, 4, 8], 3.11.ak_ck_ajk 
(-2, -8, 36), [9, 3, 3], 3.11.ak_cl_ajo 
(-5, -5, 27), [6, 6, 5], 3.11.ak_cl_ajl 
(-4, -6, 28), [7, 5, 6], 3.11.ak_cl_ajk 
(-6, -3, -2), [5, 8, 9], 3.11.aj_bb_acc 
(-6, -3, -1), [5, 8, 10], 3.11.aj_bc_aci 
(-5, -4, 6), [6, 7, 6], 3.11.aj_bl_aeo 
(-6, -3, 8), [5, 8, 8], 3.11.aj_bl_aek 
(-5, -4, 8), [6, 7, 8], 3.11.aj_bn_aey 
(-6, -3, 10), [5, 8, 10], 3.11.aj_bn_aew 
(2, -11, 51), [2, 0, 7], 3.11.aj_bo_afk 
(-6, -3, 13), [5, 8, 2], 3.11.aj_bq_afo 
(-4, -5, 12), [7, 6, 1], 3.11.aj_br_agc 
(-6, -3, 14), [5, 8, 3], 3.11.aj_br_afu 
(-5, -4, 12), [6, 7, 1], 3.11.aj_br_afs 
(-4, -5, 13), [7, 6, 2], 3.11.aj_bs_agg 
(-6, -3, 15), [5, 8, 4], 3.11.aj_bs_aga 
(-4, -5, 14), [7, 6, 3], 3.11.aj_bt_agk 
(-6, -3, 16), [5, 8, 5], 3.11.aj_bt_agg 
(-4, -5, 15), [7, 6, 4], 3.11.aj_bu_ago 
(-6, -3, 17), [5, 8, 6], 3.11.aj_bu_agm 
(-3, -6, 18), [8, 5, 7], 3.11.aj_bv_ahe 
(-6, -3, 19), [5, 8, 8], 3.11.aj_bw_agy 
(-4, -5, 17), [7, 6, 6], 3.11.aj_bw_agw 
(-3, -6, 20), [8, 5, 9], 3.11.aj_bx_ahk 
(-6, -3, 20), [5, 8, 9], 3.11.aj_bx_ahe 
(-4, -5, 18), [7, 6, 7], 3.11.aj_bx_aha 
(-2, -7, 25), [9, 4, 3], 3.11.aj_by_ahw 
(-6, -3, 21), [5, 8, 10], 3.11.aj_by_ahk 
(-4, -5, 19), [7, 6, 8], 3.11.aj_by_ahe 
(-2, -7, 26), [9, 4, 4], 3.11.aj_bz_ahy 
(-4, -5, 20), [7, 6, 9], 3.11.aj_bz_ahi 
(-2, -7, 27), [9, 4, 5], 3.11.aj_ca_aia 
(-6, -3, 23), [5, 8, 1], 3.11.aj_ca_ahw 
(-4, -5, 21), [7, 6, 10], 3.11.aj_ca_ahm 
(-3, -6, 24), [8, 5, 2], 3.11.aj_cb_ahw 
(-3, -6, 26), [8, 5, 4], 3.11.aj_cd_aic 
(-5, -4, 24), [6, 7, 2], 3.11.aj_cd_aia 
(-6, -2, -8), [5, 9, 3], 3.11.ai_p_e 
(-6, -2, -7), [5, 9, 4], 3.11.ai_q_ac 
(-6, -2, -6), [5, 9, 5], 3.11.ai_r_ai 
(-6, -2, -5), [5, 9, 6], 3.11.ai_s_ao 
(-6, -2, -4), [5, 9, 7], 3.11.ai_t_au 
(-5, -3, -2), [6, 8, 9], 3.11.ai_y_ace 
(-6, -2, 1), [5, 9, 1], 3.11.ai_y_aby 
(-5, -3, -1), [6, 8, 10], 3.11.ai_z_acj 
(-6, -2, 2), [5, 9, 2], 3.11.ai_z_ace 
(-6, -2, 3), [5, 9, 3], 3.11.ai_ba_ack 
(-5, -3, 1), [6, 8, 1], 3.11.ai_bb_act 
(-6, -2, 4), [5, 9, 4], 3.11.ai_bb_acq 
(-5, -3, 2), [6, 8, 2], 3.11.ai_bc_acy 
(-6, -2, 5), [5, 9, 5], 3.11.ai_bc_acw 
(3, -11, 51), [3, 0, 7], 3.11.ai_bd_adl 
(-5, -3, 3), [6, 8, 3], 3.11.ai_bd_add 
(-6, -2, 6), [5, 9, 6], 3.11.ai_bd_adc 
(-6, -2, 8), [5, 9, 8], 3.11.ai_bf_ado 
(-5, -3, 5), [6, 8, 5], 3.11.ai_bf_adn 
(-4, -4, 5), [7, 7, 5], 3.11.ai_bg_aee 
(-6, -2, 9), [5, 9, 9], 3.11.ai_bg_adu 
(-5, -3, 6), [6, 8, 6], 3.11.ai_bg_ads 
(-4, -4, 6), [7, 7, 6], 3.11.ai_bh_aei 
(-6, -2, 10), [5, 9, 10], 3.11.ai_bh_aea 
(-5, -3, 7), [6, 8, 7], 3.11.ai_bh_adx 
(-4, -4, 7), [7, 7, 7], 3.11.ai_bi_aem 
(-5, -3, 8), [6, 8, 8], 3.11.ai_bi_aec 
(-4, -4, 8), [7, 7, 8], 3.11.ai_bj_aeq 
(-6, -2, 12), [5, 9, 1], 3.11.ai_bj_aem 
(2, -10, 45), [2, 1, 1], 3.11.ai_bk_afa 
(-4, -4, 9), [7, 7, 9], 3.11.ai_bk_aeu 
(-6, -2, 13), [5, 9, 2], 3.11.ai_bk_aes 
(-5, -3, 10), [6, 8, 10], 3.11.ai_bk_aem 
(-3, -5, 12), [8, 6, 1], 3.11.ai_bm_afq 
(-6, -2, 15), [5, 9, 4], 3.11.ai_bm_afe 
(-3, -5, 13), [8, 6, 2], 3.11.ai_bn_aft 
(-6, -2, 16), [5, 9, 5], 3.11.ai_bn_afk 
(-4, -4, 12), [7, 7, 1], 3.11.ai_bn_afg 
(1, -9, 38), [1, 2, 5], 3.11.ai_bo_age 
(-3, -5, 14), [8, 6, 3], 3.11.ai_bo_afw 
(-6, -2, 17), [5, 9, 6], 3.11.ai_bo_afq 
(-4, -4, 13), [7, 7, 2], 3.11.ai_bo_afk 
(-5, -3, 14), [6, 8, 3], 3.11.ai_bo_afg 
(-2, -6, 18), [9, 5, 7], 3.11.ai_bp_agm 
(1, -9, 39), [1, 2, 6], 3.11.ai_bp_agd 
(-3, -5, 15), [8, 6, 4], 3.11.ai_bp_afz 
(-6, -2, 18), [5, 9, 7], 3.11.ai_bp_afw 
(-4, -4, 14), [7, 7, 3], 3.11.ai_bp_afo 
(-2, -6, 19), [9, 5, 8], 3.11.ai_bq_ago 
(-4, -4, 15), [7, 7, 4], 3.11.ai_bq_afs 
(-5, -3, 16), [6, 8, 5], 3.11.ai_bq_afq 
(-2, -6, 20), [9, 5, 9], 3.11.ai_br_agq 
(-6, -2, 20), [5, 9, 9], 3.11.ai_br_agi 
(-3, -5, 17), [8, 6, 6], 3.11.ai_br_agf 
(1, -9, 41), [1, 2, 8], 3.11.ai_br_agb 
(-4, -4, 16), [7, 7, 5], 3.11.ai_br_afw 
(-5, -3, 17), [6, 8, 6], 3.11.ai_br_afv 
(-1, -7, 26), [10, 4, 4], 3.11.ai_bs_agy 
(-2, -6, 21), [9, 5, 10], 3.11.ai_bs_ags 
(-6, -2, 21), [5, 9, 10], 3.11.ai_bs_ago 
(-3, -5, 18), [8, 6, 7], 3.11.ai_bs_agi 
(-3, -5, 19), [8, 6, 8], 3.11.ai_bt_agl 
(-5, -3, 19), [6, 8, 8], 3.11.ai_bt_agf 
(-4, -4, 18), [7, 7, 7], 3.11.ai_bt_age 
(-2, -6, 23), [9, 5, 1], 3.11.ai_bu_agw 
(-3, -5, 20), [8, 6, 9], 3.11.ai_bu_ago 
(-5, -3, 20), [6, 8, 9], 3.11.ai_bu_agk 
(-4, -4, 19), [7, 7, 8], 3.11.ai_bu_agi 
(-2, -6, 24), [9, 5, 2], 3.11.ai_bv_agy 
(-3, -5, 21), [8, 6, 10], 3.11.ai_bv_agr 
(-1, -7, 30), [10, 4, 8], 3.11.ai_bw_ahc 
(-2, -6, 26), [9, 5, 4], 3.11.ai_bx_ahc 
(-3, -5, 24), [8, 6, 2], 3.11.ai_by_aha 
(-2, -6, 28), [9, 5, 6], 3.11.ai_bz_ahg 
(-4, -4, 24), [7, 7, 2], 3.11.ai_bz_ahc 
(-6, -1, -14), [5, 10, 8], 3.11.ah_d_ck 
(-5, -2, -8), [6, 9, 3], 3.11.ah_n_ae 
(-6, -1, -4), [5, 10, 7], 3.11.ah_n_c 
(-6, -1, -3), [5, 10, 8], 3.11.ah_o_ae 
(-5, -2, -6), [6, 9, 5], 3.11.ah_p_ao 
(-6, -1, -2), [5, 10, 9], 3.11.ah_p_ak 
(-6, -1, -1), [5, 10, 10], 3.11.ah_q_aq 
(-5, -2, -4), [6, 9, 7], 3.11.ah_r_ay 
(4, -11, 51), [4, 0, 7], 3.11.ah_s_abm 
(-6, -1, 1), [5, 10, 1], 3.11.ah_s_abc 
(-6, -1, 3), [5, 10, 3], 3.11.ah_u_abo 
(-4, -3, -2), [7, 8, 9], 3.11.ah_v_acg 
(-6, -1, 4), [5, 10, 4], 3.11.ah_v_abu 
(-4, -3, -1), [7, 8, 10], 3.11.ah_w_ack 
(-6, -1, 5), [5, 10, 5], 3.11.ah_w_aca 
(-6, -1, 6), [5, 10, 6], 3.11.ah_x_acg 
(-5, -2, 2), [6, 9, 2], 3.11.ah_x_acc 
(-4, -3, 1), [7, 8, 1], 3.11.ah_y_acs 
(-6, -1, 7), [5, 10, 7], 3.11.ah_y_acm 
(-4, -3, 2), [7, 8, 2], 3.11.ah_z_acw 
(-6, -1, 8), [5, 10, 8], 3.11.ah_z_acs 
(-4, -3, 3), [7, 8, 3], 3.11.ah_ba_ada 
(-6, -1, 9), [5, 10, 9], 3.11.ah_ba_acy 
(-4, -3, 5), [7, 8, 5], 3.11.ah_bc_adi 
(-3, -4, 6), [8, 7, 6], 3.11.ah_bd_aec 
(-6, -1, 12), [5, 10, 1], 3.11.ah_bd_adq 
(-4, -3, 6), [7, 8, 6], 3.11.ah_bd_adm 
(-6, -1, 13), [5, 10, 2], 3.11.ah_be_adw 
(-4, -3, 7), [7, 8, 7], 3.11.ah_be_adq 
(2, -9, 38), [2, 2, 5], 3.11.ah_bf_aes 
(-3, -4, 8), [8, 7, 8], 3.11.ah_bf_aei 
(-6, -1, 14), [5, 10, 3], 3.11.ah_bf_aec 
(-4, -3, 8), [7, 8, 8], 3.11.ah_bf_adu 
(2, -9, 39), [2, 2, 6], 3.11.ah_bg_aeq 
(-6, -1, 15), [5, 10, 4], 3.11.ah_bg_aei 
(-4, -3, 9), [7, 8, 9], 3.11.ah_bg_ady 
(-2, -5, 12), [9, 6, 1], 3.11.ah_bh_afe 
(-4, -3, 10), [7, 8, 10], 3.11.ah_bh_aec 
(-5, -2, 12), [6, 9, 1], 3.11.ah_bh_aea 
(-2, -5, 13), [9, 6, 2], 3.11.ah_bi_afg 
(-6, -1, 17), [5, 10, 6], 3.11.ah_bi_aeu 
(2, -9, 41), [2, 2, 8], 3.11.ah_bi_aem 
(-1, -6, 18), [10, 5, 7], 3.11.ah_bj_afu 
(1, -8, 32), [1, 3, 10], 3.11.ah_bj_afo 
(-2, -5, 14), [9, 6, 3], 3.11.ah_bj_afi 
(-6, -1, 18), [5, 10, 7], 3.11.ah_bj_afa 
(-3, -4, 12), [8, 7, 1], 3.11.ah_bj_aeu 
(-2, -5, 15), [9, 6, 4], 3.11.ah_bk_afk 
(-6, -1, 19), [5, 10, 8], 3.11.ah_bk_afg 
(-4, -3, 13), [7, 8, 2], 3.11.ah_bk_aeo 
(-1, -6, 20), [10, 5, 9], 3.11.ah_bl_afw 
(-3, -4, 14), [8, 7, 3], 3.11.ah_bl_afa 
(-5, -2, 16), [6, 9, 5], 3.11.ah_bl_aeu 
(-4, -3, 14), [7, 8, 3], 3.11.ah_bl_aes 
(-6, -1, 21), [5, 10, 10], 3.11.ah_bm_afs 
(-2, -5, 17), [9, 6, 6], 3.11.ah_bm_afo 
(-2, -5, 18), [9, 6, 7], 3.11.ah_bn_afq 
(1, -8, 36), [1, 3, 3], 3.11.ah_bn_afk 
(-3, -4, 16), [8, 7, 5], 3.11.ah_bn_afg 
(-5, -2, 18), [6, 9, 7], 3.11.ah_bn_afe 
(-2, -5, 19), [9, 6, 8], 3.11.ah_bo_afs 
(-2, -5, 20), [9, 6, 9], 3.11.ah_bp_afu 
(-5, -2, 20), [6, 9, 9], 3.11.ah_bp_afo 
(-3, -4, 18), [8, 7, 7], 3.11.ah_bp_afm 
(-2, -5, 21), [9, 6, 10], 3.11.ah_bq_afw 
(-3, -4, 20), [8, 7, 9], 3.11.ah_br_afs 
(-2, -5, 23), [9, 6, 1], 3.11.ah_bs_aga 
(-2, -5, 24), [9, 6, 2], 3.11.ah_bt_agc 
(-4, -3, 23), [7, 8, 1], 3.11.ah_bu_agc 
(-6, 0, -18), [5, 0, 4], 3.11.ag_ah_ee 
(-5, -1, -15), [6, 10, 7], 3.11.ag_b_cb 
(-6, 0, -10), [5, 0, 1], 3.11.ag_b_ci 
(-5, -1, -14), [6, 10, 8], 3.11.ag_c_bw 
(-6, 0, -9), [5, 0, 2], 3.11.ag_c_cc 
(-5, -1, -13), [6, 10, 9], 3.11.ag_d_br 
(-6, 0, -8), [5, 0, 3], 3.11.ag_d_bw 
(-5, -1, -12), [6, 10, 10], 3.11.ag_e_bm 
(-6, 0, -7), [5, 0, 4], 3.11.ag_e_bq 
(-6, 0, -6), [5, 0, 5], 3.11.ag_f_bk 
(-5, -1, -10), [6, 10, 1], 3.11.ag_g_bc 
(-6, 0, -5), [5, 0, 6], 3.11.ag_g_be 
(5, -11, 51), [5, 0, 7], 3.11.ag_h_n 
(-5, -1, -9), [6, 10, 2], 3.11.ag_h_x 
(-6, 0, -4), [5, 0, 7], 3.11.ag_h_y 
(-6, 0, -2), [5, 0, 9], 3.11.ag_j_m 
(-5, -1, -7), [6, 10, 4], 3.11.ag_j_n 
