(-7, -7, 30), [6, 6, 4], 3.13.ao_do_apc 
(-6, -8, 32), [7, 5, 6], 3.13.ao_dp_apk 
(-7, -7, 33), [6, 6, 7], 3.13.ao_dr_apx 
(-6, -8, 34), [7, 5, 8], 3.13.ao_dr_apw 
(-7, -7, 34), [6, 6, 8], 3.13.ao_ds_aqe 
(-6, -8, 36), [7, 5, 10], 3.13.ao_dt_aqi 
(-5, -9, 42), [8, 4, 3], 3.13.ao_dw_arc 
(-4, -10, 48), [9, 3, 9], 3.13.ao_dx_ark 
(-7, -6, 24), [6, 7, 11], 3.13.an_db_amm 
(-6, -7, 27), [7, 6, 1], 3.13.an_de_ang 
(-5, -8, 34), [8, 5, 8], 3.13.an_dj_aoo 
(-5, -8, 36), [8, 5, 10], 3.13.an_dl_aoy 
(-4, -9, 42), [9, 4, 3], 3.13.an_dn_apm 
(-7, -5, 16), [6, 8, 3], 3.13.am_cm_aji 
(-7, -5, 17), [6, 8, 4], 3.13.am_cn_ajp 
(-6, -6, 18), [7, 7, 5], 3.13.am_cp_ake 
(-7, -5, 19), [6, 8, 6], 3.13.am_cp_akd 
(-6, -6, 20), [7, 7, 7], 3.13.am_cr_akq 
(-6, -6, 21), [7, 7, 8], 3.13.am_cs_akw 
(-6, -6, 22), [7, 7, 9], 3.13.am_ct_alc 
(-7, -5, 24), [6, 8, 11], 3.13.am_cu_alm 
(-6, -6, 23), [7, 7, 10], 3.13.am_cu_ali 
(-5, -7, 25), [8, 6, 12], 3.13.am_cv_alv 
(-7, -5, 25), [6, 8, 12], 3.13.am_cv_alt 
(-6, -6, 24), [7, 7, 11], 3.13.am_cv_alo 
(-7, -5, 27), [6, 8, 1], 3.13.am_cx_amh 
(-5, -7, 27), [8, 6, 1], 3.13.am_cx_amf 
(-7, -5, 28), [6, 8, 2], 3.13.am_cy_amo 
(-5, -7, 28), [8, 6, 2], 3.13.am_cy_amk 
(-4, -8, 32), [9, 5, 6], 3.13.am_cz_amy 
(-5, -7, 29), [8, 6, 3], 3.13.am_cz_amp 
(-6, -6, 28), [7, 7, 2], 3.13.am_cz_amm 
(-5, -7, 30), [8, 6, 4], 3.13.am_da_amu 
(-6, -6, 29), [7, 7, 3], 3.13.am_da_ams 
(-7, -5, 31), [6, 8, 5], 3.13.am_db_anj 
(-4, -8, 34), [9, 5, 8], 3.13.am_db_ang 
(-1, -11, 55), [12, 2, 3], 3.13.am_db_and 
(-5, -7, 31), [8, 6, 5], 3.13.am_db_amz 
(-6, -6, 30), [7, 7, 4], 3.13.am_db_amy 
(-2, -10, 48), [11, 3, 9], 3.13.am_dd_ans 
(-4, -8, 36), [9, 5, 10], 3.13.am_dd_ano 
(-6, -6, 32), [7, 7, 6], 3.13.am_dd_ank 
(-2, -10, 49), [11, 3, 10], 3.13.am_de_anu 
(-4, -8, 37), [9, 5, 11], 3.13.am_de_ans 
(-6, -6, 33), [7, 7, 7], 3.13.am_de_anq 
(-5, -7, 34), [8, 6, 8], 3.13.am_de_ano 
(-4, -8, 40), [9, 5, 1], 3.13.am_dh_aoe 
(-7, -4, 10), [6, 9, 10], 3.13.al_bz_ags 
(-7, -4, 12), [6, 9, 12], 3.13.al_cb_ahg 
(-7, -4, 16), [6, 9, 3], 3.13.al_cf_aii 
(-6, -5, 14), [7, 8, 1], 3.13.al_cf_aig 
(-6, -5, 15), [7, 8, 2], 3.13.al_cg_aim 
(-7, -4, 18), [6, 9, 5], 3.13.al_ch_aiw 
(-5, -6, 18), [8, 7, 5], 3.13.al_cj_ajm 
(-7, -4, 22), [6, 9, 9], 3.13.al_cl_ajy 
(-5, -6, 20), [8, 7, 7], 3.13.al_cl_ajw 
(-7, -4, 24), [6, 9, 11], 3.13.al_cn_akm 
(-5, -6, 22), [8, 7, 9], 3.13.al_cn_akg 
(-4, -7, 25), [9, 6, 12], 3.13.al_co_akw 
(-5, -6, 24), [8, 7, 11], 3.13.al_cp_akq 
(-6, -5, 24), [7, 8, 11], 3.13.al_cp_ako 
(-4, -7, 27), [9, 6, 1], 3.13.al_cq_ale 
(-6, -5, 25), [7, 8, 12], 3.13.al_cq_aku 
(-3, -8, 32), [10, 5, 6], 3.13.al_cr_als 
(-7, -4, 28), [6, 9, 2], 3.13.al_cr_alo 
(-4, -7, 28), [9, 6, 2], 3.13.al_cr_ali 
(-4, -7, 29), [9, 6, 3], 3.13.al_cs_alm 
(-6, -5, 27), [7, 8, 1], 3.13.al_cs_alg 
(-3, -8, 34), [10, 5, 8], 3.13.al_ct_aly 
(-1, -10, 48), [12, 3, 9], 3.13.al_ct_alw 
(-4, -7, 30), [9, 6, 4], 3.13.al_ct_alq 
(-6, -5, 28), [7, 8, 2], 3.13.al_ct_alm 
(-4, -7, 31), [9, 6, 5], 3.13.al_cu_alu 
(-3, -8, 36), [10, 5, 10], 3.13.al_cv_ame 
(-6, -5, 31), [7, 8, 5], 3.13.al_cw_ame 
(-4, -7, 33), [9, 6, 7], 3.13.al_cw_amc 
(-4, -7, 34), [9, 6, 8], 3.13.al_cx_amg 
(-2, -9, 45), [11, 4, 6], 3.13.al_cy_amm 
(-7, -3, 4), [6, 10, 4], 3.13.ak_bm_aec 
(-6, -4, 3), [7, 9, 3], 3.13.ak_bo_aes 
(-7, -3, 6), [6, 10, 6], 3.13.ak_bo_aeq 
(-6, -4, 4), [7, 9, 4], 3.13.ak_bp_aey 
(-7, -3, 7), [6, 10, 7], 3.13.ak_bp_aex 
(-7, -3, 9), [6, 10, 9], 3.13.ak_br_afl 
(-6, -4, 6), [7, 9, 6], 3.13.ak_br_afk 
(-7, -3, 10), [6, 10, 10], 3.13.ak_bs_afs 
(-6, -4, 7), [7, 9, 7], 3.13.ak_bs_afq 
(-7, -3, 11), [6, 10, 11], 3.13.ak_bt_afz 
(-6, -4, 8), [7, 9, 8], 3.13.ak_bt_afw 
(-7, -3, 12), [6, 10, 12], 3.13.ak_bu_agg 
(-6, -4, 9), [7, 9, 9], 3.13.ak_bu_agc 
(-6, -4, 10), [7, 9, 10], 3.13.ak_bv_agi 
(-7, -3, 14), [6, 10, 1], 3.13.ak_bw_agu 
(-6, -4, 11), [7, 9, 11], 3.13.ak_bw_ago 
(-5, -5, 11), [8, 8, 11], 3.13.ak_bx_ahd 
(-7, -3, 15), [6, 10, 2], 3.13.ak_bx_ahb 
(-6, -4, 12), [7, 9, 12], 3.13.ak_bx_agu 
(-7, -3, 17), [6, 10, 4], 3.13.ak_bz_ahp 
(-7, -3, 18), [6, 10, 5], 3.13.ak_ca_ahw 
(-5, -5, 14), [8, 8, 1], 3.13.ak_ca_ahs 
(-7, -3, 19), [6, 10, 6], 3.13.ak_cb_aid 
(-5, -5, 15), [8, 8, 2], 3.13.ak_cb_ahx 
(-6, -4, 16), [7, 9, 3], 3.13.ak_cb_ahs 
(-7, -3, 20), [6, 10, 7], 3.13.ak_cc_aik 
(-5, -5, 16), [8, 8, 3], 3.13.ak_cc_aic 
(-6, -4, 17), [7, 9, 4], 3.13.ak_cc_ahy 
(-4, -6, 18), [9, 7, 5], 3.13.ak_cd_aiu 
(-7, -3, 21), [6, 10, 8], 3.13.ak_cd_air 
(-5, -5, 17), [8, 8, 4], 3.13.ak_cd_aih 
(-6, -4, 18), [7, 9, 5], 3.13.ak_cd_aie 
(-5, -5, 18), [8, 8, 5], 3.13.ak_ce_aim 
(-6, -4, 19), [7, 9, 6], 3.13.ak_ce_aik 
(-7, -3, 23), [6, 10, 10], 3.13.ak_cf_ajf 
(-4, -6, 20), [9, 7, 7], 3.13.ak_cf_ajc 
(1, -11, 55), [1, 2, 3], 3.13.ak_cf_aix 
(-5, -5, 19), [8, 8, 6], 3.13.ak_cf_air 
(-6, -4, 20), [7, 9, 7], 3.13.ak_cf_aiq 
(-7, -3, 24), [6, 10, 11], 3.13.ak_cg_ajm 
(-4, -6, 21), [9, 7, 8], 3.13.ak_cg_ajg 
(-7, -3, 25), [6, 10, 12], 3.13.ak_ch_ajt 
(-4, -6, 22), [9, 7, 9], 3.13.ak_ch_ajk 
(-6, -4, 22), [7, 9, 9], 3.13.ak_ch_ajc 
(-5, -5, 21), [8, 8, 8], 3.13.ak_ch_ajb 
(-4, -6, 23), [9, 7, 10], 3.13.ak_ci_ajo 
(-6, -4, 23), [7, 9, 10], 3.13.ak_ci_aji 
(-5, -5, 22), [8, 8, 9], 3.13.ak_ci_ajg 
(-2, -8, 32), [11, 5, 6], 3.13.ak_cj_akm 
(-7, -3, 27), [6, 10, 1], 3.13.ak_cj_akh 
(-3, -7, 27), [10, 6, 1], 3.13.ak_cj_akd 
(-4, -6, 24), [9, 7, 11], 3.13.ak_cj_ajs 
(-6, -4, 24), [7, 9, 11], 3.13.ak_cj_ajo 
(-3, -7, 28), [10, 6, 2], 3.13.ak_ck_akg 
(-4, -6, 25), [9, 7, 12], 3.13.ak_ck_ajw 
(-6, -4, 25), [7, 9, 12], 3.13.ak_ck_aju 
(-5, -5, 24), [8, 8, 11], 3.13.ak_ck_ajq 
(-2, -8, 34), [11, 5, 8], 3.13.ak_cl_akq 
(-1, -9, 41), [12, 4, 2], 3.13.ak_cl_akp 
(-3, -7, 29), [10, 6, 3], 3.13.ak_cl_akj 
(-2, -8, 35), [11, 5, 9], 3.13.ak_cm_aks 
(-1, -9, 42), [12, 4, 3], 3.13.ak_cm_akq 
(-3, -7, 30), [10, 6, 4], 3.13.ak_cm_akm 
(-6, -4, 27), [7, 9, 1], 3.13.ak_cm_akg 
(-4, -6, 27), [9, 7, 1], 3.13.ak_cm_ake 
(-2, -8, 36), [11, 5, 10], 3.13.ak_cn_aku 
(-1, -9, 43), [12, 4, 4], 3.13.ak_cn_akr 
(-3, -7, 31), [10, 6, 5], 3.13.ak_cn_akp 
(-6, -4, 28), [7, 9, 2], 3.13.ak_cn_akm 
(-4, -6, 28), [9, 7, 2], 3.13.ak_cn_aki 
(-4, -6, 29), [9, 7, 3], 3.13.ak_co_akm 
(-5, -5, 28), [8, 8, 2], 3.13.ak_co_akk 
(-3, -7, 33), [10, 6, 7], 3.13.ak_cp_akv 
(-1, -9, 45), [12, 4, 6], 3.13.ak_cp_akt 
(-4, -6, 30), [9, 7, 4], 3.13.ak_cp_akq 
(-3, -7, 34), [10, 6, 8], 3.13.ak_cq_aky 
(-2, -8, 40), [11, 5, 1], 3.13.ak_cr_alc 
(-5, -5, 31), [8, 8, 5], 3.13.ak_cr_akz 
(-4, -6, 32), [9, 7, 6], 3.13.ak_cr_aky 
(-7, -2, -2), [6, 11, 11], 3.13.aj_z_abm 
(-6, -3, -4), [7, 10, 9], 3.13.aj_bb_acc 
(-6, -3, -3), [7, 10, 10], 3.13.aj_bc_aci 
(-6, -3, -1), [7, 10, 12], 3.13.aj_be_acu 
(-7, -2, 4), [6, 11, 4], 3.13.aj_bf_adc 
(-6, -3, 1), [7, 10, 1], 3.13.aj_bg_adg 
(-7, -2, 6), [6, 11, 6], 3.13.aj_bh_adq 
(-6, -3, 2), [7, 10, 2], 3.13.aj_bh_adm 
(-6, -3, 3), [7, 10, 3], 3.13.aj_bi_ads 
(-7, -2, 8), [6, 11, 8], 3.13.aj_bj_aee 
(-6, -3, 4), [7, 10, 4], 3.13.aj_bj_ady 
(-5, -4, 4), [8, 9, 4], 3.13.aj_bl_aeu 
(-7, -2, 10), [6, 11, 10], 3.13.aj_bl_aes 
(-7, -2, 12), [6, 11, 12], 3.13.aj_bn_afg 
(-5, -4, 6), [8, 9, 6], 3.13.aj_bn_afe 
(-7, -2, 14), [6, 11, 1], 3.13.aj_bp_afu 
(-5, -4, 8), [8, 9, 8], 3.13.aj_bp_afo 
(-7, -2, 16), [6, 11, 3], 3.13.aj_br_agi 
(-5, -4, 10), [8, 9, 10], 3.13.aj_br_afy 
(-6, -3, 12), [7, 10, 12], 3.13.aj_br_afu 
(-4, -5, 11), [9, 8, 11], 3.13.aj_bs_ags 
(-5, -4, 12), [8, 9, 12], 3.13.aj_bt_agi 
(-6, -3, 14), [7, 10, 1], 3.13.aj_bt_agg 
(2, -11, 55), [2, 2, 3], 3.13.aj_bu_agu 
(-6, -3, 15), [7, 10, 2], 3.13.aj_bu_agm 
(-7, -2, 20), [6, 11, 7], 3.13.aj_bv_ahk 
(-4, -5, 14), [9, 8, 1], 3.13.aj_bv_ahe 
(-4, -5, 15), [9, 8, 2], 3.13.aj_bw_ahi 
(-6, -3, 17), [7, 10, 4], 3.13.aj_bw_agy 
(-3, -6, 18), [10, 7, 5], 3.13.aj_bx_aic 
(-7, -2, 22), [6, 11, 9], 3.13.aj_bx_ahy 
(-4, -5, 16), [9, 8, 3], 3.13.aj_bx_ahm 
(-6, -3, 18), [7, 10, 5], 3.13.aj_bx_ahe 
(-5, -4, 16), [8, 9, 3], 3.13.aj_bx_ahc 
(-4, -5, 17), [9, 8, 4], 3.13.aj_by_ahq 
(-6, -3, 19), [7, 10, 6], 3.13.aj_by_ahk 
(-7, -2, 24), [6, 11, 11], 3.13.aj_bz_aim 
(-3, -6, 20), [10, 7, 7], 3.13.aj_bz_aii 
(1, -10, 48), [1, 3, 9], 3.13.aj_bz_aie 
(-4, -5, 18), [9, 8, 5], 3.13.aj_bz_ahu 
(-6, -3, 20), [7, 10, 7], 3.13.aj_bz_ahq 
(-2, -7, 25), [11, 6, 12], 3.13.aj_ca_aiy 
(-4, -5, 19), [9, 8, 6], 3.13.aj_ca_ahy 
(-6, -3, 21), [7, 10, 8], 3.13.aj_ca_ahw 
(-3, -6, 22), [10, 7, 9], 3.13.aj_cb_aio 
(-2, -7, 27), [11, 6, 1], 3.13.aj_cc_ajc 
(-6, -3, 23), [7, 10, 10], 3.13.aj_cc_aii 
(-4, -5, 21), [9, 8, 8], 3.13.aj_cc_aig 
(-2, -7, 28), [11, 6, 2], 3.13.aj_cd_aje 
(-3, -6, 24), [10, 7, 11], 3.13.aj_cd_aiu 
(-6, -3, 24), [7, 10, 11], 3.13.aj_cd_aio 
(-4, -5, 22), [9, 8, 9], 3.13.aj_cd_aik 
(-2, -7, 29), [11, 6, 3], 3.13.aj_ce_ajg 
(-6, -3, 25), [7, 10, 12], 3.13.aj_ce_aiu 
(-4, -5, 23), [9, 8, 10], 3.13.aj_ce_aio 
(-2, -7, 30), [11, 6, 4], 3.13.aj_cf_aji 
(-4, -5, 24), [9, 8, 11], 3.13.aj_cf_ais 
(-2, -7, 31), [11, 6, 5], 3.13.aj_cg_ajk 
(-6, -3, 27), [7, 10, 1], 3.13.aj_cg_ajg 
(-4, -5, 25), [9, 8, 12], 3.13.aj_cg_aiw 
(-3, -6, 28), [10, 7, 2], 3.13.aj_ch_ajg 
(-1, -8, 40), [12, 5, 1], 3.13.aj_cj_ajo 
(-3, -6, 30), [10, 7, 4], 3.13.aj_cj_ajm 
(-5, -4, 28), [8, 9, 2], 3.13.aj_cj_ajk 
(-7, -1, -14), [6, 12, 12], 3.13.ai_g_cu 
(-7, -1, -12), [6, 12, 1], 3.13.ai_i_cg 
(-7, -1, -11), [6, 12, 2], 3.13.ai_j_bz 
(-7, -1, -8), [6, 12, 5], 3.13.ai_m_be 
(-6, -2, -11), [7, 11, 2], 3.13.ai_o_o 
(-7, -1, -6), [6, 12, 7], 3.13.ai_o_q 
