(-7, -10, 49), [1, 2, 1], 3.16.ar_ff_azn 
(-7, -10, 51), [1, 2, 3], 3.16.ar_fh_abab 
(-7, -9, 49), [1, 3, 1], 3.16.aq_ey_ayh 
(-5, -10, 49), [3, 2, 1], 3.16.ap_el_avt 
(-7, -8, 43), [1, 0, 3], 3.16.ap_el_avl 
(-3, -12, 65), [1, 0, 1], 3.16.ap_en_awh 
(-5, -10, 51), [3, 2, 3], 3.16.ap_en_awd 
(-7, -8, 45), [1, 0, 1], 3.16.ap_en_avz 
(-7, -7, 27), [1, 1, 3], 3.16.ao_do_apx 
(-7, -7, 35), [1, 1, 3], 3.16.ao_dw_asb 
(-5, -9, 41), [3, 3, 1], 3.16.ao_dy_asz 
(-1, -13, 73), [3, 3, 1], 3.16.ao_dy_asv 
(-7, -7, 37), [1, 1, 1], 3.16.ao_dy_asp 
(-5, -9, 43), [3, 3, 3], 3.16.ao_ea_atj 
(-5, -9, 45), [3, 3, 1], 3.16.ao_ec_att 
(-3, -11, 61), [1, 1, 1], 3.16.ao_eg_aup 
(-5, -9, 49), [3, 3, 1], 3.16.ao_eg_aun 
(-7, -6, 17), [1, 2, 1], 3.16.an_cx_alz 
(-7, -6, 19), [1, 2, 3], 3.16.an_cz_amn 
(-7, -6, 21), [1, 2, 1], 3.16.an_db_anb 
(-7, -6, 23), [1, 2, 3], 3.16.an_dd_anp 
(-7, -6, 27), [1, 2, 3], 3.16.an_dh_aor 
(-7, -6, 29), [1, 2, 1], 3.16.an_dj_apf 
(-5, -8, 33), [3, 0, 1], 3.16.an_dl_aqf 
(-7, -6, 31), [1, 2, 3], 3.16.an_dl_apt 
(-5, -8, 35), [3, 0, 3], 3.16.an_dn_aqp 
(-7, -6, 33), [1, 2, 1], 3.16.an_dn_aqh 
(-1, -12, 65), [3, 0, 1], 3.16.an_dp_arh 
(-5, -8, 37), [3, 0, 1], 3.16.an_dp_aqz 
(-7, -6, 35), [1, 2, 3], 3.16.an_dp_aqv 
(-3, -10, 49), [1, 2, 1], 3.16.an_dr_arz 
(-3, -10, 51), [1, 2, 3], 3.16.an_dt_asf 
(-7, -6, 39), [1, 2, 3], 3.16.an_dt_arx 
(-5, -8, 41), [3, 0, 1], 3.16.an_dt_art 
(-5, -8, 43), [3, 0, 3], 3.16.an_dv_asd 
(-3, -10, 55), [1, 2, 3], 3.16.an_dx_asr 
(-5, -8, 45), [3, 0, 1], 3.16.an_dx_asn 
(-7, -5, 9), [1, 3, 1], 3.16.am_ci_aip 
(-7, -5, 13), [1, 3, 1], 3.16.am_cm_ajr 
(-7, -5, 15), [1, 3, 3], 3.16.am_co_akf 
(-5, -7, 25), [3, 1, 1], 3.16.am_cy_anl 
(1, -13, 73), [1, 3, 1], 3.16.am_cy_anf 
(-7, -5, 25), [1, 3, 1], 3.16.am_cy_amx 
(-5, -7, 27), [3, 1, 3], 3.16.am_da_anv 
(-7, -5, 27), [1, 3, 3], 3.16.am_da_anl 
(-5, -7, 29), [3, 1, 1], 3.16.am_dc_aof 
(-7, -5, 29), [1, 3, 1], 3.16.am_dc_anz 
(-5, -7, 31), [3, 1, 3], 3.16.am_de_aop 
(-7, -5, 31), [1, 3, 3], 3.16.am_de_aon 
(-3, -9, 41), [1, 3, 1], 3.16.am_dg_apv 
(-1, -11, 57), [3, 1, 1], 3.16.am_dg_apt 
(-7, -5, 33), [1, 3, 1], 3.16.am_dg_apb 
(-3, -9, 43), [1, 3, 3], 3.16.am_di_aqb 
(-7, -5, 35), [1, 3, 3], 3.16.am_di_app 
(-5, -7, 35), [3, 1, 3], 3.16.am_di_apj 
(-3, -9, 45), [1, 3, 1], 3.16.am_dk_aqh 
(-7, -5, 37), [1, 3, 1], 3.16.am_dk_aqd 
(-1, -11, 61), [3, 1, 1], 3.16.am_dk_apx 
(-5, -7, 37), [3, 1, 1], 3.16.am_dk_apt 
(-3, -9, 47), [1, 3, 3], 3.16.am_dm_aqn 
(-5, -7, 39), [3, 1, 3], 3.16.am_dm_aqd 
(-7, -4, 1), [1, 0, 1], 3.16.al_bt_aff 
(-7, -4, 3), [1, 0, 3], 3.16.al_bv_aft 
(-7, -4, 5), [1, 0, 1], 3.16.al_bx_agh 
(-7, -4, 7), [1, 0, 3], 3.16.al_bz_agv 
(-7, -4, 9), [1, 0, 1], 3.16.al_cb_ahj 
(-7, -4, 15), [1, 0, 3], 3.16.al_ch_aiz 
(-7, -4, 17), [1, 0, 1], 3.16.al_cj_ajn 
(-5, -6, 17), [3, 2, 1], 3.16.al_cl_akr 
(-7, -4, 19), [1, 0, 3], 3.16.al_cl_akb 
(-5, -6, 19), [3, 2, 3], 3.16.al_cn_alb 
(-7, -4, 21), [1, 0, 1], 3.16.al_cn_akp 
(-5, -6, 21), [3, 2, 1], 3.16.al_cp_all 
(-7, -4, 23), [1, 0, 3], 3.16.al_cp_ald 
(1, -12, 65), [1, 0, 1], 3.16.al_cr_amh 
(-5, -6, 23), [3, 2, 3], 3.16.al_cr_alv 
(-7, -4, 25), [1, 0, 1], 3.16.al_cr_alr 
(-3, -8, 33), [1, 0, 1], 3.16.al_cv_anr 
(-7, -4, 29), [1, 0, 1], 3.16.al_cv_amt 
(-5, -6, 27), [3, 2, 3], 3.16.al_cv_amp 
(-1, -10, 49), [3, 2, 1], 3.16.al_cx_aof 
(-3, -8, 35), [1, 0, 3], 3.16.al_cx_anx 
(-7, -4, 31), [1, 0, 3], 3.16.al_cx_anh 
(-5, -6, 29), [3, 2, 1], 3.16.al_cx_amz 
(-1, -10, 51), [3, 2, 3], 3.16.al_cz_aoh 
(-3, -8, 37), [1, 0, 1], 3.16.al_cz_aod 
(-7, -4, 33), [1, 0, 1], 3.16.al_cz_anv 
(-5, -6, 31), [3, 2, 3], 3.16.al_cz_anj 
(-5, -6, 33), [3, 2, 1], 3.16.al_db_ant 
(-3, -8, 41), [1, 0, 1], 3.16.al_dd_aop 
(-1, -10, 55), [3, 2, 3], 3.16.al_dd_aol 
(-5, -6, 35), [3, 2, 3], 3.16.al_dd_aod 
(-3, -8, 43), [1, 0, 3], 3.16.al_df_aov 
(-3, -8, 45), [1, 0, 1], 3.16.al_dh_apb 
(-5, -6, 39), [3, 2, 3], 3.16.al_dh_aox 
(-7, -3, -7), [1, 1, 1], 3.16.ak_be_abv 
(-7, -3, -5), [1, 1, 3], 3.16.ak_bg_acj 
(-7, -3, -3), [1, 1, 1], 3.16.ak_bi_acx 
(-7, -3, 7), [1, 1, 3], 3.16.ak_bs_afp 
(-7, -3, 9), [1, 1, 1], 3.16.ak_bu_agd 
(-7, -3, 11), [1, 1, 3], 3.16.ak_bw_agr 
(-5, -5, 9), [3, 3, 1], 3.16.ak_by_ahx 
(3, -13, 73), [3, 3, 1], 3.16.ak_by_ahp 
(-7, -3, 13), [1, 1, 1], 3.16.ak_by_ahf 
(-5, -5, 11), [3, 3, 3], 3.16.ak_ca_aih 
(-7, -3, 15), [1, 1, 3], 3.16.ak_ca_aht 
(-5, -5, 13), [3, 3, 1], 3.16.ak_cc_air 
(-7, -3, 17), [1, 1, 1], 3.16.ak_cc_aih 
(-5, -5, 15), [3, 3, 3], 3.16.ak_ce_ajb 
(-7, -3, 19), [1, 1, 3], 3.16.ak_ce_aiv 
(-5, -5, 17), [3, 3, 1], 3.16.ak_cg_ajl 
(-7, -3, 21), [1, 1, 1], 3.16.ak_cg_ajj 
(-7, -3, 23), [1, 1, 3], 3.16.ak_ci_ajx 
(-5, -5, 19), [3, 3, 3], 3.16.ak_ci_ajv 
(-3, -7, 25), [1, 1, 1], 3.16.ak_ck_aln 
(1, -11, 57), [1, 1, 1], 3.16.ak_ck_alj 
(-7, -3, 25), [1, 1, 1], 3.16.ak_ck_akl 
(-5, -5, 21), [3, 3, 1], 3.16.ak_ck_akf 
(-3, -7, 27), [1, 1, 3], 3.16.ak_cm_alt 
(1, -11, 59), [1, 1, 3], 3.16.ak_cm_alh 
(-7, -3, 27), [1, 1, 3], 3.16.ak_cm_akz 
(-5, -5, 23), [3, 3, 3], 3.16.ak_cm_akp 
(-3, -7, 29), [1, 1, 1], 3.16.ak_co_alz 
(-7, -3, 29), [1, 1, 1], 3.16.ak_co_aln 
(1, -11, 61), [1, 1, 1], 3.16.ak_co_alf 
(-5, -5, 25), [3, 3, 1], 3.16.ak_co_akz 
(-1, -9, 43), [3, 3, 3], 3.16.ak_cq_amt 
(-3, -7, 31), [1, 1, 3], 3.16.ak_cq_amf 
(-7, -3, 31), [1, 1, 3], 3.16.ak_cq_amb 
(-5, -5, 27), [3, 3, 3], 3.16.ak_cq_alj 
(-1, -9, 45), [3, 3, 1], 3.16.ak_cs_amv 
