(-8, -10, 52), [0, 2, 0], 3.17.as_ft_abdc 
(-7, -11, 60), [1, 1, 0], 3.17.as_fy_abeo 
(-8, -9, 49), [0, 3, 1], 3.17.ar_fi_abaw 
(-8, -8, 32), [0, 0, 0], 3.17.aq_ej_aui 
(-8, -8, 36), [0, 0, 0], 3.17.aq_en_avo 
(-8, -8, 37), [0, 0, 1], 3.17.aq_eo_avw 
(-7, -9, 41), [1, 3, 1], 3.17.aq_er_awv 
(-8, -8, 42), [0, 0, 2], 3.17.aq_et_axk 
(-7, -9, 43), [1, 3, 3], 3.17.aq_et_axj 
(-7, -9, 44), [1, 3, 0], 3.17.aq_eu_axq 
(-6, -10, 49), [2, 2, 1], 3.17.aq_ew_ayk 
(-8, -8, 45), [0, 0, 1], 3.17.aq_ew_ayi 
(-7, -9, 46), [1, 3, 2], 3.17.aq_ew_aye 
(-6, -10, 52), [2, 2, 0], 3.17.aq_ez_azc 
(-6, -10, 53), [2, 2, 1], 3.17.aq_fa_azi 
(-3, -13, 75), [1, 3, 3], 3.17.aq_fb_azr 
(-6, -10, 56), [2, 2, 0], 3.17.aq_fd_abaa 
(-7, -8, 32), [1, 0, 0], 3.17.ap_eb_atc 
(-8, -7, 32), [0, 1, 0], 3.17.ap_eb_ata 
(-8, -7, 33), [0, 1, 1], 3.17.ap_ec_ati 
(-8, -7, 35), [0, 1, 3], 3.17.ap_ee_aty 
(-8, -7, 36), [0, 1, 0], 3.17.ap_ef_aug 
(-8, -7, 38), [0, 1, 2], 3.17.ap_eh_auw 
(-6, -9, 41), [2, 3, 1], 3.17.ap_ei_avg 
(-8, -7, 39), [0, 1, 3], 3.17.ap_ei_ave 
(-8, -7, 41), [0, 1, 1], 3.17.ap_ek_avu 
(-6, -9, 43), [2, 3, 3], 3.17.ap_ek_avs 
(-8, -7, 42), [0, 1, 2], 3.17.ap_el_awc 
(-6, -9, 44), [2, 3, 0], 3.17.ap_el_avy 
(-8, -7, 43), [0, 1, 3], 3.17.ap_em_awk 
(-6, -9, 47), [2, 3, 3], 3.17.ap_eo_awq 
(-5, -10, 52), [3, 2, 0], 3.17.ap_ep_axc 
(-5, -10, 54), [3, 2, 2], 3.17.ap_er_axm 
(-7, -8, 48), [1, 0, 0], 3.17.ap_er_axk 
(-8, -6, 16), [0, 2, 0], 3.17.ao_dd_amu 
(-8, -6, 22), [0, 2, 2], 3.17.ao_dj_aoq 
(-8, -6, 23), [0, 2, 3], 3.17.ao_dk_aoy 
(-8, -6, 24), [0, 2, 0], 3.17.ao_dl_apg 
(-7, -7, 24), [1, 1, 0], 3.17.ao_dm_apq 
(-8, -6, 25), [0, 2, 1], 3.17.ao_dm_apo 
(-7, -7, 25), [1, 1, 1], 3.17.ao_dn_apx 
(-8, -6, 26), [0, 2, 2], 3.17.ao_dn_apw 
(-8, -6, 28), [0, 2, 0], 3.17.ao_dp_aqm 
(-7, -7, 27), [1, 1, 3], 3.17.ao_dp_aql 
(-8, -6, 29), [0, 2, 1], 3.17.ao_dq_aqu 
(-7, -7, 28), [1, 1, 0], 3.17.ao_dq_aqs 
(-8, -6, 30), [0, 2, 2], 3.17.ao_dr_arc 
(-8, -6, 31), [0, 2, 3], 3.17.ao_ds_ark 
(-7, -7, 30), [1, 1, 2], 3.17.ao_ds_arg 
(-6, -8, 32), [2, 0, 0], 3.17.ao_dt_arw 
(-8, -6, 32), [0, 2, 0], 3.17.ao_dt_ars 
(-6, -8, 33), [2, 0, 1], 3.17.ao_du_asc 
(-7, -7, 32), [1, 1, 0], 3.17.ao_du_aru 
(-8, -6, 35), [0, 2, 3], 3.17.ao_dw_asq 
(-6, -8, 35), [2, 0, 3], 3.17.ao_dw_aso 
(-8, -6, 36), [0, 2, 0], 3.17.ao_dx_asy 
(-6, -8, 36), [2, 0, 0], 3.17.ao_dx_asu 
(-8, -6, 37), [0, 2, 1], 3.17.ao_dy_atg 
(-6, -8, 37), [2, 0, 1], 3.17.ao_dy_ata 
(-7, -7, 36), [1, 1, 0], 3.17.ao_dy_asw 
(-5, -9, 41), [3, 3, 1], 3.17.ao_dz_atr 
(-8, -6, 38), [0, 2, 2], 3.17.ao_dz_ato 
(-6, -8, 38), [2, 0, 2], 3.17.ao_dz_atg 
(-6, -8, 39), [2, 0, 3], 3.17.ao_ea_atm 
(-7, -7, 38), [1, 1, 2], 3.17.ao_ea_atk 
(-8, -6, 40), [0, 2, 0], 3.17.ao_eb_aue 
(-5, -9, 43), [3, 3, 3], 3.17.ao_eb_aub 
(-1, -13, 75), [3, 3, 3], 3.17.ao_eb_atx 
(-6, -8, 40), [2, 0, 0], 3.17.ao_eb_ats 
(-7, -7, 39), [1, 1, 3], 3.17.ao_eb_atr 
(-2, -12, 65), [2, 0, 1], 3.17.ao_ec_aus 
(-5, -9, 44), [3, 3, 0], 3.17.ao_ec_aug 
(-5, -9, 45), [3, 3, 1], 3.17.ao_ed_aul 
(-6, -8, 42), [2, 0, 2], 3.17.ao_ed_aue 
(-2, -12, 67), [2, 0, 3], 3.17.ao_ee_auw 
(-5, -9, 46), [3, 3, 2], 3.17.ao_ee_auq 
(-7, -7, 42), [1, 1, 2], 3.17.ao_ee_aum 
(-6, -8, 43), [2, 0, 3], 3.17.ao_ee_auk 
(-4, -10, 52), [0, 2, 0], 3.17.ao_ef_avc 
(-5, -9, 47), [3, 3, 3], 3.17.ao_ef_auv 
(-7, -7, 43), [1, 1, 3], 3.17.ao_ef_aut 
(-6, -8, 44), [2, 0, 0], 3.17.ao_ef_auq 
(-3, -11, 60), [1, 1, 0], 3.17.ao_eg_avi 
(-4, -10, 54), [0, 2, 2], 3.17.ao_eh_avk 
(-5, -9, 49), [3, 3, 1], 3.17.ao_eh_avf 
(-5, -9, 50), [3, 3, 2], 3.17.ao_ei_avk 
(-4, -10, 56), [0, 2, 0], 3.17.ao_ej_avs 
(-3, -11, 63), [1, 1, 3], 3.17.ao_ej_avr 
(-6, -8, 48), [2, 0, 0], 3.17.ao_ej_avo 
(-8, -5, 15), [0, 3, 3], 3.17.an_cu_ale 
(-8, -5, 16), [0, 3, 0], 3.17.an_cv_alm 
(-7, -6, 16), [1, 2, 0], 3.17.an_cx_ame 
(-8, -5, 18), [0, 3, 2], 3.17.an_cx_amc 
(-8, -5, 19), [0, 3, 3], 3.17.an_cy_amk 
(-8, -5, 21), [0, 3, 1], 3.17.an_da_ana 
(-8, -5, 22), [0, 3, 2], 3.17.an_db_ani 
(-7, -6, 20), [1, 2, 0], 3.17.an_db_ang 
(-8, -5, 24), [0, 3, 0], 3.17.an_dd_any 
(-7, -6, 22), [1, 2, 2], 3.17.an_dd_anu 
(-8, -5, 25), [0, 3, 1], 3.17.an_de_aog 
(-6, -7, 24), [2, 1, 0], 3.17.an_df_aos 
(-8, -5, 26), [0, 3, 2], 3.17.an_df_aoo 
(-6, -7, 25), [2, 1, 1], 3.17.an_dg_aoy 
(-8, -5, 29), [0, 3, 1], 3.17.an_di_apm 
(-6, -7, 27), [2, 1, 3], 3.17.an_di_apk 
(-8, -5, 30), [0, 3, 2], 3.17.an_dj_apu 
(-6, -7, 28), [2, 1, 0], 3.17.an_dj_apq 
(-8, -5, 31), [0, 3, 3], 3.17.an_dk_aqc 
(-6, -7, 29), [2, 1, 1], 3.17.an_dk_apw 
(-5, -8, 32), [3, 0, 0], 3.17.an_dl_aqq 
(-8, -5, 32), [0, 3, 0], 3.17.an_dl_aqk 
(-6, -7, 30), [2, 1, 2], 3.17.an_dl_aqc 
(-6, -7, 31), [2, 1, 3], 3.17.an_dm_aqi 
(-6, -7, 32), [2, 1, 0], 3.17.an_dn_aqo 
(-7, -6, 32), [1, 2, 0], 3.17.an_dn_aqm 
(-8, -5, 35), [0, 3, 3], 3.17.an_do_ari 
(-6, -7, 33), [2, 1, 1], 3.17.an_do_aqu 
(-8, -5, 36), [0, 3, 0], 3.17.an_dp_arq 
(-5, -8, 36), [3, 0, 0], 3.17.an_dp_ark 
(-4, -9, 41), [0, 3, 1], 3.17.an_dq_asc 
(-8, -5, 37), [0, 3, 1], 3.17.an_dq_ary 
(-6, -7, 35), [2, 1, 3], 3.17.an_dq_arg 
(-5, -8, 38), [3, 0, 2], 3.17.an_dr_aru 
