(-8, -10, 52), [9, 7, 1], 3.17.as_ft_abdc 
(-7, -11, 60), [10, 6, 9], 3.17.as_fy_abeo 
(-8, -9, 49), [9, 8, 15], 3.17.ar_fi_abaw 
(-8, -8, 32), [9, 9, 15], 3.17.aq_ej_aui 
(-8, -8, 36), [9, 9, 2], 3.17.aq_en_avo 
(-8, -8, 37), [9, 9, 3], 3.17.aq_eo_avw 
(-7, -9, 41), [10, 8, 7], 3.17.aq_er_awv 
(-8, -8, 42), [9, 9, 8], 3.17.aq_et_axk 
(-7, -9, 43), [10, 8, 9], 3.17.aq_et_axj 
(-7, -9, 44), [10, 8, 10], 3.17.aq_eu_axq 
(-6, -10, 49), [11, 7, 15], 3.17.aq_ew_ayk 
(-8, -8, 45), [9, 9, 11], 3.17.aq_ew_ayi 
(-7, -9, 46), [10, 8, 12], 3.17.aq_ew_aye 
(-6, -10, 52), [11, 7, 1], 3.17.aq_ez_azc 
(-6, -10, 53), [11, 7, 2], 3.17.aq_fa_azi 
(-3, -13, 75), [14, 4, 7], 3.17.aq_fb_azr 
(-6, -10, 56), [11, 7, 5], 3.17.aq_fd_abaa 
(-7, -8, 32), [10, 9, 15], 3.17.ap_eb_atc 
(-8, -7, 32), [9, 10, 15], 3.17.ap_eb_ata 
(-8, -7, 33), [9, 10, 16], 3.17.ap_ec_ati 
(-8, -7, 35), [9, 10, 1], 3.17.ap_ee_aty 
(-8, -7, 36), [9, 10, 2], 3.17.ap_ef_aug 
(-8, -7, 38), [9, 10, 4], 3.17.ap_eh_auw 
(-6, -9, 41), [11, 8, 7], 3.17.ap_ei_avg 
(-8, -7, 39), [9, 10, 5], 3.17.ap_ei_ave 
(-8, -7, 41), [9, 10, 7], 3.17.ap_ek_avu 
(-6, -9, 43), [11, 8, 9], 3.17.ap_ek_avs 
(-8, -7, 42), [9, 10, 8], 3.17.ap_el_awc 
(-6, -9, 44), [11, 8, 10], 3.17.ap_el_avy 
(-8, -7, 43), [9, 10, 9], 3.17.ap_em_awk 
(-6, -9, 47), [11, 8, 13], 3.17.ap_eo_awq 
(-5, -10, 52), [12, 7, 1], 3.17.ap_ep_axc 
(-5, -10, 54), [12, 7, 3], 3.17.ap_er_axm 
(-7, -8, 48), [10, 9, 14], 3.17.ap_er_axk 
(-8, -6, 16), [9, 11, 16], 3.17.ao_dd_amu 
(-8, -6, 22), [9, 11, 5], 3.17.ao_dj_aoq 
(-8, -6, 23), [9, 11, 6], 3.17.ao_dk_aoy 
(-8, -6, 24), [9, 11, 7], 3.17.ao_dl_apg 
(-7, -7, 24), [10, 10, 7], 3.17.ao_dm_apq 
(-8, -6, 25), [9, 11, 8], 3.17.ao_dm_apo 
(-7, -7, 25), [10, 10, 8], 3.17.ao_dn_apx 
(-8, -6, 26), [9, 11, 9], 3.17.ao_dn_apw 
(-8, -6, 28), [9, 11, 11], 3.17.ao_dp_aqm 
(-7, -7, 27), [10, 10, 10], 3.17.ao_dp_aql 
(-8, -6, 29), [9, 11, 12], 3.17.ao_dq_aqu 
(-7, -7, 28), [10, 10, 11], 3.17.ao_dq_aqs 
(-8, -6, 30), [9, 11, 13], 3.17.ao_dr_arc 
(-8, -6, 31), [9, 11, 14], 3.17.ao_ds_ark 
(-7, -7, 30), [10, 10, 13], 3.17.ao_ds_arg 
(-6, -8, 32), [11, 9, 15], 3.17.ao_dt_arw 
