(-9, -13, 84), [3, 3, 0], 3.23.aw_iq_acac 
(-6, -16, 108), [2, 0, 0], 3.23.aw_it_acbg 
(-9, -12, 80), [3, 0, 0], 3.23.av_id_abwy 
(-9, -11, 62), [3, 1, 2], 3.23.au_hc_aboy 
(-8, -12, 70), [0, 0, 2], 3.23.au_hh_abqu 
(-8, -12, 71), [0, 0, 3], 3.23.au_hi_abrc 
(-9, -11, 68), [3, 1, 0], 3.23.au_hi_abra 
(-8, -12, 72), [0, 0, 0], 3.23.au_hj_abrk 
(-7, -13, 79), [1, 3, 3], 3.23.au_hl_absh 
(-9, -11, 71), [3, 1, 3], 3.23.au_hl_absb 
(-8, -12, 74), [0, 0, 2], 3.23.au_hl_absa 
(-9, -11, 72), [3, 1, 0], 3.23.au_hm_absk 
(-8, -12, 75), [0, 0, 3], 3.23.au_hm_absi 
(-4, -16, 108), [0, 0, 0], 3.23.au_hn_absy 
(-8, -12, 76), [0, 0, 0], 3.23.au_hn_absq 
(-6, -14, 90), [2, 2, 2], 3.23.au_hp_abto 
(-7, -13, 84), [1, 3, 0], 3.23.au_hq_abtq 
(-8, -11, 60), [0, 1, 0], 3.23.at_gp_ably 
(-8, -11, 61), [0, 1, 1], 3.23.at_gq_abmg 
(-9, -10, 60), [3, 2, 0], 3.23.at_gr_abmm 
(-8, -11, 63), [0, 1, 3], 3.23.at_gs_abmw 
(-8, -11, 65), [0, 1, 1], 3.23.at_gu_abnm 
(-7, -12, 70), [1, 0, 2], 3.23.at_gv_aboc 
(-8, -11, 66), [0, 1, 2], 3.23.at_gv_abnu 
(-3, -16, 108), [1, 0, 0], 3.23.at_gx_abou 
(-9, -10, 66), [3, 2, 2], 3.23.at_gx_aboo 
(-6, -13, 80), [2, 3, 0], 3.23.at_gz_abpm 
(-9, -10, 68), [3, 2, 0], 3.23.at_gz_abpg 
(-6, -13, 81), [2, 3, 1], 3.23.at_ha_abps 
(-7, -12, 76), [1, 0, 0], 3.23.at_hb_abps 
(-6, -13, 83), [2, 3, 3], 3.23.at_hc_abqe 
(-4, -15, 101), [0, 1, 1], 3.23.at_hc_abqc 
(-8, -11, 75), [0, 1, 3], 3.23.at_he_abqo 
(-9, -9, 42), [3, 3, 2], 3.23.as_fq_abem 
(-9, -9, 44), [3, 3, 0], 3.23.as_fs_abfe 
(-8, -10, 50), [0, 2, 2], 3.23.as_fx_abhc 
(-8, -10, 51), [0, 2, 3], 3.23.as_fy_abhk 
(-9, -9, 50), [3, 3, 2], 3.23.as_fy_abhg 
(-8, -10, 52), [0, 2, 0], 3.23.as_fz_abhs 
(-8, -10, 53), [0, 2, 1], 3.23.as_ga_abia 
(-9, -9, 52), [3, 3, 0], 3.23.as_ga_abhy 
(-8, -10, 54), [0, 2, 2], 3.23.as_gb_abii 
(-9, -9, 55), [3, 3, 3], 3.23.as_gd_abiz 
(-8, -10, 56), [0, 2, 0], 3.23.as_gd_abiy 
(-7, -11, 60), [1, 1, 0], 3.23.as_ge_abjq 
(-9, -9, 56), [3, 3, 0], 3.23.as_ge_abji 
(-8, -10, 57), [0, 2, 1], 3.23.as_ge_abjg 
(-7, -11, 61), [1, 1, 1], 3.23.as_gf_abjx 
(-9, -9, 57), [3, 3, 1], 3.23.as_gf_abjr 
(-8, -10, 58), [0, 2, 2], 3.23.as_gf_abjo 
(-7, -11, 62), [1, 1, 2], 3.23.as_gg_abke 
(-9, -9, 58), [3, 3, 2], 3.23.as_gg_abka 
(-8, -10, 59), [0, 2, 3], 3.23.as_gg_abjw 
(-2, -16, 108), [2, 0, 0], 3.23.as_gh_abkq 
(-9, -9, 59), [3, 3, 3], 3.23.as_gh_abkj 
(-8, -10, 60), [0, 2, 0], 3.23.as_gh_abke 
(-6, -12, 70), [2, 0, 2], 3.23.as_gj_ablk 
(-9, -9, 61), [3, 3, 1], 3.23.as_gj_ablb 
(-7, -11, 65), [1, 1, 1], 3.23.as_gj_abkz 
(-3, -15, 98), [1, 1, 2], 3.23.as_gk_ablw 
(-6, -12, 71), [2, 0, 3], 3.23.as_gk_ablq 
(-9, -9, 62), [3, 3, 2], 3.23.as_gk_ablk 
(-7, -11, 66), [1, 1, 2], 3.23.as_gk_ablg 
(-5, -13, 79), [3, 3, 3], 3.23.as_gl_abmf 
(-6, -12, 72), [2, 0, 0], 3.23.as_gl_ablw 
(-9, -9, 63), [3, 3, 3], 3.23.as_gl_ablt 
(-7, -11, 67), [1, 1, 3], 3.23.as_gl_abln 
(-8, -10, 64), [0, 2, 0], 3.23.as_gl_ablk 
(-4, -14, 89), [0, 2, 1], 3.23.as_gm_abmm 
(-5, -13, 80), [3, 3, 0], 3.23.as_gm_abmk 
(-8, -10, 65), [0, 2, 1], 3.23.as_gm_abls 
(-4, -14, 90), [0, 2, 2], 3.23.as_gn_abmq 
(-6, -12, 74), [2, 0, 2], 3.23.as_gn_abmi 
(-3, -15, 101), [1, 1, 1], 3.23.as_gn_abmf 
(-6, -12, 76), [2, 0, 0], 3.23.as_gp_abmu 
(-8, -10, 68), [0, 2, 0], 3.23.as_gp_abmq 
(-5, -13, 84), [3, 3, 0], 3.23.as_gq_abne 
(-4, -14, 93), [0, 2, 1], 3.23.as_gq_abnc 
(-6, -12, 77), [2, 0, 1], 3.23.as_gq_abna 
(-6, -12, 80), [2, 0, 0], 3.23.as_gt_abns 
(-9, -8, 32), [3, 0, 0], 3.23.ar_ex_azg 
(-8, -9, 41), [0, 3, 1], 3.23.ar_fg_abco 
(-8, -9, 42), [0, 3, 2], 3.23.ar_fh_abcw 
(-9, -8, 42), [3, 0, 2], 3.23.ar_fh_abcs 
(-8, -9, 43), [0, 3, 3], 3.23.ar_fi_abde 
(-8, -9, 44), [0, 3, 0], 3.23.ar_fj_abdm 
(-9, -8, 44), [3, 0, 0], 3.23.ar_fj_abdk 
(-8, -9, 45), [0, 3, 1], 3.23.ar_fk_abdu 
(-8, -9, 47), [0, 3, 3], 3.23.ar_fm_abek 
(-9, -8, 48), [3, 0, 0], 3.23.ar_fn_abeu 
(-8, -9, 48), [0, 3, 0], 3.23.ar_fn_abes 
(-8, -9, 49), [0, 3, 1], 3.23.ar_fo_abfa 
(-7, -10, 52), [1, 2, 0], 3.23.ar_fp_abfs 
(-9, -8, 50), [3, 0, 2], 3.23.ar_fp_abfm 
(-1, -16, 108), [3, 0, 0], 3.23.ar_fr_abgm 
(-7, -10, 54), [1, 2, 2], 3.23.ar_fr_abgg 
(-9, -8, 52), [3, 0, 0], 3.23.ar_fr_abge 
(-6, -11, 60), [2, 1, 0], 3.23.ar_ft_abhi 
(-9, -8, 54), [3, 0, 2], 3.23.ar_ft_abgw 
(-7, -10, 56), [1, 2, 0], 3.23.ar_ft_abgu 
(-6, -11, 61), [2, 1, 1], 3.23.ar_fu_abho 
(-2, -15, 98), [2, 1, 2], 3.23.ar_fv_abic 
(-6, -11, 62), [2, 1, 2], 3.23.ar_fv_abhu 
(-9, -8, 56), [3, 0, 0], 3.23.ar_fv_abho 
(-7, -10, 58), [1, 2, 2], 3.23.ar_fv_abhi 
(-2, -15, 99), [2, 1, 3], 3.23.ar_fw_abie 
(-6, -11, 63), [2, 1, 3], 3.23.ar_fw_abia 
(-5, -12, 70), [3, 0, 2], 3.23.ar_fx_abis 
(-8, -9, 58), [0, 3, 2], 3.23.ar_fx_abhu 
(-6, -11, 65), [2, 1, 1], 3.23.ar_fy_abim 
(-2, -15, 101), [2, 1, 1], 3.23.ar_fy_abii 
(-8, -9, 59), [0, 3, 3], 3.23.ar_fy_abic 
(-3, -14, 90), [1, 2, 2], 3.23.ar_fz_abje 
(-9, -8, 60), [3, 0, 0], 3.23.ar_fz_abiy 
(-6, -11, 66), [2, 1, 2], 3.23.ar_fz_abis 
(-8, -9, 61), [0, 3, 1], 3.23.ar_ga_abis 
(-5, -12, 74), [3, 0, 2], 3.23.ar_gb_abjm 
(-6, -11, 68), [2, 1, 0], 3.23.ar_gb_abje 
(-8, -9, 62), [0, 3, 2], 3.23.ar_gb_abja 
(-8, -9, 63), [0, 3, 3], 3.23.ar_gc_abji 
(-5, -12, 76), [3, 0, 0], 3.23.ar_gd_abjw 
(-8, -9, 65), [0, 3, 1], 3.23.ar_ge_abjy 
(-6, -11, 71), [2, 1, 3], 3.23.ar_ge_abjw 
(-6, -11, 72), [2, 1, 0], 3.23.ar_gf_abkc 
(-4, -13, 87), [0, 3, 3], 3.23.ar_gg_abkk 
(-9, -7, 22), [3, 1, 2], 3.23.aq_ee_aua 
(-9, -7, 24), [3, 1, 0], 3.23.aq_eg_aus 
(-9, -7, 26), [3, 1, 2], 3.23.aq_ei_avk 
(-9, -7, 30), [3, 1, 2], 3.23.aq_em_awu 
(-8, -8, 31), [0, 0, 3], 3.23.aq_eo_axs 
(-9, -7, 32), [3, 1, 0], 3.23.aq_eo_axm 
(-8, -8, 32), [0, 0, 0], 3.23.aq_ep_aya 
(-9, -7, 33), [3, 1, 1], 3.23.aq_ep_axv 
(-8, -8, 33), [0, 0, 1], 3.23.aq_eq_ayi 
(-9, -7, 34), [3, 1, 2], 3.23.aq_eq_aye 
(-8, -8, 34), [0, 0, 2], 3.23.aq_er_ayq 
(-9, -7, 35), [3, 1, 3], 3.23.aq_er_ayn 
(-8, -8, 35), [0, 0, 3], 3.23.aq_es_ayy 
(-9, -7, 36), [3, 1, 0], 3.23.aq_es_ayw 
(-8, -8, 36), [0, 0, 0], 3.23.aq_et_azg 
(-9, -7, 37), [3, 1, 1], 3.23.aq_et_azf 
(-9, -7, 39), [3, 1, 3], 3.23.aq_ev_azx 
(-8, -8, 38), [0, 0, 2], 3.23.aq_ev_azw 
(-9, -7, 40), [3, 1, 0], 3.23.aq_ew_abag 
(-8, -8, 39), [0, 0, 3], 3.23.aq_ew_abae 
(-7, -9, 41), [1, 3, 1], 3.23.aq_ex_abaz 
(-9, -7, 41), [3, 1, 1], 3.23.aq_ex_abap 
(-8, -8, 40), [0, 0, 0], 3.23.aq_ex_abam 
(-7, -9, 42), [1, 3, 2], 3.23.aq_ey_abbg 
(-9, -7, 42), [3, 1, 2], 3.23.aq_ey_abay 
(-8, -8, 41), [0, 0, 1], 3.23.aq_ey_abau 
(-7, -9, 43), [1, 3, 3], 3.23.aq_ez_abbn 
(-9, -7, 43), [3, 1, 3], 3.23.aq_ez_abbh 
(-8, -8, 42), [0, 0, 2], 3.23.aq_ez_abbc 
(-7, -9, 44), [1, 3, 0], 3.23.aq_fa_abbu 
(-9, -7, 44), [3, 1, 0], 3.23.aq_fa_abbq 
(-8, -8, 43), [0, 0, 3], 3.23.aq_fa_abbk 
(-7, -9, 45), [1, 3, 1], 3.23.aq_fb_abcb 
(-9, -7, 45), [3, 1, 1], 3.23.aq_fb_abbz 
(-8, -8, 44), [0, 0, 0], 3.23.aq_fb_abbs 
(-6, -10, 50), [2, 2, 2], 3.23.aq_fd_abdg 
(-9, -7, 47), [3, 1, 3], 3.23.aq_fd_abcr 
(-6, -10, 51), [2, 2, 3], 3.23.aq_fe_abdm 
(-9, -7, 48), [3, 1, 0], 3.23.aq_fe_abda 
(-7, -9, 48), [1, 3, 0], 3.23.aq_fe_abcw 
(-6, -10, 52), [2, 2, 0], 3.23.aq_ff_abds 
(-9, -7, 49), [3, 1, 1], 3.23.aq_ff_abdj 
(-7, -9, 49), [1, 3, 1], 3.23.aq_ff_abdd 
(-8, -8, 48), [0, 0, 0], 3.23.aq_ff_abcy 
(-1, -15, 98), [3, 1, 2], 3.23.aq_fg_abei 
(-6, -10, 53), [2, 2, 1], 3.23.aq_fg_abdy 
(-9, -7, 50), [3, 1, 2], 3.23.aq_fg_abds 
(-7, -9, 50), [1, 3, 2], 3.23.aq_fg_abdk 
(-8, -8, 49), [0, 0, 1], 3.23.aq_fg_abdg 
(-1, -15, 99), [3, 1, 3], 3.23.aq_fh_abej 
(-6, -10, 54), [2, 2, 2], 3.23.aq_fh_abee 
(-9, -7, 51), [3, 1, 3], 3.23.aq_fh_abeb 
(-7, -9, 51), [1, 3, 3], 3.23.aq_fh_abdr 
(-8, -8, 50), [0, 0, 2], 3.23.aq_fh_abdo 
(-7, -9, 52), [1, 3, 0], 3.23.aq_fi_abdy 
(-8, -8, 51), [0, 0, 3], 3.23.aq_fi_abdw 
(-5, -11, 61), [3, 1, 1], 3.23.aq_fj_abff 
(-9, -7, 53), [3, 1, 1], 3.23.aq_fj_abet 
(-6, -10, 56), [2, 2, 0], 3.23.aq_fj_abeq 
(-1, -15, 101), [3, 1, 1], 3.23.aq_fj_abel 
(-7, -9, 53), [1, 3, 1], 3.23.aq_fj_abef 
(-8, -8, 52), [0, 0, 0], 3.23.aq_fj_abee 
(-2, -14, 89), [2, 2, 1], 3.23.aq_fk_abfq 
(-5, -11, 62), [3, 1, 2], 3.23.aq_fk_abfk 
(-9, -7, 54), [3, 1, 2], 3.23.aq_fk_abfc 
(-6, -10, 57), [2, 2, 1], 3.23.aq_fk_abew 
(-4, -12, 70), [0, 0, 2], 3.23.aq_fl_abga 
(-2, -14, 90), [2, 2, 2], 3.23.aq_fl_abfs 
(-5, -11, 63), [3, 1, 3], 3.23.aq_fl_abfp 
(-9, -7, 55), [3, 1, 3], 3.23.aq_fl_abfl 
(-6, -10, 58), [2, 2, 2], 3.23.aq_fl_abfc 
(-8, -8, 54), [0, 0, 2], 3.23.aq_fl_abeu 
(-7, -9, 55), [1, 3, 3], 3.23.aq_fl_abet 
(-3, -13, 80), [1, 3, 0], 3.23.aq_fm_abgg 
(-4, -12, 71), [0, 0, 3], 3.23.aq_fm_abge 
(-6, -10, 59), [2, 2, 3], 3.23.aq_fm_abfi 
(-8, -8, 55), [0, 0, 3], 3.23.aq_fm_abfc 
(-7, -9, 56), [1, 3, 0], 3.23.aq_fm_abfa 
(-3, -13, 81), [1, 3, 1], 3.23.aq_fn_abgj 
(-4, -12, 72), [0, 0, 0], 3.23.aq_fn_abgi 
(-9, -7, 57), [3, 1, 1], 3.23.aq_fn_abgd 
(-5, -11, 65), [3, 1, 1], 3.23.aq_fn_abfz 
(-6, -10, 60), [2, 2, 0], 3.23.aq_fn_abfo 
(-8, -8, 56), [0, 0, 0], 3.23.aq_fn_abfk 
(-5, -11, 66), [3, 1, 2], 3.23.aq_fo_abge 
(-2, -14, 93), [2, 2, 1], 3.23.aq_fo_abfy 
(-6, -10, 61), [2, 2, 1], 3.23.aq_fo_abfu 
(-8, -8, 57), [0, 0, 1], 3.23.aq_fo_abfs 
(-7, -9, 58), [1, 3, 2], 3.23.aq_fo_abfo 
(-4, -12, 74), [0, 0, 2], 3.23.aq_fp_abgq 
(-3, -13, 83), [1, 3, 3], 3.23.aq_fp_abgp 
(-5, -11, 67), [3, 1, 3], 3.23.aq_fp_abgj 
(-4, -12, 75), [0, 0, 3], 3.23.aq_fq_abgu 
(-3, -13, 84), [1, 3, 0], 3.23.aq_fq_abgs 
(-5, -11, 68), [3, 1, 0], 3.23.aq_fq_abgo 
(-8, -8, 59), [0, 0, 3], 3.23.aq_fq_abgi 
(-6, -10, 63), [2, 2, 3], 3.23.aq_fq_abgg 
(-4, -12, 76), [0, 0, 0], 3.23.aq_fr_abgy 
(-3, -13, 85), [1, 3, 1], 3.23.aq_fr_abgv 
(-8, -8, 60), [0, 0, 0], 3.23.aq_fr_abgq 
(-6, -10, 64), [2, 2, 0], 3.23.aq_fr_abgm 
(-6, -10, 65), [2, 2, 1], 3.23.aq_fs_abgs 
(-7, -9, 62), [1, 3, 2], 3.23.aq_fs_abgq 
(-5, -11, 71), [3, 1, 3], 3.23.aq_ft_abhd 
(-3, -13, 87), [1, 3, 3], 3.23.aq_ft_abhb 
(-6, -10, 66), [2, 2, 2], 3.23.aq_ft_abgy 
(-5, -11, 72), [3, 1, 0], 3.23.aq_fu_abhi 
(-4, -12, 80), [0, 0, 0], 3.23.aq_fv_abho 
(-7, -9, 65), [1, 3, 1], 3.23.aq_fv_abhl 
(-6, -10, 68), [2, 2, 0], 3.23.aq_fv_abhk 
(-9, -6, 14), [3, 2, 2], 3.23.ap_dn_apm 
(-8, -7, 22), [0, 1, 2], 3.23.ap_dx_ate 
(-9, -6, 24), [3, 2, 0], 3.23.ap_dx_asy 
(-8, -7, 24), [0, 1, 0], 3.23.ap_dz_atu 
(-9, -6, 26), [3, 2, 2], 3.23.ap_dz_atq 
(-8, -7, 25), [0, 1, 1], 3.23.ap_ea_auc 
(-8, -7, 26), [0, 1, 2], 3.23.ap_eb_auk 
(-9, -6, 28), [3, 2, 0], 3.23.ap_eb_aui 
(-8, -7, 27), [0, 1, 3], 3.23.ap_ec_aus 
(-8, -7, 29), [0, 1, 1], 3.23.ap_ee_avi 
(-9, -6, 32), [3, 2, 0], 3.23.ap_ef_avs 
(-8, -7, 30), [0, 1, 2], 3.23.ap_ef_avq 
(-8, -7, 31), [0, 1, 3], 3.23.ap_eg_avy 
(-7, -8, 32), [1, 0, 0], 3.23.ap_eh_awu 
(-9, -6, 34), [3, 2, 2], 3.23.ap_eh_awk 
(-8, -7, 32), [0, 1, 0], 3.23.ap_eh_awg 
(-8, -7, 33), [0, 1, 1], 3.23.ap_ei_awo 
(-7, -8, 34), [1, 0, 2], 3.23.ap_ej_axi 
(-9, -6, 36), [3, 2, 0], 3.23.ap_ej_axc 
(1, -16, 108), [1, 0, 0], 3.23.ap_el_aye 
(-7, -8, 36), [1, 0, 0], 3.23.ap_el_axw 
(-9, -6, 38), [3, 2, 2], 3.23.ap_el_axu 
(-9, -6, 40), [3, 2, 0], 3.23.ap_en_aym 
(-7, -8, 38), [1, 0, 2], 3.23.ap_en_ayk 
(-6, -9, 41), [2, 3, 1], 3.23.ap_eo_azk 
(-6, -9, 42), [2, 3, 2], 3.23.ap_ep_azq 
(-9, -6, 42), [3, 2, 2], 3.23.ap_ep_aze 
(-7, -8, 40), [1, 0, 0], 3.23.ap_ep_ayy 
(-6, -9, 43), [2, 3, 3], 3.23.ap_eq_azw 
(-6, -9, 44), [2, 3, 0], 3.23.ap_er_abac 
(-9, -6, 44), [3, 2, 0], 3.23.ap_er_azw 
(-7, -8, 42), [1, 0, 2], 3.23.ap_er_azm 
(-8, -7, 42), [0, 1, 2], 3.23.ap_er_azi 
(-6, -9, 45), [2, 3, 1], 3.23.ap_es_abai 
(-8, -7, 43), [0, 1, 3], 3.23.ap_es_azq 
(-5, -10, 50), [3, 2, 2], 3.23.ap_et_abbi 
(-7, -8, 44), [1, 0, 0], 3.23.ap_et_abaa 
(-8, -7, 44), [0, 1, 0], 3.23.ap_et_azy 
(-6, -9, 47), [2, 3, 3], 3.23.ap_eu_abau 
(-8, -7, 45), [0, 1, 1], 3.23.ap_eu_abag 
(-5, -10, 52), [3, 2, 0], 3.23.ap_ev_abbs 
(-9, -6, 48), [3, 2, 0], 3.23.ap_ev_abbg 
(-6, -9, 48), [2, 3, 0], 3.23.ap_ev_abba 
(-6, -9, 49), [2, 3, 1], 3.23.ap_ew_abbg 
(-8, -7, 47), [0, 1, 3], 3.23.ap_ew_abaw 
(-4, -11, 60), [0, 1, 0], 3.23.ap_ex_abcs 
(-1, -14, 90), [3, 2, 2], 3.23.ap_ex_abcg 
(-5, -10, 54), [3, 2, 2], 3.23.ap_ex_abcc 
(-9, -6, 50), [3, 2, 2], 3.23.ap_ex_abby 
(-6, -9, 50), [2, 3, 2], 3.23.ap_ex_abbm 
(-8, -7, 48), [0, 1, 0], 3.23.ap_ex_abbe 
(-7, -8, 48), [1, 0, 0], 3.23.ap_ex_abbc 
(-2, -13, 79), [2, 3, 3], 3.23.ap_ey_abdc 
(-4, -11, 61), [0, 1, 1], 3.23.ap_ey_abcw 
(-6, -9, 51), [2, 3, 3], 3.23.ap_ey_abbs 
(-8, -7, 49), [0, 1, 1], 3.23.ap_ey_abbm 
(-2, -13, 80), [2, 3, 0], 3.23.ap_ez_abde 
(-4, -11, 62), [0, 1, 2], 3.23.ap_ez_abda 
(-9, -6, 52), [3, 2, 0], 3.23.ap_ez_abcq 
(-5, -10, 56), [3, 2, 0], 3.23.ap_ez_abcm 
(-6, -9, 52), [2, 3, 0], 3.23.ap_ez_abby 
(-8, -7, 50), [0, 1, 2], 3.23.ap_ez_abbu 
(-2, -13, 81), [2, 3, 1], 3.23.ap_fa_abdg 
(-4, -11, 63), [0, 1, 3], 3.23.ap_fa_abde 
(-6, -9, 53), [2, 3, 1], 3.23.ap_fa_abce 
(-8, -7, 51), [0, 1, 3], 3.23.ap_fa_abcc 
(-5, -10, 58), [3, 2, 2], 3.23.ap_fb_abcw 
(-4, -11, 65), [0, 1, 1], 3.23.ap_fc_abdm 
(-2, -13, 83), [2, 3, 3], 3.23.ap_fc_abdk 
(-8, -7, 53), [0, 1, 1], 3.23.ap_fc_abcs 
(-6, -9, 55), [2, 3, 3], 3.23.ap_fc_abcq 
(-4, -11, 66), [0, 1, 2], 3.23.ap_fd_abdq 
(-2, -13, 84), [2, 3, 0], 3.23.ap_fd_abdm 
(-5, -10, 60), [3, 2, 0], 3.23.ap_fd_abdg 
(-8, -7, 54), [0, 1, 2], 3.23.ap_fd_abda 
(-6, -9, 56), [2, 3, 0], 3.23.ap_fd_abcw 
(-4, -11, 67), [0, 1, 3], 3.23.ap_fe_abdu 
(-2, -13, 85), [2, 3, 1], 3.23.ap_fe_abdo 
(-8, -7, 55), [0, 1, 3], 3.23.ap_fe_abdi 
(-6, -9, 57), [2, 3, 1], 3.23.ap_fe_abdc 
(-4, -11, 68), [0, 1, 0], 3.23.ap_ff_abdy 
(-6, -9, 58), [2, 3, 2], 3.23.ap_ff_abdi 
(-8, -7, 57), [0, 1, 1], 3.23.ap_fg_abdy 
(-2, -13, 87), [2, 3, 3], 3.23.ap_fg_abds 
(-6, -9, 59), [2, 3, 3], 3.23.ap_fg_abdo 
