(-9, -13, 81), [3, 3, 1], 3.25.aw_ip_acbb 
(-8, -14, 92), [0, 2, 0], 3.25.aw_iv_acdg 
(-9, -13, 88), [3, 3, 0], 3.25.aw_iw_acdm 
(-8, -14, 94), [0, 2, 2], 3.25.aw_ix_acdw 
(-7, -15, 102), [1, 1, 2], 3.25.aw_iy_acei 
(-8, -14, 96), [0, 2, 0], 3.25.aw_iz_acem 
(-8, -13, 84), [0, 3, 0], 3.25.av_if_abyw 
(-4, -17, 121), [0, 3, 1], 3.25.av_ig_abzi 
(-9, -11, 62), [3, 1, 2], 3.25.au_he_abqq 
(-9, -11, 64), [3, 1, 0], 3.25.au_hg_abri 
(-9, -11, 66), [3, 1, 2], 3.25.au_hi_absa 
(-8, -12, 72), [0, 0, 0], 3.25.au_hl_abtg 
(-8, -12, 73), [0, 0, 1], 3.25.au_hm_abto 
(-8, -12, 74), [0, 0, 2], 3.25.au_hn_abtw 
(-9, -11, 72), [3, 1, 0], 3.25.au_ho_abuc 
(-7, -13, 81), [1, 3, 1], 3.25.au_hp_abuv 
(-3, -17, 121), [1, 3, 1], 3.25.au_hp_abur 
(-8, -12, 76), [0, 0, 0], 3.25.au_hp_abum 
(-7, -13, 82), [1, 3, 2], 3.25.au_hq_abvc 
(-8, -12, 78), [0, 0, 2], 3.25.au_hr_abvc 
(-4, -16, 111), [0, 0, 3], 3.25.au_hs_abvw 
(-7, -13, 84), [1, 3, 0], 3.25.au_hs_abvq 
(-9, -11, 76), [3, 1, 0], 3.25.au_hs_abvm 
(-6, -14, 92), [2, 2, 0], 3.25.au_ht_abwe 
(-4, -16, 112), [0, 0, 0], 3.25.au_ht_abwa 
(-6, -14, 93), [2, 2, 1], 3.25.au_hu_abwk 
(-6, -14, 94), [2, 2, 2], 3.25.au_hv_abwq 
(-9, -11, 79), [3, 1, 3], 3.25.au_hv_abwn 
(-7, -13, 87), [1, 3, 3], 3.25.au_hv_abwl 
(-7, -13, 88), [1, 3, 0], 3.25.au_hw_abws 
(-6, -14, 96), [2, 2, 0], 3.25.au_hx_abxc 
(-8, -12, 84), [0, 0, 0], 3.25.au_hx_abwy 
(-9, -10, 54), [3, 2, 2], 3.25.at_gn_ably 
(-8, -11, 61), [0, 1, 1], 3.25.at_gs_abny 
(-8, -11, 62), [0, 1, 2], 3.25.at_gt_abog 
(-8, -11, 63), [0, 1, 3], 3.25.at_gu_aboo 
(-8, -11, 64), [0, 1, 0], 3.25.at_gv_abow 
(-8, -11, 66), [0, 1, 2], 3.25.at_gx_abpm 
(-2, -17, 121), [2, 3, 1], 3.25.at_gy_abqa 
(-8, -11, 67), [0, 1, 3], 3.25.at_gy_abpu 
(-8, -11, 69), [0, 1, 1], 3.25.at_ha_abqk 
(-7, -12, 74), [1, 0, 2], 3.25.at_hb_abra 
(-6, -13, 81), [2, 3, 1], 3.25.at_hc_abrs 
(-6, -13, 82), [2, 3, 2], 3.25.at_hd_abry 
(-7, -12, 76), [1, 0, 0], 3.25.at_hd_abro 
(-6, -13, 83), [2, 3, 3], 3.25.at_he_abse 
(-4, -15, 102), [0, 1, 2], 3.25.at_hf_abso 
(-6, -13, 84), [2, 3, 0], 3.25.at_hf_absk 
(-7, -12, 78), [1, 0, 2], 3.25.at_hf_absc 
(-4, -15, 103), [0, 1, 3], 3.25.at_hg_abss 
(-6, -13, 87), [2, 3, 3], 3.25.at_hi_abtc 
(-8, -11, 79), [0, 1, 3], 3.25.at_hk_abtm 
(-9, -9, 42), [3, 3, 2], 3.25.as_fs_abfw 
(-9, -9, 44), [3, 3, 0], 3.25.as_fu_abgo 
(-9, -9, 46), [3, 3, 2], 3.25.as_fw_abhg 
(-9, -9, 48), [3, 3, 0], 3.25.as_fy_abhy 
(-8, -10, 51), [0, 2, 3], 3.25.as_ga_abiy 
(-8, -10, 52), [0, 2, 0], 3.25.as_gb_abjg 
(-8, -10, 53), [0, 2, 1], 3.25.as_gc_abjo 
(-9, -9, 52), [3, 3, 0], 3.25.as_gc_abji 
(-8, -10, 54), [0, 2, 2], 3.25.as_gd_abjw 
(-9, -9, 54), [3, 3, 2], 3.25.as_ge_abka 
(-8, -10, 56), [0, 2, 0], 3.25.as_gf_abkm 
(-8, -10, 57), [0, 2, 1], 3.25.as_gg_abku 
(-9, -9, 56), [3, 3, 0], 3.25.as_gg_abks 
(-7, -11, 61), [1, 1, 1], 3.25.as_gh_ablp 
(-1, -17, 121), [3, 3, 1], 3.25.as_gh_ablj 
(-8, -10, 58), [0, 2, 2], 3.25.as_gh_ablc 
(-9, -9, 57), [3, 3, 1], 3.25.as_gh_ablb 
(-7, -11, 62), [1, 1, 2], 3.25.as_gi_ablw 
(-7, -11, 63), [1, 1, 3], 3.25.as_gj_abmd 
(-9, -9, 59), [3, 3, 3], 3.25.as_gj_ablt 
(-7, -11, 64), [1, 1, 0], 3.25.as_gk_abmk 
(-8, -10, 61), [0, 2, 1], 3.25.as_gk_abma 
(-9, -9, 61), [3, 3, 1], 3.25.as_gl_abml 
(-8, -10, 62), [0, 2, 2], 3.25.as_gl_abmi 
(-6, -12, 71), [2, 0, 3], 3.25.as_gm_abnm 
(-2, -16, 111), [2, 0, 3], 3.25.as_gm_abni 
(-7, -11, 66), [1, 1, 2], 3.25.as_gm_abmy 
(-9, -9, 62), [3, 3, 2], 3.25.as_gm_abmu 
(-8, -10, 63), [0, 2, 3], 3.25.as_gm_abmq 
(-6, -12, 72), [2, 0, 0], 3.25.as_gn_abns 
(-2, -16, 112), [2, 0, 0], 3.25.as_gn_abnk 
(-7, -11, 67), [1, 1, 3], 3.25.as_gn_abnf 
(-9, -9, 63), [3, 3, 3], 3.25.as_gn_abnd 
(-8, -10, 64), [0, 2, 0], 3.25.as_gn_abmy 
(-6, -12, 73), [2, 0, 1], 3.25.as_go_abny 
(-3, -15, 101), [1, 1, 1], 3.25.as_gp_abon 
(-6, -12, 74), [2, 0, 2], 3.25.as_gp_aboe 
(-7, -11, 69), [1, 1, 1], 3.25.as_gp_abnt 
(-3, -15, 102), [1, 1, 2], 3.25.as_gq_aboq 
(-9, -9, 66), [3, 3, 2], 3.25.as_gq_aboe 
(-3, -15, 103), [1, 1, 3], 3.25.as_gr_abot 
(-6, -12, 76), [2, 0, 0], 3.25.as_gr_aboq 
(-9, -9, 67), [3, 3, 3], 3.25.as_gr_abon 
(-8, -10, 68), [0, 2, 0], 3.25.as_gr_aboe 
(-7, -11, 72), [1, 1, 0], 3.25.as_gs_aboo 
(-8, -10, 69), [0, 2, 1], 3.25.as_gs_abom 
(-4, -14, 94), [0, 2, 2], 3.25.as_gt_abpk 
(-9, -9, 69), [3, 3, 1], 3.25.as_gt_abpf 
(-6, -12, 78), [2, 0, 2], 3.25.as_gt_abpc 
(-6, -12, 79), [2, 0, 3], 3.25.as_gu_abpi 
(-4, -14, 96), [0, 2, 0], 3.25.as_gv_abps 
(-8, -10, 72), [0, 2, 0], 3.25.as_gv_abpk 
(-4, -14, 97), [0, 2, 1], 3.25.as_gw_abpw 
(-6, -12, 81), [2, 0, 1], 3.25.as_gw_abpu 
(-7, -11, 76), [1, 1, 0], 3.25.as_gw_abpq 
(-6, -12, 83), [2, 0, 3], 3.25.as_gy_abqg 
(-6, -12, 84), [2, 0, 0], 3.25.as_gz_abqm 
(-9, -8, 32), [3, 0, 0], 3.25.ar_ez_abam 
(-9, -8, 34), [3, 0, 2], 3.25.ar_fb_abbe 
(-8, -9, 41), [0, 3, 1], 3.25.ar_fi_abdy 
(-8, -9, 42), [0, 3, 2], 3.25.ar_fj_abeg 
(-8, -9, 43), [0, 3, 3], 3.25.ar_fk_abeo 
(-8, -9, 44), [0, 3, 0], 3.25.ar_fl_abew 
(-8, -9, 46), [0, 3, 2], 3.25.ar_fn_abfm 
(-9, -8, 46), [3, 0, 2], 3.25.ar_fn_abfi 
(-8, -9, 47), [0, 3, 3], 3.25.ar_fo_abfu 
(-8, -9, 48), [0, 3, 0], 3.25.ar_fp_abgc 
(-9, -8, 48), [3, 0, 0], 3.25.ar_fp_abga 
(-8, -9, 49), [0, 3, 1], 3.25.ar_fq_abgk 
(-7, -10, 52), [1, 2, 0], 3.25.ar_fr_abhg 
(-8, -9, 51), [0, 3, 3], 3.25.ar_fs_abha 
(-7, -10, 54), [1, 2, 2], 3.25.ar_ft_abhu 
(-9, -8, 52), [3, 0, 0], 3.25.ar_ft_abhk 
(-8, -9, 52), [0, 3, 0], 3.25.ar_ft_abhi 
(-8, -9, 53), [0, 3, 1], 3.25.ar_fu_abhq 
(-7, -10, 56), [1, 2, 0], 3.25.ar_fv_abii 
(-9, -8, 54), [3, 0, 2], 3.25.ar_fv_abic 
(-6, -11, 61), [2, 1, 1], 3.25.ar_fw_abjg 
(-6, -11, 62), [2, 1, 2], 3.25.ar_fx_abjm 
(-1, -16, 112), [3, 0, 0], 3.25.ar_fx_abjc 
(-7, -10, 58), [1, 2, 2], 3.25.ar_fx_abiw 
(-9, -8, 56), [3, 0, 0], 3.25.ar_fx_abiu 
(-6, -11, 63), [2, 1, 3], 3.25.ar_fy_abjs 
(-6, -11, 64), [2, 1, 0], 3.25.ar_fz_abjy 
(-9, -8, 58), [3, 0, 2], 3.25.ar_fz_abjm 
(-2, -15, 101), [2, 1, 1], 3.25.ar_ga_abkq 
(-2, -15, 102), [2, 1, 2], 3.25.ar_gb_abks 
(-6, -11, 66), [2, 1, 2], 3.25.ar_gb_abkk 
(-7, -10, 62), [1, 2, 2], 3.25.ar_gb_abjy 
(-2, -15, 103), [2, 1, 3], 3.25.ar_gc_abku 
(-6, -11, 67), [2, 1, 3], 3.25.ar_gc_abkq 
(-7, -10, 64), [1, 2, 0], 3.25.ar_gd_abkm 
(-6, -11, 69), [2, 1, 1], 3.25.ar_ge_ablc 
(-8, -9, 63), [0, 3, 3], 3.25.ar_ge_abks 
(-3, -14, 94), [1, 2, 2], 3.25.ar_gf_ablu 
(-9, -8, 64), [3, 0, 0], 3.25.ar_gf_ablo 
(-6, -11, 71), [2, 1, 3], 3.25.ar_gg_ablo 
(-3, -14, 96), [1, 2, 0], 3.25.ar_gh_abma 
(-6, -11, 72), [2, 1, 0], 3.25.ar_gh_ablu 
(-8, -9, 66), [0, 3, 2], 3.25.ar_gh_ablq 
(-6, -11, 73), [2, 1, 1], 3.25.ar_gi_abma 
(-8, -9, 67), [0, 3, 3], 3.25.ar_gi_ably 
(-8, -9, 69), [0, 3, 1], 3.25.ar_gk_abmo 
(-4, -13, 91), [0, 3, 3], 3.25.ar_gm_abna 
(-9, -7, 23), [3, 1, 3], 3.25.aq_eh_avl 
