(-2, -2, 2), [1, 1, 2], 3.3.ae_j_aq 
(-2, -2, 4), [1, 1, 1], 3.3.ae_l_au 
(-2, -1, -2), [1, 2, 1], 3.3.ad_d_ac 
(-2, -1, -1), [1, 2, 2], 3.3.ad_e_ae 
(1, -4, 8), [1, 2, 2], 3.3.ad_h_aq 
(-1, -2, 2), [2, 1, 2], 3.3.ad_h_ao 
(-2, 0, -2), [1, 0, 1], 3.3.ac_b_e 
(-1, -1, -2), [2, 2, 1], 3.3.ac_c_ae 
(2, -4, 8), [2, 2, 2], 3.3.ac_d_ai 
(-1, -1, -1), [2, 2, 2], 3.3.ac_d_af 
(-1, -1, 1), [2, 2, 1], 3.3.ac_f_ah 
(-1, -1, 2), [2, 2, 2], 3.3.ac_g_ai 
(1, -3, 7), [1, 0, 1], 3.3.ac_h_al 
(-2, 0, 4), [1, 0, 1], 3.3.ac_h_ai 
(-1, 0, -2), [2, 0, 1], 3.3.ab_b_c 
(2, -3, 5), [2, 0, 2], 3.3.ab_c_ai 
(2, -3, 7), [2, 0, 1], 3.3.ab_e_ae 
(1, -1, -2), [1, 2, 1], 3.3.a_a_ai 
(-1, 1, -2), [2, 1, 1], 3.3.a_a_i 
(2, -2, 2), [2, 1, 2], 3.3.a_b_ai 
(-2, 2, 2), [1, 2, 2], 3.3.a_b_i 
(2, -2, 4), [2, 1, 1], 3.3.a_d_ae 
(-2, 2, 4), [1, 2, 1], 3.3.a_d_e 
(1, -1, 2), [1, 2, 2], 3.3.a_e_ae 
(2, -2, 5), [2, 1, 2], 3.3.a_e_ac 
(-2, 2, 5), [1, 2, 2], 3.3.a_e_c 
(-1, 1, 2), [2, 1, 2], 3.3.a_e_e 
(1, 0, -2), [1, 0, 1], 3.3.b_b_ac 
(-2, 3, 5), [1, 0, 2], 3.3.b_c_i 
(-2, 3, 7), [1, 0, 1], 3.3.b_e_e 
(2, 0, -2), [2, 0, 1], 3.3.c_b_ae 
(1, 1, -2), [1, 1, 1], 3.3.c_c_e 
(1, 1, -1), [1, 1, 2], 3.3.c_d_f 
(-2, 4, 8), [1, 1, 2], 3.3.c_d_i 
(1, 1, 1), [1, 1, 1], 3.3.c_f_h 
(1, 1, 2), [1, 1, 2], 3.3.c_g_i 
(2, 0, 4), [2, 0, 1], 3.3.c_h_i 
(-1, 3, 7), [2, 0, 1], 3.3.c_h_l 
(2, 1, -2), [2, 1, 1], 3.3.d_d_c 
(2, 1, -1), [2, 1, 2], 3.3.d_e_e 
(1, 2, 2), [1, 2, 2], 3.3.d_h_o 
(-1, 4, 8), [2, 1, 2], 3.3.d_h_q 
(2, 2, 2), [2, 2, 2], 3.3.e_j_q 
(2, 2, 4), [2, 2, 1], 3.3.e_l_u 
