(-4, -2, -1), [0, 2, 3], 3.5.ag_m_aq 
(-4, -2, 4), [0, 2, 0], 3.5.ag_r_abk 
(-3, -3, 4), [1, 1, 0], 3.5.ag_s_abq 
(-4, -2, 6), [0, 2, 2], 3.5.ag_t_abs 
(-2, -4, 8), [2, 0, 0], 3.5.ag_v_ace 
(-4, -2, 8), [0, 2, 0], 3.5.ag_v_aca 
(-2, -4, 9), [2, 0, 1], 3.5.ag_w_acg 
(-3, -3, 8), [1, 1, 0], 3.5.ag_w_acc 
(-2, -4, 11), [2, 0, 3], 3.5.ag_y_ack 
(-2, -4, 12), [2, 0, 0], 3.5.ag_z_acm 
(-4, -1, 3), [0, 3, 3], 3.5.af_m_aw 
(-2, -3, 4), [2, 1, 0], 3.5.af_p_abm 
(-4, -1, 6), [0, 3, 2], 3.5.af_p_abi 
(-4, -1, 7), [0, 3, 3], 3.5.af_q_abm 
(-2, -3, 7), [2, 1, 3], 3.5.af_s_abs 
(-2, -3, 8), [2, 1, 0], 3.5.af_t_abu 
(-4, 0, -2), [0, 0, 2], 3.5.ae_d_i 
(-3, -1, -4), [1, 3, 0], 3.5.ae_e_c 
(-4, 0, -1), [0, 0, 3], 3.5.ae_e_e 
(-4, 0, 2), [0, 0, 2], 3.5.ae_h_ai 
(-3, -1, -1), [1, 3, 3], 3.5.ae_h_ah 
(-2, -2, -1), [2, 2, 3], 3.5.ae_i_as 
(-4, 0, 3), [0, 0, 3], 3.5.ae_i_am 
(-4, 0, 4), [0, 0, 0], 3.5.ae_j_aq 
(2, -6, 17), [2, 2, 1], 3.5.ae_k_aba 
(-2, -2, 1), [2, 2, 1], 3.5.ae_k_aw 
(-3, -1, 2), [1, 3, 2], 3.5.ae_k_aq 
(-1, -3, 4), [3, 1, 0], 3.5.ae_m_abi 
(-4, 0, 7), [0, 0, 3], 3.5.ae_m_abc 
(-2, -2, 3), [2, 2, 3], 3.5.ae_m_aba 
(1, -5, 13), [1, 3, 1], 3.5.ae_n_abl 
(-4, 0, 8), [0, 0, 0], 3.5.ae_n_abg 
(-2, -2, 4), [2, 2, 0], 3.5.ae_n_abc 
(-3, -1, 6), [1, 3, 2], 3.5.ae_o_abc 
(-1, -3, 7), [3, 1, 3], 3.5.ae_p_abl 
(-2, -2, 6), [2, 2, 2], 3.5.ae_p_abg 
(-1, -3, 8), [3, 1, 0], 3.5.ae_q_abm 
(-3, -1, 9), [1, 3, 1], 3.5.ae_r_abl 
(-2, -2, 8), [2, 2, 0], 3.5.ae_r_abk 
(-4, 1, -3), [0, 1, 1], 3.5.ad_ac_w 
(-3, 0, -4), [1, 0, 0], 3.5.ad_b_m 
(-4, 1, 1), [0, 1, 1], 3.5.ad_c_g 
(-2, -1, -4), [2, 3, 0], 3.5.ad_d_ac 
(-4, 1, 2), [0, 1, 2], 3.5.ad_d_c 
(-2, -1, -3), [2, 3, 1], 3.5.ad_e_ae 
(-4, 1, 3), [0, 1, 3], 3.5.ad_e_ac 
(-2, -1, -1), [2, 3, 3], 3.5.ad_g_ai 
(-4, 1, 6), [0, 1, 2], 3.5.ad_h_ao 
(2, -5, 13), [2, 3, 1], 3.5.ad_i_ay 
(-4, 1, 7), [0, 1, 3], 3.5.ad_i_as 
(-2, -1, 1), [2, 3, 1], 3.5.ad_i_am 
(-2, -1, 2), [2, 3, 2], 3.5.ad_j_ao 
(-4, 1, 9), [0, 1, 1], 3.5.ad_k_aba 
(-2, -1, 3), [2, 3, 3], 3.5.ad_k_aq 
(-1, -2, 4), [3, 2, 0], 3.5.ad_l_ay 
(1, -4, 12), [1, 0, 0], 3.5.ad_n_abc 
(-1, -2, 6), [3, 2, 2], 3.5.ad_n_aba 
(-3, 0, 8), [1, 0, 0], 3.5.ad_n_ay 
(-2, 0, -9), [2, 0, 3], 3.5.ac_ae_s 
(-2, 0, -8), [2, 0, 0], 3.5.ac_ad_q 
(-2, 0, -7), [2, 0, 1], 3.5.ac_ac_o 
(-4, 2, 1), [0, 2, 1], 3.5.ac_ac_q 
(-3, 1, -4), [1, 1, 0], 3.5.ac_ac_w 
(-4, 2, 3), [0, 2, 3], 3.5.ac_a_i 
(-4, 2, 4), [0, 2, 0], 3.5.ac_b_e 
(-2, 0, -4), [2, 0, 0], 3.5.ac_b_i 
(-1, -1, -4), [3, 3, 0], 3.5.ac_c_ag 
(-2, 0, -3), [2, 0, 1], 3.5.ac_c_g 
(3, -5, 13), [3, 3, 1], 3.5.ac_d_al 
(-1, -1, -3), [3, 3, 1], 3.5.ac_d_ah 
(-4, 2, 6), [0, 2, 2], 3.5.ac_d_ae 
(-2, 0, -2), [2, 0, 2], 3.5.ac_d_e 
(-3, 1, 2), [1, 1, 2], 3.5.ac_e_e 
(2, -4, 8), [2, 0, 0], 3.5.ac_f_ay 
(-4, 2, 8), [0, 2, 0], 3.5.ac_f_am 
(-1, -1, -1), [3, 3, 3], 3.5.ac_f_aj 
(-3, 1, 3), [1, 1, 3], 3.5.ac_f_b 
(1, -3, 4), [1, 1, 0], 3.5.ac_g_aba 
(2, -4, 9), [2, 0, 1], 3.5.ac_g_aw 
(-4, 2, 9), [0, 2, 1], 3.5.ac_g_aq 
(-1, -1, 1), [3, 3, 1], 3.5.ac_h_al 
(-2, 0, 2), [2, 0, 2], 3.5.ac_h_ae 
(2, -4, 11), [2, 0, 3], 3.5.ac_i_as 
(-1, -1, 2), [3, 3, 2], 3.5.ac_i_am 
(-3, 1, 6), [1, 1, 2], 3.5.ac_i_ai 
(-2, 0, 3), [2, 0, 3], 3.5.ac_i_ag 
(2, -4, 12), [2, 0, 0], 3.5.ac_j_aq 
(-1, -1, 3), [3, 3, 3], 3.5.ac_j_an 
(-3, 1, 7), [1, 1, 3], 3.5.ac_j_al 
(-2, 0, 4), [2, 0, 0], 3.5.ac_j_ai 
(1, -3, 8), [1, 1, 0], 3.5.ac_k_aw 
(-1, -1, 6), [3, 3, 2], 3.5.ac_m_aq 
(-2, 0, 8), [2, 0, 0], 3.5.ac_n_aq 
(-4, 3, 4), [0, 3, 0], 3.5.ab_ad_o 
(4, -5, 13), [0, 3, 1], 3.5.ab_ac_c 
(-2, 1, -4), [2, 1, 0], 3.5.ab_ab_s 
(-4, 3, 7), [0, 3, 3], 3.5.ab_a_c 
(-2, 1, -3), [2, 1, 1], 3.5.ab_a_q 
(-4, 3, 8), [0, 3, 0], 3.5.ab_b_ac 
(-1, 0, -4), [3, 0, 0], 3.5.ab_b_e 
(-4, 3, 9), [0, 3, 1], 3.5.ab_c_ag 
(-2, 1, -1), [2, 1, 3], 3.5.ab_c_m 
(2, -3, 4), [2, 1, 0], 3.5.ab_d_aw 
(-1, 0, -2), [3, 0, 2], 3.5.ab_d_c 
(-3, 2, 4), [1, 2, 0], 3.5.ab_d_i 
(-4, 3, 11), [0, 3, 3], 3.5.ab_e_ao 
(3, -4, 12), [3, 0, 0], 3.5.ab_f_ae 
(-3, 2, 6), [1, 2, 2], 3.5.ab_f_c 
(2, -3, 7), [2, 1, 3], 3.5.ab_g_aq 
(2, -3, 8), [2, 1, 0], 3.5.ab_h_ao 
(-3, 2, 8), [1, 2, 0], 3.5.ab_h_ae 
(-1, 0, 2), [3, 0, 2], 3.5.ab_h_ac 
(-1, 0, 4), [3, 0, 0], 3.5.ab_j_ae 
(2, -3, 11), [2, 1, 3], 3.5.ab_k_ai 
(4, -4, 8), [0, 0, 0], 3.5.a_ad_ai 
(-4, 4, 8), [0, 0, 0], 3.5.a_ad_i 
(4, -4, 9), [0, 0, 1], 3.5.a_ac_ae 
(-4, 4, 9), [0, 0, 1], 3.5.a_ac_e 
(2, -2, -1), [2, 2, 3], 3.5.a_a_aw 
(3, -3, 4), [3, 1, 0], 3.5.a_a_as 
(1, -1, -4), [1, 3, 0], 3.5.a_a_ao 
(-4, 4, 11), [0, 0, 3], 3.5.a_a_ae 
(4, -4, 11), [0, 0, 3], 3.5.a_a_e 
(-1, 1, -4), [3, 1, 0], 3.5.a_a_o 
(-3, 3, 4), [1, 3, 0], 3.5.a_a_s 
(-2, 2, -1), [2, 2, 3], 3.5.a_a_w 
(-4, 4, 12), [0, 0, 0], 3.5.a_b_ai 
(4, -4, 12), [0, 0, 0], 3.5.a_b_i 
(3, -3, 7), [3, 1, 3], 3.5.a_d_aj 
(-3, 3, 7), [1, 3, 3], 3.5.a_d_j 
(3, -3, 8), [3, 1, 0], 3.5.a_e_ag 
(-3, 3, 8), [1, 3, 0], 3.5.a_e_g 
(2, -2, 4), [2, 2, 0], 3.5.a_f_am 
(-2, 2, 4), [2, 2, 0], 3.5.a_f_m 
(1, -1, 2), [1, 3, 2], 3.5.a_g_ai 
(-1, 1, 2), [3, 1, 2], 3.5.a_g_i 
(2, -2, 6), [2, 2, 2], 3.5.a_h_ai 
(1, -1, 3), [1, 3, 3], 3.5.a_h_ah 
(-3, 3, 11), [1, 3, 3], 3.5.a_h_ad 
(3, -3, 11), [3, 1, 3], 3.5.a_h_d 
(-1, 1, 3), [3, 1, 3], 3.5.a_h_h 
(-2, 2, 6), [2, 2, 2], 3.5.a_h_i 
(2, -2, 8), [2, 2, 0], 3.5.a_j_ae 
(-2, 2, 8), [2, 2, 0], 3.5.a_j_e 
(4, -3, 4), [0, 1, 0], 3.5.b_ad_ao 
(-4, 5, 13), [0, 1, 1], 3.5.b_ac_ac 
