(-5, -3, 6), [2, 4, 6], 3.7.ai_bc_acu 
(-4, -4, 8), [3, 3, 1], 3.7.ai_bf_adk 
(-5, -3, 9), [2, 4, 2], 3.7.ai_bf_adj 
(-4, -4, 10), [3, 3, 3], 3.7.ai_bh_ads 
(-5, -3, 12), [2, 4, 5], 3.7.ai_bi_ady 
(-3, -5, 13), [4, 2, 6], 3.7.ai_bj_aef 
(-5, -3, 13), [2, 4, 6], 3.7.ai_bj_aed 
(-4, -4, 12), [3, 3, 5], 3.7.ai_bj_aea 
(-2, -6, 18), [5, 1, 4], 3.7.ai_bl_aeq 
(-5, -3, 15), [2, 4, 1], 3.7.ai_bl_aen 
(-3, -5, 15), [4, 2, 1], 3.7.ai_bl_ael 
(-3, -5, 16), [4, 2, 2], 3.7.ai_bm_aeo 
(-2, -6, 20), [5, 1, 6], 3.7.ai_bn_aeu 
(-4, -4, 16), [3, 3, 2], 3.7.ai_bn_aeq 
(-5, -2, 4), [2, 5, 4], 3.7.ah_v_abw 
(-4, -3, 5), [3, 4, 5], 3.7.ah_y_ack 
(-5, -2, 8), [2, 5, 1], 3.7.ah_z_acq 
(-4, -3, 6), [3, 4, 6], 3.7.ah_z_aco 
(-3, -4, 8), [4, 3, 1], 3.7.ah_bb_adc 
(-5, -2, 10), [2, 5, 3], 3.7.ah_bb_ada 
(-5, -2, 12), [2, 5, 5], 3.7.ah_bd_adk 
(-3, -4, 10), [4, 3, 3], 3.7.ah_bd_adi 
(-2, -5, 15), [5, 2, 1], 3.7.ah_bg_adw 
(-4, -3, 15), [3, 4, 1], 3.7.ah_bi_ady 
(-5, -1, -2), [2, 6, 5], 3.7.ag_k_ae 
(-4, -2, -3), [3, 5, 4], 3.7.ag_m_aq 
(-4, -2, -2), [3, 5, 5], 3.7.ag_n_au 
(-5, -1, 3), [2, 6, 3], 3.7.ag_p_abd 
(-5, -1, 4), [2, 6, 4], 3.7.ag_q_abi 
(-4, -2, 1), [3, 5, 1], 3.7.ag_q_abg 
(-5, -1, 5), [2, 6, 5], 3.7.ag_r_abn 
(-4, -2, 2), [3, 5, 2], 3.7.ag_r_abk 
(-3, -3, 2), [4, 4, 2], 3.7.ag_s_abw 
(-5, -1, 6), [2, 6, 6], 3.7.ag_s_abs 
(-4, -2, 3), [3, 5, 3], 3.7.ag_s_abo 
(-3, -3, 3), [4, 4, 3], 3.7.ag_t_abz 
(-4, -2, 4), [3, 5, 4], 3.7.ag_t_abs 
(-5, -1, 9), [2, 6, 2], 3.7.ag_v_ach 
(-3, -3, 5), [4, 4, 5], 3.7.ag_v_acf 
(-5, -1, 10), [2, 6, 3], 3.7.ag_w_acm 
(-3, -3, 6), [4, 4, 6], 3.7.ag_w_aci 
(-2, -4, 8), [5, 3, 1], 3.7.ag_x_acu 
(-5, -1, 11), [2, 6, 4], 3.7.ag_x_acr 
(-4, -2, 8), [3, 5, 1], 3.7.ag_x_aci 
(-3, -3, 8), [4, 4, 1], 3.7.ag_y_aco 
(-4, -2, 9), [3, 5, 2], 3.7.ag_y_acm 
(-1, -5, 13), [6, 2, 6], 3.7.ag_z_adf 
(-5, -1, 13), [2, 6, 6], 3.7.ag_z_adb 
(-2, -4, 10), [5, 3, 3], 3.7.ag_z_acy 
(1, -7, 25), [1, 0, 4], 3.7.ag_z_acv 
(-3, -3, 9), [4, 4, 2], 3.7.ag_z_acr 
(-4, -2, 10), [3, 5, 3], 3.7.ag_z_acq 
(-2, -4, 11), [5, 3, 4], 3.7.ag_ba_ada 
(-2, -4, 12), [5, 3, 5], 3.7.ag_bb_adc 
(-4, -2, 12), [3, 5, 5], 3.7.ag_bb_acy 
(-1, -5, 16), [6, 2, 2], 3.7.ag_bc_adi 
(-2, -4, 13), [5, 3, 6], 3.7.ag_bc_ade 
(-4, -2, 13), [3, 5, 6], 3.7.ag_bc_adc 
(-3, -3, 12), [4, 4, 5], 3.7.ag_bc_ada 
(-2, -4, 16), [5, 3, 2], 3.7.ag_bf_adk 
(-5, 0, -6), [2, 0, 1], 3.7.af_b_be 
(-4, -1, -8), [3, 6, 6], 3.7.af_d_s 
(-5, 0, -4), [2, 0, 3], 3.7.af_d_u 
(-4, -1, -4), [3, 6, 3], 3.7.af_h_c 
(-4, -1, -3), [3, 6, 4], 3.7.af_i_ac 
(-5, 0, 2), [2, 0, 2], 3.7.af_j_ak 
(-4, -1, -2), [3, 6, 5], 3.7.af_j_ag 
(-3, -2, -2), [4, 5, 5], 3.7.af_l_aw 
(-5, 0, 4), [2, 0, 4], 3.7.af_l_au 
(-5, 0, 6), [2, 0, 6], 3.7.af_n_abe 
(-2, -3, 2), [5, 4, 2], 3.7.af_p_abu 
(-5, 0, 8), [2, 0, 1], 3.7.af_p_abo 
(-3, -2, 2), [4, 5, 2], 3.7.af_p_abi 
(-2, -3, 3), [5, 4, 3], 3.7.af_q_abw 
(-3, -2, 4), [4, 5, 4], 3.7.af_r_abo 
(-4, -1, 6), [3, 6, 6], 3.7.af_r_abm 
(-2, -3, 5), [5, 4, 5], 3.7.af_s_aca 
(2, -7, 25), [2, 0, 4], 3.7.af_s_abw 
(1, -6, 18), [1, 1, 4], 3.7.af_t_aco 
(-1, -4, 8), [6, 3, 1], 3.7.af_t_acm 
(-5, 0, 12), [2, 0, 5], 3.7.af_t_aci 
(-2, -3, 6), [5, 4, 6], 3.7.af_t_acc 
(-4, -1, 9), [3, 6, 2], 3.7.af_u_aby 
(-1, -4, 10), [6, 3, 3], 3.7.af_v_aco 
(1, -6, 20), [1, 1, 6], 3.7.af_v_acm 
(-2, -3, 8), [5, 4, 1], 3.7.af_v_acg 
(-4, -1, 10), [3, 6, 3], 3.7.af_v_acc 
(-2, -3, 9), [5, 4, 2], 3.7.af_w_aci 
(-4, -1, 11), [3, 6, 4], 3.7.af_w_acg 
(-1, -4, 12), [6, 3, 5], 3.7.af_x_acq 
(-4, -1, 13), [3, 6, 6], 3.7.af_y_aco 
(-2, -3, 11), [5, 4, 4], 3.7.af_y_acm 
(-2, -3, 12), [5, 4, 5], 3.7.af_z_aco 
(-4, 0, -12), [3, 0, 2], 3.7.ae_af_bw 
(-4, 0, -10), [3, 0, 4], 3.7.ae_ad_bo 
(-5, 1, -4), [2, 1, 3], 3.7.ae_ac_bi 
(-5, 1, -3), [2, 1, 4], 3.7.ae_ab_bd 
(-4, 0, -8), [3, 0, 6], 3.7.ae_ab_bg 
(-5, 1, -2), [2, 1, 5], 3.7.ae_a_y 
(-4, 0, -6), [3, 0, 1], 3.7.ae_b_y 
(-3, -1, -8), [4, 6, 6], 3.7.ae_c_k 
(-5, 1, 1), [2, 1, 1], 3.7.ae_d_j 
(-5, 1, 3), [2, 1, 3], 3.7.ae_f_ab 
(-3, -1, -5), [4, 6, 2], 3.7.ae_f_b 
(-5, 1, 4), [2, 1, 4], 3.7.ae_g_ag 
(-3, -1, -4), [4, 6, 3], 3.7.ae_g_ac 
(-5, 1, 5), [2, 1, 5], 3.7.ae_h_al 
(-3, -1, -3), [4, 6, 4], 3.7.ae_h_af 
(-2, -2, -3), [5, 5, 4], 3.7.ae_i_aw 
(-5, 1, 6), [2, 1, 6], 3.7.ae_i_aq 
(-3, -1, -2), [4, 6, 5], 3.7.ae_i_ai 
(-4, 0, 1), [3, 0, 1], 3.7.ae_i_ae 
(-2, -2, -2), [5, 5, 5], 3.7.ae_j_ay 
(-3, -1, -1), [4, 6, 6], 3.7.ae_j_al 
(-4, 0, 2), [3, 0, 2], 3.7.ae_j_ai 
(-4, 0, 3), [3, 0, 3], 3.7.ae_k_am 
(-5, 1, 9), [2, 1, 2], 3.7.ae_l_abf 
(3, -7, 25), [3, 0, 4], 3.7.ae_l_ax 
(-3, -1, 1), [4, 6, 1], 3.7.ae_l_ar 
(-4, 0, 4), [3, 0, 4], 3.7.ae_l_aq 
(-1, -3, 2), [6, 4, 2], 3.7.ae_m_abs 
(-5, 1, 10), [2, 1, 3], 3.7.ae_m_abk 
(-2, -2, 1), [5, 5, 1], 3.7.ae_m_abe 
(2, -6, 18), [2, 1, 4], 3.7.ae_n_abw 
(-1, -3, 3), [6, 4, 3], 3.7.ae_n_abt 
(-5, 1, 11), [2, 1, 4], 3.7.ae_n_abp 
(-2, -2, 2), [5, 5, 2], 3.7.ae_n_abg 
(-4, 0, 6), [3, 0, 6], 3.7.ae_n_ay 
(-3, -1, 3), [4, 6, 3], 3.7.ae_n_ax 
(-2, -2, 3), [5, 5, 3], 3.7.ae_o_abi 
(-3, -1, 4), [4, 6, 4], 3.7.ae_o_aba 
(1, -5, 13), [1, 2, 6], 3.7.ae_p_acf 
(-5, 1, 13), [2, 1, 6], 3.7.ae_p_abz 
(-1, -3, 5), [6, 4, 5], 3.7.ae_p_abv 
(2, -6, 20), [2, 1, 6], 3.7.ae_p_abs 
(-2, -2, 4), [5, 5, 4], 3.7.ae_p_abk 
(-4, 0, 8), [3, 0, 1], 3.7.ae_p_abg 
(-1, -3, 6), [6, 4, 6], 3.7.ae_q_abw 
(-2, -2, 5), [5, 5, 5], 3.7.ae_q_abm 
(-4, 0, 9), [3, 0, 2], 3.7.ae_q_abk 
(-3, -1, 6), [4, 6, 6], 3.7.ae_q_abg 
(1, -5, 15), [1, 2, 1], 3.7.ae_r_acd 
(1, -5, 16), [1, 2, 2], 3.7.ae_s_acc 
(-1, -3, 8), [6, 4, 1], 3.7.ae_s_aby 
(-4, 0, 11), [3, 0, 4], 3.7.ae_s_abs 
(1, -5, 17), [1, 2, 3], 3.7.ae_t_acb 
(-1, -3, 9), [6, 4, 2], 3.7.ae_t_abz 
(-4, 0, 12), [3, 0, 5], 3.7.ae_t_abw 
(-2, -2, 8), [5, 5, 1], 3.7.ae_t_abs 
(-2, -2, 9), [5, 5, 2], 3.7.ae_u_abu 
(-3, -1, 10), [4, 6, 3], 3.7.ae_u_abs 
(-1, -3, 11), [6, 4, 4], 3.7.ae_v_acb 
(1, -5, 19), [1, 2, 5], 3.7.ae_v_abz 
(-2, -2, 10), [5, 5, 3], 3.7.ae_v_abw 
(-1, -3, 12), [6, 4, 5], 3.7.ae_w_acc 
(-3, -1, 13), [4, 6, 6], 3.7.ae_x_acb 
(-2, -2, 12), [5, 5, 5], 3.7.ae_x_aca 
(-5, 2, -2), [2, 2, 5], 3.7.ad_af_bm 
(-3, 0, -10), [4, 0, 4], 3.7.ad_ad_be 
(-5, 2, 2), [2, 2, 2], 3.7.ad_ab_s 
(-3, 0, -8), [4, 0, 6], 3.7.ad_ab_y 
(-2, -1, -8), [5, 6, 6], 3.7.ad_b_c 
(-5, 2, 4), [2, 2, 4], 3.7.ad_b_i 
(-3, 0, -6), [4, 0, 1], 3.7.ad_b_s 
(-4, 1, -2), [3, 1, 5], 3.7.ad_b_w 
(-4, 1, -1), [3, 1, 6], 3.7.ad_c_s 
(-3, 0, -4), [4, 0, 3], 3.7.ad_d_m 
(-2, -1, -5), [5, 6, 2], 3.7.ad_e_ae 
(4, -7, 25), [4, 0, 4], 3.7.ad_e_c 
(-4, 1, 1), [3, 1, 1], 3.7.ad_e_k 
(-5, 2, 8), [2, 2, 1], 3.7.ad_f_am 
(-2, -1, -4), [5, 6, 3], 3.7.ad_f_ag 
(-2, -1, -3), [5, 6, 4], 3.7.ad_g_ai 
(-4, 1, 3), [3, 1, 3], 3.7.ad_g_c 
(3, -6, 18), [3, 1, 4], 3.7.ad_h_abe 
(-1, -2, -2), [6, 5, 5], 3.7.ad_h_aba 
(-5, 2, 10), [2, 2, 3], 3.7.ad_h_aw 
(-2, -1, -2), [5, 6, 5], 3.7.ad_h_ak 
(-4, 1, 4), [3, 1, 4], 3.7.ad_h_ac 
(-2, -1, -1), [5, 6, 6], 3.7.ad_i_am 
(-4, 1, 5), [3, 1, 5], 3.7.ad_i_ag 
(-5, 2, 12), [2, 2, 5], 3.7.ad_j_abg 
(3, -6, 20), [3, 1, 6], 3.7.ad_j_ay 
(-4, 1, 6), [3, 1, 6], 3.7.ad_j_ak 
(2, -5, 13), [2, 2, 6], 3.7.ad_k_abs 
(-2, -1, 1), [5, 6, 1], 3.7.ad_k_aq 
(-1, -2, 2), [6, 5, 2], 3.7.ad_l_abe 
(2, -5, 15), [2, 2, 1], 3.7.ad_m_abo 
(-4, 1, 9), [3, 1, 2], 3.7.ad_m_aw 
(-2, -1, 3), [5, 6, 3], 3.7.ad_m_au 
(2, -5, 16), [2, 2, 2], 3.7.ad_n_abm 
(-1, -2, 4), [6, 5, 4], 3.7.ad_n_abg 
(-4, 1, 10), [3, 1, 3], 3.7.ad_n_aba 
(-2, -1, 4), [5, 6, 4], 3.7.ad_n_aw 
(2, -5, 17), [2, 2, 3], 3.7.ad_o_abk 
(-4, 1, 11), [3, 1, 4], 3.7.ad_o_abe 
(-2, -1, 5), [5, 6, 5], 3.7.ad_o_ay 
(-2, -1, 6), [5, 6, 6], 3.7.ad_p_aba 
(-4, 1, 13), [3, 1, 6], 3.7.ad_q_abm 
(2, -5, 19), [2, 2, 5], 3.7.ad_q_abg 
(-1, -2, 8), [6, 5, 1], 3.7.ad_r_abk 
(1, -4, 16), [1, 3, 2], 3.7.ad_t_abo 
(-1, -2, 10), [6, 5, 3], 3.7.ad_t_abm 
(-3, 0, 12), [4, 0, 5], 3.7.ad_t_abk 
(-5, 3, 2), [2, 3, 2], 3.7.ac_ag_bg 
(-2, 0, -12), [5, 0, 2], 3.7.ac_af_y 
(-5, 3, 3), [2, 3, 3], 3.7.ac_af_bb 
(-3, 1, -8), [4, 1, 6], 3.7.ac_ae_bm 
