(-5, -5, 13), [3, 3, 1], 3.9.ak_bv_afz 
(-5, -5, 16), [3, 3, 0], 3.9.ak_by_ago 
(-4, -6, 20), [0, 2, 0], 3.9.ak_cb_ahg 
(-5, -5, 20), [3, 3, 0], 3.9.ak_cc_ahi 
(-4, -6, 22), [0, 2, 2], 3.9.ak_cd_aho 
(-2, -8, 32), [2, 0, 0], 3.9.ak_cf_aia 
(-4, -5, 13), [0, 3, 1], 3.9.aj_bq_afm 
(-4, -5, 16), [0, 3, 0], 3.9.aj_bt_afy 
(-1, -8, 32), [3, 0, 0], 3.9.aj_bx_agu 
(-5, -3, 1), [3, 1, 1], 3.9.ai_z_ach 
(-5, -3, 2), [3, 1, 2], 3.9.ai_ba_acm 
(-5, -3, 4), [3, 1, 0], 3.9.ai_bc_acw 
(-4, -4, 8), [0, 0, 0], 3.9.ai_bh_aea 
(-4, -4, 10), [0, 0, 2], 3.9.ai_bj_aei 
(-4, -4, 11), [0, 0, 3], 3.9.ai_bk_aem 
(1, -9, 37), [1, 3, 1], 3.9.ai_bl_aev 
(-5, -3, 13), [3, 1, 1], 3.9.ai_bl_aep 
(-4, -4, 14), [0, 0, 2], 3.9.ai_bn_aey 
(-2, -6, 19), [2, 2, 3], 3.9.ai_bo_afq 
(-5, -3, 16), [3, 1, 0], 3.9.ai_bo_afe 
(-2, -6, 20), [2, 2, 0], 3.9.ai_bp_afs 
(-5, -3, 17), [3, 1, 1], 3.9.ai_bp_afj 
(-4, -4, 16), [0, 0, 0], 3.9.ai_bp_afg 
(-1, -7, 26), [3, 1, 2], 3.9.ai_bq_afw 
(-2, -6, 22), [2, 2, 2], 3.9.ai_br_afw 
(-1, -7, 29), [3, 1, 1], 3.9.ai_bt_afz 
(-4, -4, 20), [0, 0, 0], 3.9.ai_bt_afw 
(-5, -2, -2), [3, 2, 2], 3.9.ah_r_aba 
(-4, -3, 1), [0, 1, 1], 3.9.ah_w_acg 
(-4, -3, 2), [0, 1, 2], 3.9.ah_x_ack 
(-4, -3, 4), [0, 1, 0], 3.9.ah_z_acs 
(-4, -3, 5), [0, 1, 1], 3.9.ah_ba_acw 
(-5, -2, 8), [3, 2, 0], 3.9.ah_bb_acy 
(2, -9, 37), [2, 3, 1], 3.9.ah_bc_adk 
(-4, -3, 7), [0, 1, 3], 3.9.ah_bc_ade 
(-4, -3, 10), [0, 1, 2], 3.9.ah_bf_adq 
(-2, -5, 13), [2, 3, 1], 3.9.ah_bg_aem 
(-2, -5, 14), [2, 3, 2], 3.9.ah_bh_aeo 
(1, -8, 32), [1, 0, 0], 3.9.ah_bh_aei 
(-5, -2, 14), [3, 2, 2], 3.9.ah_bh_aec 
(-2, -5, 16), [2, 3, 0], 3.9.ah_bj_aes 
(-5, -2, 16), [3, 2, 0], 3.9.ah_bj_aem 
(-2, -5, 17), [2, 3, 1], 3.9.ah_bk_aeu 
(-2, -5, 19), [2, 3, 3], 3.9.ah_bm_aey 
(-2, -5, 20), [2, 3, 0], 3.9.ah_bn_afa 
(-4, -3, 19), [0, 1, 3], 3.9.ah_bo_afa 
(-5, -1, -10), [3, 3, 2], 3.9.ag_e_bg 
(-5, -1, -8), [3, 3, 0], 3.9.ag_g_w 
(-5, -1, -4), [3, 3, 0], 3.9.ag_k_c 
(-4, -2, -5), [0, 2, 3], 3.9.ag_m_aq 
(-4, -2, -4), [0, 2, 0], 3.9.ag_n_au 
(-4, -2, -2), [0, 2, 2], 3.9.ag_p_abc 
(-4, -2, -1), [0, 2, 3], 3.9.ag_q_abg 
(-5, -1, 2), [3, 3, 2], 3.9.ag_q_abc 
(-4, -2, 1), [0, 2, 1], 3.9.ag_s_abo 
(-5, -1, 4), [3, 3, 0], 3.9.ag_s_abm 
(-4, -2, 2), [0, 2, 2], 3.9.ag_t_abs 
(-5, -1, 5), [3, 3, 1], 3.9.ag_t_abr 
(-5, -1, 7), [3, 3, 3], 3.9.ag_v_acb 
(-4, -2, 4), [0, 2, 0], 3.9.ag_v_aca 
(-5, -1, 8), [3, 3, 0], 3.9.ag_w_acg 
(-4, -2, 5), [0, 2, 1], 3.9.ag_w_ace 
(-2, -4, 7), [2, 0, 3], 3.9.ag_y_adi 
(2, -8, 31), [2, 0, 3], 3.9.ag_y_ade 
(-5, -1, 10), [3, 3, 2], 3.9.ag_y_acq 
(-4, -2, 7), [0, 2, 3], 3.9.ag_y_acm 
(-2, -4, 8), [2, 0, 0], 3.9.ag_z_adk 
(2, -8, 32), [2, 0, 0], 3.9.ag_z_adc 
(-5, -1, 11), [3, 3, 3], 3.9.ag_z_acv 
(-4, -2, 8), [0, 2, 0], 3.9.ag_z_acq 
(-1, -5, 13), [3, 3, 1], 3.9.ag_bb_adz 
(1, -7, 25), [1, 1, 1], 3.9.ag_bb_adx 
(-2, -4, 10), [2, 0, 2], 3.9.ag_bb_ado 
(-5, -1, 13), [3, 3, 1], 3.9.ag_bb_adf 
(-1, -5, 14), [3, 3, 2], 3.9.ag_bc_aea 
(1, -7, 26), [1, 1, 2], 3.9.ag_bc_adw 
(-2, -4, 11), [2, 0, 3], 3.9.ag_bc_adq 
(-5, -1, 14), [3, 3, 2], 3.9.ag_bc_adk 
(-1, -5, 16), [3, 3, 0], 3.9.ag_be_aec 
(-1, -5, 17), [3, 3, 1], 3.9.ag_bf_aed 
(-5, -1, 17), [3, 3, 1], 3.9.ag_bf_adz 
(-2, -4, 14), [2, 0, 2], 3.9.ag_bf_adw 
(1, -7, 29), [1, 1, 1], 3.9.ag_bf_adt 
(-4, -2, 14), [0, 2, 2], 3.9.ag_bf_ado 
(-2, -4, 16), [2, 0, 0], 3.9.ag_bh_aea 
(-4, -2, 16), [0, 2, 0], 3.9.ag_bh_adw 
(-1, -5, 20), [3, 3, 0], 3.9.ag_bi_aeg 
(-2, -4, 17), [2, 0, 1], 3.9.ag_bi_aec 
(-2, -4, 19), [2, 0, 3], 3.9.ag_bk_aeg 
(-2, -4, 20), [2, 0, 0], 3.9.ag_bl_aei 
(-5, 0, -14), [3, 0, 2], 3.9.af_af_cs 
(-4, -1, -11), [0, 3, 1], 3.9.af_c_ba 
(-4, -1, -10), [0, 3, 2], 3.9.af_d_w 
(-4, -1, -8), [0, 3, 0], 3.9.af_f_o 
(-4, -1, -7), [0, 3, 1], 3.9.af_g_k 
(-5, 0, -2), [3, 0, 2], 3.9.af_h_k 
(-4, -1, -5), [0, 3, 3], 3.9.af_i_c 
(-4, -1, -4), [0, 3, 0], 3.9.af_j_ac 
(4, -9, 37), [0, 3, 1], 3.9.af_k_ao 
(-4, -1, -1), [0, 3, 3], 3.9.af_m_ao 
(-5, 0, 4), [3, 0, 0], 3.9.af_n_au 
(-4, -1, 1), [0, 3, 1], 3.9.af_o_aw 
(-4, -1, 2), [0, 3, 2], 3.9.af_p_aba 
(-2, -3, 1), [2, 1, 1], 3.9.af_q_ace 
(-2, -3, 2), [2, 1, 2], 3.9.af_r_acg 
(-5, 0, 8), [3, 0, 0], 3.9.af_r_abo 
(-2, -3, 4), [2, 1, 0], 3.9.af_t_ack 
(-5, 0, 10), [3, 0, 2], 3.9.af_t_aby 
(2, -7, 25), [2, 1, 1], 3.9.af_u_acy 
(-2, -3, 5), [2, 1, 1], 3.9.af_u_acm 
(-1, -4, 8), [3, 0, 0], 3.9.af_v_adc 
(2, -7, 26), [2, 1, 2], 3.9.af_v_acw 
(-2, -3, 7), [2, 1, 3], 3.9.af_w_acq 
(1, -6, 20), [1, 2, 0], 3.9.af_x_adk 
(-1, -4, 10), [3, 0, 2], 3.9.af_x_ade 
(-4, -1, 10), [0, 3, 2], 3.9.af_x_acg 
(2, -7, 29), [2, 1, 1], 3.9.af_y_acq 
(1, -6, 22), [1, 2, 2], 3.9.af_z_adi 
(-5, 0, 16), [3, 0, 0], 3.9.af_z_adc 
(-2, -3, 10), [2, 1, 2], 3.9.af_z_acw 
(-2, -3, 11), [2, 1, 3], 3.9.af_ba_acy 
(-4, -1, 13), [0, 3, 1], 3.9.af_ba_acs 
(-1, -4, 14), [3, 0, 2], 3.9.af_bb_adi 
(-4, -1, 14), [0, 3, 2], 3.9.af_bb_acw 
(-2, -3, 13), [2, 1, 1], 3.9.af_bc_adc 
(-1, -4, 16), [3, 0, 0], 3.9.af_bd_adk 
(-4, -1, 17), [0, 3, 1], 3.9.af_be_adi 
(-2, -3, 16), [2, 1, 0], 3.9.af_bf_adi 
(-4, 0, -14), [0, 0, 2], 3.9.ae_af_ce 
(-4, 0, -13), [0, 0, 3], 3.9.ae_ae_ca 
(-5, 1, -8), [3, 1, 0], 3.9.ae_ae_cg 
(-4, 0, -11), [0, 0, 1], 3.9.ae_ac_bs 
(-4, 0, -10), [0, 0, 2], 3.9.ae_ab_bo 
(-5, 1, -4), [3, 1, 0], 3.9.ae_a_bm 
(5, -9, 37), [1, 3, 1], 3.9.ae_b_x 
(-4, 0, -8), [0, 0, 0], 3.9.ae_b_bg 
(-5, 1, -1), [3, 1, 3], 3.9.ae_d_x 
(-4, 0, -5), [0, 0, 3], 3.9.ae_e_u 
(-5, 1, 1), [3, 1, 1], 3.9.ae_f_n 
(-4, 0, -4), [0, 0, 0], 3.9.ae_f_q 
(-5, 1, 2), [3, 1, 2], 3.9.ae_g_i 
(-4, 0, -2), [0, 0, 2], 3.9.ae_h_i 
(-2, -2, -5), [2, 2, 3], 3.9.ae_i_aba 
(4, -8, 31), [0, 0, 3], 3.9.ae_i_au 
(-5, 1, 4), [3, 1, 0], 3.9.ae_i_ac 
(-2, -2, -4), [2, 2, 0], 3.9.ae_j_abc 
(4, -8, 32), [0, 0, 0], 3.9.ae_j_aq 
(-5, 1, 5), [3, 1, 1], 3.9.ae_j_ah 
(-2, -2, -2), [2, 2, 2], 3.9.ae_l_abg 
(-5, 1, 7), [3, 1, 3], 3.9.ae_l_ar 
(-2, -2, -1), [2, 2, 3], 3.9.ae_m_abi 
(-5, 1, 8), [3, 1, 0], 3.9.ae_m_aw 
(-1, -3, 1), [3, 1, 1], 3.9.ae_n_acd 
(-4, 0, 4), [0, 0, 0], 3.9.ae_n_aq 
(-1, -3, 2), [3, 1, 2], 3.9.ae_o_ace 
(-2, -2, 1), [2, 2, 1], 3.9.ae_o_abm 
(-5, 1, 10), [3, 1, 2], 3.9.ae_o_abg 
(-4, 0, 5), [0, 0, 1], 3.9.ae_o_au 
(-2, -2, 2), [2, 2, 2], 3.9.ae_p_abo 
(-5, 1, 11), [3, 1, 3], 3.9.ae_p_abl 
(2, -6, 19), [2, 2, 3], 3.9.ae_q_acs 
(-1, -3, 4), [3, 1, 0], 3.9.ae_q_acg 
(-4, 0, 7), [0, 0, 3], 3.9.ae_q_abc 
(2, -6, 20), [2, 2, 0], 3.9.ae_r_acq 
(-1, -3, 5), [3, 1, 1], 3.9.ae_r_ach 
(-5, 1, 13), [3, 1, 1], 3.9.ae_r_abv 
(-2, -2, 4), [2, 2, 0], 3.9.ae_r_abs 
(-4, 0, 8), [0, 0, 0], 3.9.ae_r_abg 
(1, -5, 14), [1, 3, 2], 3.9.ae_s_acy 
(-5, 1, 14), [3, 1, 2], 3.9.ae_s_aca 
(-2, -2, 5), [2, 2, 1], 3.9.ae_s_abu 
(2, -6, 22), [2, 2, 2], 3.9.ae_t_acm 
(-1, -3, 7), [3, 1, 3], 3.9.ae_t_acj 
(-4, 0, 10), [0, 0, 2], 3.9.ae_t_abo 
(1, -5, 16), [1, 3, 0], 3.9.ae_u_acw 
(-2, -2, 7), [2, 2, 3], 3.9.ae_u_aby 
(-4, 0, 11), [0, 0, 3], 3.9.ae_u_abs 
(1, -5, 17), [1, 3, 1], 3.9.ae_v_acv 
(-5, 1, 17), [3, 1, 1], 3.9.ae_v_acp 
(-2, -2, 8), [2, 2, 0], 3.9.ae_v_aca 
(-1, -3, 10), [3, 1, 2], 3.9.ae_w_acm 
(2, -6, 25), [2, 2, 1], 3.9.ae_w_acg 
(-4, 0, 13), [0, 0, 1], 3.9.ae_w_aca 
(1, -5, 19), [1, 3, 3], 3.9.ae_x_act 
(-1, -3, 11), [3, 1, 3], 3.9.ae_x_acn 
(1, -5, 20), [1, 3, 0], 3.9.ae_y_acs 
(-2, -2, 11), [2, 2, 3], 3.9.ae_y_acg 
(-1, -3, 13), [3, 1, 1], 3.9.ae_z_acp 
(-4, 0, 16), [0, 0, 0], 3.9.ae_z_acm 
