(-6, 0, -22), [5, 0, 0], 3.11.ag_al_fc 
(-6, 0, -11), [5, 0, 0], 3.11.ag_a_co 
(-5, 0, -22), [6, 0, 0], 3.11.af_al_eg 
(-5, 0, -11), [6, 0, 0], 3.11.af_a_cd 
(-5, 0, 0), [6, 0, 0], 3.11.af_l_a 
(-5, 0, 11), [6, 0, 0], 3.11.af_w_acd 
(-3, 0, -22), [8, 0, 0], 3.11.ad_al_co 
(-3, 0, -11), [8, 0, 0], 3.11.ad_a_bh 
(-3, 0, 11), [8, 0, 0], 3.11.ad_w_abh 
(-2, 0, -22), [9, 0, 0], 3.11.ac_al_bs 
(-1, 0, -22), [10, 0, 0], 3.11.ab_al_w 
(-1, 0, -11), [10, 0, 0], 3.11.ab_a_l 
(-1, 0, 11), [10, 0, 0], 3.11.ab_w_al 
(1, 0, -22), [1, 0, 0], 3.11.b_al_aw 
(1, 0, -11), [1, 0, 0], 3.11.b_a_al 
(1, 0, 11), [1, 0, 0], 3.11.b_w_l 
(2, 0, -22), [2, 0, 0], 3.11.c_al_abs 
(3, 0, -22), [3, 0, 0], 3.11.d_al_aco 
(3, 0, -11), [3, 0, 0], 3.11.d_a_abh 
(3, 0, 11), [3, 0, 0], 3.11.d_w_bh 
(5, 0, -22), [5, 0, 0], 3.11.f_al_aeg 
(5, 0, -11), [5, 0, 0], 3.11.f_a_acd 
(5, 0, 0), [5, 0, 0], 3.11.f_l_a 
(5, 0, 11), [5, 0, 0], 3.11.f_w_cd 
(6, 0, -22), [6, 0, 0], 3.11.g_al_afc 
(6, 0, -11), [6, 0, 0], 3.11.g_a_aco 
