(-7, 0, -26), [1, 0, 2], 3.13.ah_an_ha 
(-7, 0, -13), [1, 0, 3], 3.13.ah_a_dn 
(-7, 0, 0), [1, 0, 0], 3.13.ah_n_a 
(-7, 0, 13), [1, 0, 1], 3.13.ah_ba_adn 
(-5, 0, -26), [3, 0, 2], 3.13.af_an_fa 
(-5, 0, -13), [3, 0, 3], 3.13.af_a_cn 
(-5, 0, 0), [3, 0, 0], 3.13.af_n_a 
(-5, 0, 13), [3, 0, 1], 3.13.af_ba_acn 
(-3, 0, -26), [1, 0, 2], 3.13.ad_an_da 
(-3, 0, -13), [1, 0, 3], 3.13.ad_a_bn 
(-3, 0, 13), [1, 0, 1], 3.13.ad_ba_abn 
(-1, 0, -26), [3, 0, 2], 3.13.ab_an_ba 
(-1, 0, -13), [3, 0, 3], 3.13.ab_a_n 
(-1, 0, 13), [3, 0, 1], 3.13.ab_ba_an 
(1, 0, -26), [1, 0, 2], 3.13.b_an_aba 
(1, 0, -13), [1, 0, 3], 3.13.b_a_an 
(1, 0, 13), [1, 0, 1], 3.13.b_ba_n 
(3, 0, -26), [3, 0, 2], 3.13.d_an_ada 
(3, 0, -13), [3, 0, 3], 3.13.d_a_abn 
(3, 0, 13), [3, 0, 1], 3.13.d_ba_bn 
(5, 0, -26), [1, 0, 2], 3.13.f_an_afa 
(5, 0, -13), [1, 0, 3], 3.13.f_a_acn 
(5, 0, 0), [1, 0, 0], 3.13.f_n_a 
(5, 0, 13), [1, 0, 1], 3.13.f_ba_cn 
(7, 0, -26), [3, 0, 2], 3.13.h_an_aha 
(7, 0, -13), [3, 0, 3], 3.13.h_a_adn 
(7, 0, 0), [3, 0, 0], 3.13.h_n_a 
(7, 0, 13), [3, 0, 1], 3.13.h_ba_dn 
