(-8, -9, 44), [0, 3, 0], 3.16.ar_fc_ayq 
(-8, -9, 48), [0, 3, 0], 3.16.ar_fg_azw 
(-8, -7, 28), [0, 1, 0], 3.16.ap_dw_arg 
(-8, -7, 36), [0, 1, 0], 3.16.ap_ee_ats 
(-8, -5, 12), [0, 3, 0], 3.16.an_cq_ajw 
(-8, -5, 16), [0, 3, 0], 3.16.an_cu_alc 
(-8, -5, 20), [0, 3, 0], 3.16.an_cy_ami 
(-8, -5, 28), [0, 3, 0], 3.16.an_dg_aou 
(-4, -9, 48), [0, 3, 0], 3.16.an_dw_asm 
(-8, -3, -4), [0, 1, 0], 3.16.al_bk_acm 
(-8, -3, 0), [0, 1, 0], 3.16.al_bo_ads 
(-8, -3, 12), [0, 1, 0], 3.16.al_ca_ahk 
(-8, -3, 16), [0, 1, 0], 3.16.al_ce_aiq 
(-8, -3, 20), [0, 1, 0], 3.16.al_ci_ajw 
(-4, -7, 40), [0, 1, 0], 3.16.al_dg_aou 
(-8, -1, -20), [0, 3, 0], 3.16.aj_e_ey 
(-8, -1, -16), [0, 3, 0], 3.16.aj_i_ds 
(-8, -1, -12), [0, 3, 0], 3.16.aj_m_cm 
(-8, -1, -4), [0, 3, 0], 3.16.aj_u_a 
(-8, -1, 0), [0, 3, 0], 3.16.aj_y_abg 
(-8, -1, 4), [0, 3, 0], 3.16.aj_bc_acm 
(-8, -1, 16), [0, 3, 0], 3.16.aj_bo_age 
(-8, -1, 28), [0, 3, 0], 3.16.aj_ca_ajw 
(-8, 1, -20), [0, 1, 0], 3.16.ah_am_hk 
(-8, 1, -16), [0, 1, 0], 3.16.ah_ai_ge 
(-8, 1, -12), [0, 1, 0], 3.16.ah_ae_ey 
(-7, 0, -16), [1, 0, 0], 3.16.ah_a_ei 
(-8, 1, 0), [0, 1, 0], 3.16.ah_i_bg 
(-8, 1, 4), [0, 1, 0], 3.16.ah_m_a 
(-8, 1, 16), [0, 1, 0], 3.16.ah_y_ads 
(-8, 1, 28), [0, 1, 0], 3.16.ah_bk_ahk 
(0, -7, 28), [0, 1, 0], 3.16.ah_bs_aiq 
(0, -7, 36), [0, 1, 0], 3.16.ah_ca_aiq 
(-4, -3, 24), [0, 1, 0], 3.16.ah_ca_ahk 
(0, -7, 40), [0, 1, 0], 3.16.ah_ce_aiq 
(-8, 3, -4), [0, 3, 0], 3.16.af_am_ey 
(-8, 3, 0), [0, 3, 0], 3.16.af_ai_ds 
(-8, 3, 12), [0, 3, 0], 3.16.af_e_a 
(-8, 3, 20), [0, 3, 0], 3.16.af_m_acm 
(-4, -1, 16), [0, 3, 0], 3.16.af_bk_ads 
(0, -5, 24), [0, 3, 0], 3.16.af_bo_age 
(0, -5, 28), [0, 3, 0], 3.16.af_bs_age 
(-4, -1, 24), [0, 3, 0], 3.16.af_bs_aey 
(-8, 5, 12), [0, 1, 0], 3.16.ad_am_cm 
(-8, 5, 16), [0, 1, 0], 3.16.ad_ai_bg 
(-8, 5, 20), [0, 1, 0], 3.16.ad_ae_a 
(-4, 1, 8), [0, 1, 0], 3.16.ad_u_a 
(-4, 1, 16), [0, 1, 0], 3.16.ad_bc_abg 
(0, -3, 24), [0, 1, 0], 3.16.ad_bo_ads 
(-8, 7, 28), [0, 3, 0], 3.16.ab_am_a 
(8, -9, 44), [0, 3, 0], 3.16.ab_am_cm 
(8, -9, 48), [0, 3, 0], 3.16.ab_ai_ds 
(-8, 7, 36), [0, 3, 0], 3.16.ab_ae_acm 
(-4, 3, 0), [0, 3, 0], 3.16.ab_e_ds 
(0, -1, 24), [0, 3, 0], 3.16.ab_bo_abg 
(0, -1, 28), [0, 3, 0], 3.16.ab_bs_abg 
(-8, 9, 44), [0, 1, 0], 3.16.b_am_acm 
(8, -7, 28), [0, 1, 0], 3.16.b_am_a 
(-8, 9, 48), [0, 1, 0], 3.16.b_ai_ads 
(8, -7, 36), [0, 1, 0], 3.16.b_ae_cm 
(4, -3, 0), [0, 1, 0], 3.16.b_e_ads 
(0, 1, 24), [0, 1, 0], 3.16.b_bo_bg 
(0, 1, 28), [0, 1, 0], 3.16.b_bs_bg 
(8, -5, 12), [0, 3, 0], 3.16.d_am_acm 
(8, -5, 16), [0, 3, 0], 3.16.d_ai_abg 
(8, -5, 20), [0, 3, 0], 3.16.d_ae_a 
(4, -1, 8), [0, 3, 0], 3.16.d_u_a 
(4, -1, 16), [0, 3, 0], 3.16.d_bc_bg 
(0, 3, 24), [0, 3, 0], 3.16.d_bo_ds 
(8, -3, -4), [0, 1, 0], 3.16.f_am_aey 
(8, -3, 0), [0, 1, 0], 3.16.f_ai_ads 
(8, -3, 12), [0, 1, 0], 3.16.f_e_a 
(8, -3, 20), [0, 1, 0], 3.16.f_m_cm 
(4, 1, 16), [0, 1, 0], 3.16.f_bk_ds 
(0, 5, 24), [0, 1, 0], 3.16.f_bo_ge 
(4, 1, 24), [0, 1, 0], 3.16.f_bs_ey 
(0, 5, 28), [0, 1, 0], 3.16.f_bs_ge 
(8, -1, -20), [0, 3, 0], 3.16.h_am_ahk 
(8, -1, -16), [0, 3, 0], 3.16.h_ai_age 
(8, -1, -12), [0, 3, 0], 3.16.h_ae_aey 
(7, 0, -16), [3, 0, 0], 3.16.h_a_aei 
(8, -1, 0), [0, 3, 0], 3.16.h_i_abg 
(8, -1, 4), [0, 3, 0], 3.16.h_m_a 
(8, -1, 16), [0, 3, 0], 3.16.h_y_ds 
(8, -1, 28), [0, 3, 0], 3.16.h_bk_hk 
(0, 7, 28), [0, 3, 0], 3.16.h_bs_iq 
(4, 3, 24), [0, 3, 0], 3.16.h_ca_hk 
(0, 7, 36), [0, 3, 0], 3.16.h_ca_iq 
(0, 7, 40), [0, 3, 0], 3.16.h_ce_iq 
(8, 1, -20), [0, 1, 0], 3.16.j_e_aey 
(8, 1, -16), [0, 1, 0], 3.16.j_i_ads 
(8, 1, -12), [0, 1, 0], 3.16.j_m_acm 
(8, 1, -4), [0, 1, 0], 3.16.j_u_a 
(8, 1, 0), [0, 1, 0], 3.16.j_y_bg 
(8, 1, 4), [0, 1, 0], 3.16.j_bc_cm 
(8, 1, 16), [0, 1, 0], 3.16.j_bo_ge 
(8, 1, 28), [0, 1, 0], 3.16.j_ca_jw 
(8, 3, -4), [0, 3, 0], 3.16.l_bk_cm 
(8, 3, 0), [0, 3, 0], 3.16.l_bo_ds 
(8, 3, 12), [0, 3, 0], 3.16.l_ca_hk 
(8, 3, 16), [0, 3, 0], 3.16.l_ce_iq 
(8, 3, 20), [0, 3, 0], 3.16.l_ci_jw 
(4, 7, 40), [0, 3, 0], 3.16.l_dg_ou 
(8, 5, 12), [0, 1, 0], 3.16.n_cq_jw 
(8, 5, 16), [0, 1, 0], 3.16.n_cu_lc 
(8, 5, 20), [0, 1, 0], 3.16.n_cy_mi 
(8, 5, 28), [0, 1, 0], 3.16.n_dg_ou 
(4, 9, 48), [0, 1, 0], 3.16.n_dw_sm 
(8, 7, 28), [0, 3, 0], 3.16.p_dw_rg 
(8, 7, 36), [0, 3, 0], 3.16.p_ee_ts 
(8, 9, 44), [0, 1, 0], 3.16.r_fc_yq 
(8, 9, 48), [0, 1, 0], 3.16.r_fg_zw 
