(-8, 0, -34), [0, 0, 2], 3.17.ai_ar_km 
(-8, 0, -17), [0, 0, 3], 3.17.ai_a_fg 
(-7, 0, -34), [1, 0, 2], 3.17.ah_ar_je 
(-7, 0, -17), [1, 0, 3], 3.17.ah_a_ep 
(-7, 0, 17), [1, 0, 1], 3.17.ah_bi_aep 
(-6, 0, 0), [2, 0, 0], 3.17.ag_r_a 
(-5, 0, -34), [3, 0, 2], 3.17.af_ar_go 
(-5, 0, -17), [3, 0, 3], 3.17.af_a_dh 
(-5, 0, 17), [3, 0, 1], 3.17.af_bi_adh 
(-4, 0, -34), [0, 0, 2], 3.17.ae_ar_fg 
(-4, 0, 17), [0, 0, 1], 3.17.ae_bi_acq 
(-3, 0, -34), [1, 0, 2], 3.17.ad_ar_dy 
(-3, 0, -17), [1, 0, 3], 3.17.ad_a_bz 
(-3, 0, 17), [1, 0, 1], 3.17.ad_bi_abz 
(-1, 0, -34), [3, 0, 2], 3.17.ab_ar_bi 
(-1, 0, -17), [3, 0, 3], 3.17.ab_a_r 
(-1, 0, 17), [3, 0, 1], 3.17.ab_bi_ar 
(1, 0, -34), [1, 0, 2], 3.17.b_ar_abi 
(1, 0, -17), [1, 0, 3], 3.17.b_a_ar 
(1, 0, 17), [1, 0, 1], 3.17.b_bi_r 
(3, 0, -34), [3, 0, 2], 3.17.d_ar_ady 
(3, 0, -17), [3, 0, 3], 3.17.d_a_abz 
(3, 0, 17), [3, 0, 1], 3.17.d_bi_bz 
(4, 0, -34), [0, 0, 2], 3.17.e_ar_afg 
(4, 0, 17), [0, 0, 1], 3.17.e_bi_cq 
(5, 0, -34), [1, 0, 2], 3.17.f_ar_ago 
(5, 0, -17), [1, 0, 3], 3.17.f_a_adh 
(5, 0, 17), [1, 0, 1], 3.17.f_bi_dh 
(6, 0, 0), [2, 0, 0], 3.17.g_r_a 
(7, 0, -34), [3, 0, 2], 3.17.h_ar_aje 
(7, 0, -17), [3, 0, 3], 3.17.h_a_aep 
(7, 0, 17), [3, 0, 1], 3.17.h_bi_ep 
(8, 0, -34), [0, 0, 2], 3.17.i_ar_akm 
(8, 0, -17), [0, 0, 3], 3.17.i_a_afg 
