(-9, 0, -23), [14, 0, 0] 
(-9, 0, 23), [14, 0, 0] 
(-7, 0, -23), [16, 0, 0] 
(-7, 0, 0), [16, 0, 0] 
(-7, 0, 23), [16, 0, 0] 
(-5, 0, -23), [18, 0, 0] 
(-5, 0, 23), [18, 0, 0] 
(-3, 0, -23), [20, 0, 0] 
(-3, 0, 23), [20, 0, 0] 
(-1, 0, -23), [22, 0, 0] 
(-1, 0, 23), [22, 0, 0] 
(1, 0, -23), [1, 0, 0] 
(1, 0, 23), [1, 0, 0] 
(3, 0, -23), [3, 0, 0] 
(3, 0, 23), [3, 0, 0] 
(5, 0, -23), [5, 0, 0] 
(5, 0, 23), [5, 0, 0] 
(7, 0, -23), [7, 0, 0] 
(7, 0, 0), [7, 0, 0] 
(7, 0, 23), [7, 0, 0] 
(9, 0, -23), [9, 0, 0] 
(9, 0, 23), [9, 0, 0] 
