(-10, -13, 85), [2, 3, 1], 3.25.ax_jg_acfs 
(-10, -11, 65), [2, 1, 1], 3.25.av_hs_abue 
(-10, -11, 70), [2, 1, 2], 3.25.av_hx_abwc 
(-10, -9, 45), [2, 3, 1], 3.25.at_ge_abiq 
(-10, -9, 55), [2, 3, 3], 3.25.at_go_abmm 
(-10, -9, 60), [2, 3, 0], 3.25.at_gt_abok 
(-10, -8, 35), [2, 0, 3], 3.25.as_fk_abcw 
(-10, -8, 40), [2, 0, 0], 3.25.as_fp_abeu 
(-10, -8, 45), [2, 0, 1], 3.25.as_fu_abgs 
(-10, -8, 60), [2, 0, 0], 3.25.as_gj_abmm 
(-5, -13, 85), [3, 3, 1], 3.25.as_gt_abpj 
(-10, -7, 30), [2, 1, 2], 3.25.ar_ev_aza 
(-10, -7, 35), [2, 1, 3], 3.25.ar_fa_abay 
(-10, -7, 40), [2, 1, 0], 3.25.ar_ff_abcw 
(-10, -7, 55), [2, 1, 3], 3.25.ar_fu_abiq 
(-10, -6, 20), [2, 2, 0], 3.25.aq_eb_atg 
(-10, -6, 30), [2, 2, 2], 3.25.aq_el_axc 
(-10, -6, 40), [2, 2, 0], 3.25.aq_ev_abay 
(-10, -6, 45), [2, 2, 1], 3.25.aq_fa_abcw 
(-5, -11, 65), [3, 1, 1], 3.25.aq_fp_abhr 
(-5, -11, 70), [3, 1, 2], 3.25.aq_fu_abiq 
(-10, -4, -5), [2, 0, 3], 3.25.ao_ci_afu 
(-10, -4, 20), [2, 0, 0], 3.25.ao_dh_apk 
(-5, -9, 55), [3, 3, 3], 3.25.ao_ev_abbx 
(-5, -9, 65), [3, 3, 1], 3.25.ao_ff_abdv 
(-10, -3, -15), [2, 1, 1], 3.25.an_bo_a 
(-10, -3, -10), [2, 1, 2], 3.25.an_bt_aby 
(-10, -3, -5), [2, 1, 3], 3.25.an_by_adw 
(-10, -3, 15), [2, 1, 3], 3.25.an_cs_alo 
(-10, -3, 20), [2, 1, 0], 3.25.an_cx_anm 
(-10, -3, 35), [2, 1, 3], 3.25.an_dm_atg 
(-8, -5, 25), [0, 3, 1], 3.25.an_dm_ari 
(-10, -3, 45), [2, 1, 1], 3.25.an_dw_axc 
(-5, -8, 35), [3, 0, 3], 3.25.an_dw_awd 
(-5, -8, 45), [3, 0, 1], 3.25.an_eg_ayb 
(-5, -8, 55), [3, 0, 3], 3.25.an_eq_azz 
(-5, -8, 60), [3, 0, 0], 3.25.an_ev_abay 
(-10, -2, -20), [2, 2, 0], 3.25.am_z_dw 
(-10, -2, -15), [2, 2, 1], 3.25.am_be_by 
(-10, -2, -10), [2, 2, 2], 3.25.am_bj_a 
(-10, -2, 5), [2, 2, 1], 3.25.am_by_afu 
(-10, -2, 30), [2, 2, 2], 3.25.am_cx_apk 
(-10, -2, 40), [2, 2, 0], 3.25.am_dh_atg 
(-5, -7, 45), [3, 1, 1], 3.25.am_eb_awd 
(-5, -7, 55), [3, 1, 3], 3.25.am_el_ayb 
(-10, -1, -35), [2, 3, 1], 3.25.al_a_lo 
(-10, -1, -30), [2, 3, 2], 3.25.al_f_jq 
(-10, -1, -20), [2, 3, 0], 3.25.al_p_fu 
(-10, -1, -10), [2, 3, 2], 3.25.al_z_by 
(-10, -1, -5), [2, 3, 3], 3.25.al_be_a 
(-10, -1, 5), [2, 3, 1], 3.25.al_bo_adw 
(-10, -1, 15), [2, 3, 3], 3.25.al_by_ahs 
(-10, -1, 40), [2, 3, 0], 3.25.al_cx_ari 
(-10, -1, 45), [2, 3, 1], 3.25.al_dc_atg 
(-5, -6, 35), [3, 2, 3], 3.25.al_dm_ash 
(-5, -6, 40), [3, 2, 0], 3.25.al_dr_atg 
(-5, -6, 45), [3, 2, 1], 3.25.al_dw_auf 
(-10, 1, -30), [2, 1, 2], 3.25.aj_ap_nm 
(-10, 1, -20), [2, 1, 0], 3.25.aj_af_jq 
(-10, 1, -15), [2, 1, 1], 3.25.aj_a_hs 
(-9, 0, -25), [3, 0, 3], 3.25.aj_a_ir 
(-10, 1, -5), [2, 1, 3], 3.25.aj_k_dw 
(-10, 1, 5), [2, 1, 1], 3.25.aj_u_a 
(-10, 1, 10), [2, 1, 2], 3.25.aj_z_aby 
(-9, 0, 0), [3, 0, 0], 3.25.aj_z_a 
(-5, -4, -5), [3, 0, 3], 3.25.aj_bo_agt 
(-10, 1, 35), [2, 1, 3], 3.25.aj_by_alo 
(-5, -4, 10), [3, 0, 2], 3.25.aj_cd_ajq 
(-10, 1, 45), [2, 1, 1], 3.25.aj_ci_apk 
(-5, -4, 15), [3, 0, 3], 3.25.aj_ci_akp 
(-5, -4, 30), [3, 0, 2], 3.25.aj_cx_anm 
(-5, -4, 40), [3, 0, 0], 3.25.aj_dh_apk 
(-10, 2, -15), [2, 2, 1], 3.25.ai_ak_jq 
(-10, 2, -10), [2, 2, 2], 3.25.ai_af_hs 
(-10, 2, -5), [2, 2, 3], 3.25.ai_a_fu 
(-8, 0, -25), [0, 0, 3], 3.25.ai_a_hs 
(-5, -3, -15), [3, 1, 1], 3.25.ai_z_acx 
(-5, -3, -5), [3, 1, 3], 3.25.ai_bj_aev 
(-10, 2, 40), [2, 2, 0], 3.25.ai_bt_alo 
(-5, -3, 5), [3, 1, 1], 3.25.ai_bt_agt 
(-10, 2, 45), [2, 2, 1], 3.25.ai_by_anm 
(-5, -3, 30), [3, 1, 2], 3.25.ai_cs_alo 
(-5, -3, 35), [3, 1, 3], 3.25.ai_cx_amn 
(-5, -3, 45), [3, 1, 1], 3.25.ai_dh_aol 
(-10, 3, -15), [2, 3, 1], 3.25.ah_au_lo 
(-10, 3, -10), [2, 3, 2], 3.25.ah_ap_jq 
(-10, 3, 5), [2, 3, 1], 3.25.ah_a_dw 
(-7, 0, -25), [1, 0, 3], 3.25.ah_a_gt 
(-10, 3, 15), [2, 3, 3], 3.25.ah_k_a 
(-5, -2, -15), [3, 2, 1], 3.25.ah_u_az 
(-10, 3, 30), [2, 3, 2], 3.25.ah_z_afu 
(-7, 0, 0), [1, 0, 0], 3.25.ah_z_a 
(-10, 3, 35), [2, 3, 3], 3.25.ah_be_ahs 
(-5, -2, -5), [3, 2, 3], 3.25.ah_be_acx 
(-5, -2, 5), [3, 2, 1], 3.25.ah_bo_aev 
(-5, -2, 20), [3, 2, 0], 3.25.ah_cd_ahs 
(-5, -2, 30), [3, 2, 2], 3.25.ah_cn_ajq 
(-5, -2, 40), [3, 2, 0], 3.25.ah_cx_alo 
(-5, -2, 45), [3, 2, 1], 3.25.ah_dc_amn 
(-10, 4, -5), [2, 0, 3], 3.25.ag_au_jq 
(-5, -1, -35), [3, 3, 1], 3.25.ag_af_ev 
(-10, 4, 15), [2, 0, 3], 3.25.ag_a_by 
(-10, 4, 20), [2, 0, 0], 3.25.ag_f_a 
(-5, -1, -10), [3, 3, 2], 3.25.ag_u_a 
(-10, 4, 40), [2, 0, 0], 3.25.ag_z_ahs 
(-5, -1, -5), [3, 3, 3], 3.25.ag_z_az 
(5, -11, 65), [1, 1, 1], 3.25.ag_bj_air 
(-5, -1, 15), [3, 3, 3], 3.25.ag_bt_aev 
(-5, -1, 35), [3, 3, 3], 3.25.ag_cn_air 
(-5, -1, 40), [3, 3, 0], 3.25.ag_cs_ajq 
(-5, -1, 45), [3, 3, 1], 3.25.ag_cx_akp 
(-10, 6, 20), [2, 2, 0], 3.25.ae_ap_dw 
(-5, 1, -35), [3, 1, 1], 3.25.ae_ap_ir 
(-10, 6, 30), [2, 2, 2], 3.25.ae_af_a 
(-10, 6, 35), [2, 2, 3], 3.25.ae_a_aby 
(-4, 0, -25), [0, 0, 3], 3.25.ae_a_dw 
(-5, 1, -15), [3, 1, 1], 3.25.ae_f_ev 
(-10, 6, 45), [2, 2, 1], 3.25.ae_k_afu 
(-5, 1, -10), [3, 1, 2], 3.25.ae_k_dw 
(-5, 1, 5), [3, 1, 1], 3.25.ae_z_z 
(-5, 1, 15), [3, 1, 3], 3.25.ae_bj_az 
(5, -9, 65), [1, 3, 1], 3.25.ae_bt_aev 
(-5, 1, 35), [3, 1, 3], 3.25.ae_cd_aev 
(-5, 1, 40), [3, 1, 0], 3.25.ae_ci_afu 
(10, -13, 85), [2, 3, 1], 3.25.ad_au_hs 
(-10, 7, 35), [2, 3, 3], 3.25.ad_ak_a 
(-5, 2, -20), [3, 2, 0], 3.25.ad_af_hs 
(-10, 7, 45), [2, 3, 1], 3.25.ad_a_adw 
(-3, 0, -25), [1, 0, 3], 3.25.ad_a_cx 
(-5, 2, -15), [3, 2, 1], 3.25.ad_a_gt 
(-5, 2, -5), [3, 2, 3], 3.25.ad_k_ev 
(5, -8, 35), [1, 0, 3], 3.25.ad_u_air 
(-5, 2, 5), [3, 2, 1], 3.25.ad_u_cx 
(-5, 2, 10), [3, 2, 2], 3.25.ad_z_by 
(5, -8, 45), [1, 0, 1], 3.25.ad_be_agt 
(-5, 2, 20), [3, 2, 0], 3.25.ad_bj_a 
(5, -8, 55), [1, 0, 3], 3.25.ad_bo_aev 
(-5, 2, 30), [3, 2, 2], 3.25.ad_bt_aby 
(-5, 2, 45), [3, 2, 1], 3.25.ad_ci_aev 
(-3, 0, 50), [1, 0, 2], 3.25.ad_cx_afu 
(-10, 8, 35), [2, 0, 3], 3.25.ac_au_by 
(-10, 8, 40), [2, 0, 0], 3.25.ac_ap_a 
