(-10, -13, 85), [15, 12, 10], 3.25.ax_jg_acfs 
(-10, -11, 65), [15, 14, 15], 3.25.av_hs_abue 
(-10, -11, 70), [15, 14, 20], 3.25.av_hx_abwc 
(-10, -9, 45), [15, 16, 20], 3.25.at_ge_abiq 
(-10, -9, 55), [15, 16, 5], 3.25.at_go_abmm 
(-10, -9, 60), [15, 16, 10], 3.25.at_gt_abok 
(-10, -8, 35), [15, 17, 10], 3.25.as_fk_abcw 
(-10, -8, 40), [15, 17, 15], 3.25.as_fp_abeu 
(-10, -8, 45), [15, 17, 20], 3.25.as_fu_abgs 
(-10, -8, 60), [15, 17, 10], 3.25.as_gj_abmm 
(-5, -13, 85), [20, 12, 10], 3.25.as_gt_abpj 
(-10, -7, 30), [15, 18, 5], 3.25.ar_ev_aza 
(-10, -7, 35), [15, 18, 10], 3.25.ar_fa_abay 
(-10, -7, 40), [15, 18, 15], 3.25.ar_ff_abcw 
(-10, -7, 55), [15, 18, 5], 3.25.ar_fu_abiq 
(-10, -6, 20), [15, 19, 20], 3.25.aq_eb_atg 
(-10, -6, 30), [15, 19, 5], 3.25.aq_el_axc 
(-10, -6, 40), [15, 19, 15], 3.25.aq_ev_abay 
(-10, -6, 45), [15, 19, 20], 3.25.aq_fa_abcw 
(-5, -11, 65), [20, 14, 15], 3.25.aq_fp_abhr 
(-5, -11, 70), [20, 14, 20], 3.25.aq_fu_abiq 
(-10, -4, -5), [15, 21, 20], 3.25.ao_ci_afu 
(-10, -4, 20), [15, 21, 20], 3.25.ao_dh_apk 
(-5, -9, 55), [20, 16, 5], 3.25.ao_ev_abbx 
(-5, -9, 65), [20, 16, 15], 3.25.ao_ff_abdv 
(-10, -3, -15), [15, 22, 10], 3.25.an_bo_a 
(-10, -3, -10), [15, 22, 15], 3.25.an_bt_aby 
(-10, -3, -5), [15, 22, 20], 3.25.an_by_adw 
(-10, -3, 15), [15, 22, 15], 3.25.an_cs_alo 
(-10, -3, 20), [15, 22, 20], 3.25.an_cx_anm 
(-10, -3, 35), [15, 22, 10], 3.25.an_dm_atg 
(-8, -5, 25), [17, 20, 0], 3.25.an_dm_ari 
(-10, -3, 45), [15, 22, 20], 3.25.an_dw_axc 
(-5, -8, 35), [20, 17, 10], 3.25.an_dw_awd 
(-5, -8, 45), [20, 17, 20], 3.25.an_eg_ayb 
(-5, -8, 55), [20, 17, 5], 3.25.an_eq_azz 
(-5, -8, 60), [20, 17, 10], 3.25.an_ev_abay 
(-10, -2, -20), [15, 23, 5], 3.25.am_z_dw 
(-10, -2, -15), [15, 23, 10], 3.25.am_be_by 
(-10, -2, -10), [15, 23, 15], 3.25.am_bj_a 
(-10, -2, 5), [15, 23, 5], 3.25.am_by_afu 
(-10, -2, 30), [15, 23, 5], 3.25.am_cx_apk 
(-10, -2, 40), [15, 23, 15], 3.25.am_dh_atg 
(-5, -7, 45), [20, 18, 20], 3.25.am_eb_awd 
(-5, -7, 55), [20, 18, 5], 3.25.am_el_ayb 
(-10, -1, -35), [15, 24, 15], 3.25.al_a_lo 
(-10, -1, -30), [15, 24, 20], 3.25.al_f_jq 
(-10, -1, -20), [15, 24, 5], 3.25.al_p_fu 
(-10, -1, -10), [15, 24, 15], 3.25.al_z_by 
(-10, -1, -5), [15, 24, 20], 3.25.al_be_a 
(-10, -1, 5), [15, 24, 5], 3.25.al_bo_adw 
(-10, -1, 15), [15, 24, 15], 3.25.al_by_ahs 
(-10, -1, 40), [15, 24, 15], 3.25.al_cx_ari 
(-10, -1, 45), [15, 24, 20], 3.25.al_dc_atg 
(-5, -6, 35), [20, 19, 10], 3.25.al_dm_ash 
(-5, -6, 40), [20, 19, 15], 3.25.al_dr_atg 
(-5, -6, 45), [20, 19, 20], 3.25.al_dw_auf 
(-10, 1, -30), [15, 1, 20], 3.25.aj_ap_nm 
(-10, 1, -20), [15, 1, 5], 3.25.aj_af_jq 
(-10, 1, -15), [15, 1, 10], 3.25.aj_a_hs 
(-9, 0, -25), [16, 0, 0], 3.25.aj_a_ir 
(-10, 1, -5), [15, 1, 20], 3.25.aj_k_dw 
(-10, 1, 5), [15, 1, 5], 3.25.aj_u_a 
(-10, 1, 10), [15, 1, 10], 3.25.aj_z_aby 
(-9, 0, 0), [16, 0, 0], 3.25.aj_z_a 
(-5, -4, -5), [20, 21, 20], 3.25.aj_bo_agt 
(-10, 1, 35), [15, 1, 10], 3.25.aj_by_alo 
(-5, -4, 10), [20, 21, 10], 3.25.aj_cd_ajq 
(-10, 1, 45), [15, 1, 20], 3.25.aj_ci_apk 
(-5, -4, 15), [20, 21, 15], 3.25.aj_ci_akp 
(-5, -4, 30), [20, 21, 5], 3.25.aj_cx_anm 
(-5, -4, 40), [20, 21, 15], 3.25.aj_dh_apk 
(-10, 2, -15), [15, 2, 10], 3.25.ai_ak_jq 
(-10, 2, -10), [15, 2, 15], 3.25.ai_af_hs 
(-10, 2, -5), [15, 2, 20], 3.25.ai_a_fu 
(-8, 0, -25), [17, 0, 0], 3.25.ai_a_hs 
(-5, -3, -15), [20, 22, 10], 3.25.ai_z_acx 
(-5, -3, -5), [20, 22, 20], 3.25.ai_bj_aev 
(-10, 2, 40), [15, 2, 15], 3.25.ai_bt_alo 
(-5, -3, 5), [20, 22, 5], 3.25.ai_bt_agt 
(-10, 2, 45), [15, 2, 20], 3.25.ai_by_anm 
(-5, -3, 30), [20, 22, 5], 3.25.ai_cs_alo 
(-5, -3, 35), [20, 22, 10], 3.25.ai_cx_amn 
(-5, -3, 45), [20, 22, 20], 3.25.ai_dh_aol 
(-10, 3, -15), [15, 3, 10], 3.25.ah_au_lo 
(-10, 3, -10), [15, 3, 15], 3.25.ah_ap_jq 
(-10, 3, 5), [15, 3, 5], 3.25.ah_a_dw 
(-7, 0, -25), [18, 0, 0], 3.25.ah_a_gt 
(-10, 3, 15), [15, 3, 15], 3.25.ah_k_a 
(-5, -2, -15), [20, 23, 10], 3.25.ah_u_az 
(-10, 3, 30), [15, 3, 5], 3.25.ah_z_afu 
(-7, 0, 0), [18, 0, 0], 3.25.ah_z_a 
(-10, 3, 35), [15, 3, 10], 3.25.ah_be_ahs 
(-5, -2, -5), [20, 23, 20], 3.25.ah_be_acx 
(-5, -2, 5), [20, 23, 5], 3.25.ah_bo_aev 
(-5, -2, 20), [20, 23, 20], 3.25.ah_cd_ahs 
(-5, -2, 30), [20, 23, 5], 3.25.ah_cn_ajq 
(-5, -2, 40), [20, 23, 15], 3.25.ah_cx_alo 
(-5, -2, 45), [20, 23, 20], 3.25.ah_dc_amn 
(-10, 4, -5), [15, 4, 20], 3.25.ag_au_jq 
(-5, -1, -35), [20, 24, 15], 3.25.ag_af_ev 
(-10, 4, 15), [15, 4, 15], 3.25.ag_a_by 
(-10, 4, 20), [15, 4, 20], 3.25.ag_f_a 
(-5, -1, -10), [20, 24, 15], 3.25.ag_u_a 
(-10, 4, 40), [15, 4, 15], 3.25.ag_z_ahs 
(-5, -1, -5), [20, 24, 20], 3.25.ag_z_az 
(5, -11, 65), [5, 14, 15], 3.25.ag_bj_air 
(-5, -1, 15), [20, 24, 15], 3.25.ag_bt_aev 
(-5, -1, 35), [20, 24, 10], 3.25.ag_cn_air 
(-5, -1, 40), [20, 24, 15], 3.25.ag_cs_ajq 
(-5, -1, 45), [20, 24, 20], 3.25.ag_cx_akp 
(-10, 6, 20), [15, 6, 20], 3.25.ae_ap_dw 
(-5, 1, -35), [20, 1, 15], 3.25.ae_ap_ir 
(-10, 6, 30), [15, 6, 5], 3.25.ae_af_a 
(-10, 6, 35), [15, 6, 10], 3.25.ae_a_aby 
(-4, 0, -25), [21, 0, 0], 3.25.ae_a_dw 
(-5, 1, -15), [20, 1, 10], 3.25.ae_f_ev 
(-10, 6, 45), [15, 6, 20], 3.25.ae_k_afu 
(-5, 1, -10), [20, 1, 15], 3.25.ae_k_dw 
(-5, 1, 5), [20, 1, 5], 3.25.ae_z_z 
(-5, 1, 15), [20, 1, 15], 3.25.ae_bj_az 
(5, -9, 65), [5, 16, 15], 3.25.ae_bt_aev 
(-5, 1, 35), [20, 1, 10], 3.25.ae_cd_aev 
(-5, 1, 40), [20, 1, 15], 3.25.ae_ci_afu 
(10, -13, 85), [10, 12, 10], 3.25.ad_au_hs 
(-10, 7, 35), [15, 7, 10], 3.25.ad_ak_a 
(-5, 2, -20), [20, 2, 5], 3.25.ad_af_hs 
(-10, 7, 45), [15, 7, 20], 3.25.ad_a_adw 
(-3, 0, -25), [22, 0, 0], 3.25.ad_a_cx 
(-5, 2, -15), [20, 2, 10], 3.25.ad_a_gt 
(-5, 2, -5), [20, 2, 20], 3.25.ad_k_ev 
(5, -8, 35), [5, 17, 10], 3.25.ad_u_air 
(-5, 2, 5), [20, 2, 5], 3.25.ad_u_cx 
(-5, 2, 10), [20, 2, 10], 3.25.ad_z_by 
(5, -8, 45), [5, 17, 20], 3.25.ad_be_agt 
(-5, 2, 20), [20, 2, 20], 3.25.ad_bj_a 
(5, -8, 55), [5, 17, 5], 3.25.ad_bo_aev 
(-5, 2, 30), [20, 2, 5], 3.25.ad_bt_aby 
(-5, 2, 45), [20, 2, 20], 3.25.ad_ci_aev 
(-3, 0, 50), [22, 0, 0], 3.25.ad_cx_afu 
(-10, 8, 35), [15, 8, 10], 3.25.ac_au_by 
(-10, 8, 40), [15, 8, 15], 3.25.ac_ap_a 
(-10, 8, 55), [15, 8, 5], 3.25.ac_a_afu 
(-2, 0, -25), [23, 0, 0], 3.25.ac_a_by 
(-10, 8, 60), [15, 8, 10], 3.25.ac_f_ahs 
(-5, 3, -5), [20, 3, 20], 3.25.ac_f_gt 
(-5, 3, 5), [20, 3, 5], 3.25.ac_p_ev 
(5, -7, 35), [5, 18, 10], 3.25.ac_z_agt 
(-5, 3, 15), [20, 3, 15], 3.25.ac_z_cx 
(3, -5, 25), [3, 20, 0], 3.25.ac_bj_agt 
(5, -7, 45), [5, 18, 20], 3.25.ac_bj_aev 
(-5, 3, 30), [20, 3, 5], 3.25.ac_bo_a 
(5, -7, 55), [5, 18, 5], 3.25.ac_bt_acx 
(-5, 3, 45), [20, 3, 20], 3.25.ac_cd_acx 
(-10, 9, 45), [15, 9, 20], 3.25.ab_au_a 
(10, -11, 70), [10, 14, 20], 3.25.ab_ap_fu 
(-10, 9, 55), [15, 9, 5], 3.25.ab_ak_adw 
(-10, 9, 65), [15, 9, 15], 3.25.ab_a_ahs 
(-1, 0, -25), [24, 0, 0], 3.25.ab_a_z 
(-5, 4, -5), [20, 4, 20], 3.25.ab_a_ir 
(-5, 4, 10), [20, 4, 10], 3.25.ab_p_fu 
(-5, 4, 15), [20, 4, 15], 3.25.ab_u_ev 
(-5, 4, 20), [20, 4, 20], 3.25.ab_z_dw 
(5, -6, 35), [5, 19, 10], 3.25.ab_be_aev 
