(-4, -3, 6), [0, 1, 2], 3.4.ah_w_abw 
(-4, -1, -2), [0, 3, 2], 3.4.af_g_a 
(-4, -1, 0), [0, 3, 0], 3.4.af_i_ai 
(-3, -2, 4), [1, 2, 0], 3.4.af_o_abc 
(-4, 1, -2), [0, 1, 2], 3.4.ad_ac_q 
(-4, 1, 0), [0, 1, 0], 3.4.ad_a_i 
(-3, 0, 0), [1, 0, 0], 3.4.ad_e_a 
(0, -3, 6), [0, 1, 2], 3.4.ad_k_ay 
(-2, -1, 4), [2, 3, 0], 3.4.ad_k_aq 
(-4, 3, 6), [0, 3, 2], 3.4.ab_ac_a 
(-2, 1, 0), [2, 1, 0], 3.4.ab_c_i 
(1, -2, 4), [1, 2, 0], 3.4.ab_g_am 
(-2, 1, 4), [2, 1, 0], 3.4.ab_g_a 
(0, -1, 4), [0, 3, 0], 3.4.ab_i_ai 
(4, -3, 6), [0, 1, 2], 3.4.b_ac_a 
(2, -1, 0), [2, 3, 0], 3.4.b_c_ai 
(2, -1, 4), [2, 3, 0], 3.4.b_g_a 
(-1, 2, 4), [3, 2, 0], 3.4.b_g_m 
(0, 1, 4), [0, 1, 0], 3.4.b_i_i 
(4, -1, -2), [0, 3, 2], 3.4.d_ac_aq 
(4, -1, 0), [0, 3, 0], 3.4.d_a_ai 
(3, 0, 0), [3, 0, 0], 3.4.d_e_a 
(2, 1, 4), [2, 1, 0], 3.4.d_k_q 
(0, 3, 6), [0, 3, 2], 3.4.d_k_y 
(4, 1, -2), [0, 1, 2], 3.4.f_g_a 
(4, 1, 0), [0, 1, 0], 3.4.f_i_i 
(3, 2, 4), [3, 2, 0], 3.4.f_o_bc 
(4, 3, 6), [0, 3, 2], 3.4.h_w_bw 
