(-4, -5, 15), [1, 0, 0], 3.5.aj_bo_aeg 
(-3, -5, 15), [2, 0, 0], 3.5.ai_bj_adr 
(-2, -5, 15), [3, 0, 0], 3.5.ah_be_adc 
(-1, -5, 15), [4, 0, 0], 3.5.ag_z_acn 
(-4, 0, -10), [1, 0, 0], 3.5.ae_af_bo 
(-4, 0, -5), [1, 0, 0], 3.5.ae_a_u 
(-3, 0, -10), [2, 0, 0], 3.5.ad_af_be 
(-3, 0, -5), [2, 0, 0], 3.5.ad_a_p 
(-3, 0, 0), [2, 0, 0], 3.5.ad_f_a 
(-3, 0, 5), [2, 0, 0], 3.5.ad_k_ap 
(-2, 0, 5), [3, 0, 0], 3.5.ac_k_ak 
(-1, 0, -10), [4, 0, 0], 3.5.ab_af_k 
(-1, 0, -5), [4, 0, 0], 3.5.ab_a_f 
(-1, 0, 5), [4, 0, 0], 3.5.ab_k_af 
(1, 0, -10), [1, 0, 0], 3.5.b_af_ak 
(1, 0, -5), [1, 0, 0], 3.5.b_a_af 
(1, 0, 5), [1, 0, 0], 3.5.b_k_f 
(2, 0, 5), [2, 0, 0], 3.5.c_k_k 
(3, 0, -10), [3, 0, 0], 3.5.d_af_abe 
(3, 0, -5), [3, 0, 0], 3.5.d_a_ap 
(3, 0, 0), [3, 0, 0], 3.5.d_f_a 
(3, 0, 5), [3, 0, 0], 3.5.d_k_p 
(4, 0, -10), [4, 0, 0], 3.5.e_af_abo 
(4, 0, -5), [4, 0, 0], 3.5.e_a_au 
(1, 5, 15), [1, 0, 0], 3.5.g_z_cn 
(2, 5, 15), [2, 0, 0], 3.5.h_be_dc 
(3, 5, 15), [3, 0, 0], 3.5.i_bj_dr 
(4, 5, 15), [4, 0, 0], 3.5.j_bo_eg 
