(-5, 0, -14), [3, 0, 2], 3.7.af_ah_cs 
(-5, 0, -7), [3, 0, 1], 3.7.af_a_bj 
(-5, 0, 0), [3, 0, 0], 3.7.af_h_a 
(-5, 0, 7), [3, 0, 3], 3.7.af_o_abj 
(-4, 0, -14), [0, 0, 2], 3.7.ae_ah_ce 
(-4, 0, 0), [0, 0, 0], 3.7.ae_h_a 
(-3, 0, -14), [1, 0, 2], 3.7.ad_ah_bq 
(-3, 0, -7), [1, 0, 1], 3.7.ad_a_v 
(-3, 0, 7), [1, 0, 3], 3.7.ad_o_av 
(-2, 0, -14), [2, 0, 2], 3.7.ac_ah_bc 
(-1, 0, -14), [3, 0, 2], 3.7.ab_ah_o 
(-1, 0, -7), [3, 0, 1], 3.7.ab_a_h 
(-1, 0, 7), [3, 0, 3], 3.7.ab_o_ah 
(1, 0, -14), [1, 0, 2], 3.7.b_ah_ao 
(1, 0, -7), [1, 0, 1], 3.7.b_a_ah 
(1, 0, 7), [1, 0, 3], 3.7.b_o_h 
(2, 0, -14), [2, 0, 2], 3.7.c_ah_abc 
(3, 0, -14), [3, 0, 2], 3.7.d_ah_abq 
(3, 0, -7), [3, 0, 1], 3.7.d_a_av 
(3, 0, 7), [3, 0, 3], 3.7.d_o_v 
(4, 0, -14), [0, 0, 2], 3.7.e_ah_ace 
(4, 0, 0), [0, 0, 0], 3.7.e_h_a 
(5, 0, -14), [1, 0, 2], 3.7.f_ah_acs 
(5, 0, -7), [1, 0, 1], 3.7.f_a_abj 
(5, 0, 0), [1, 0, 0], 3.7.f_h_a 
(5, 0, 7), [1, 0, 3], 3.7.f_o_bj 
