(-4, -7, 24), [0, 1, 0], 3.8.al_ci_aia 
(-4, -3, 8), [0, 1, 0], 3.8.ah_bc_adc 
(-5, 0, -16), [3, 0, 0], 3.8.af_ai_dc 
(-5, 0, -8), [3, 0, 0], 3.8.af_a_bo 
(-4, -1, 0), [0, 3, 0], 3.8.af_m_aq 
(-4, -1, 8), [0, 3, 0], 3.8.af_u_abw 
(-3, 0, -16), [1, 0, 0], 3.8.ad_ai_bw 
(-4, 1, -8), [0, 1, 0], 3.8.ad_ae_bw 
(-4, 1, 0), [0, 1, 0], 3.8.ad_e_q 
(-3, 0, 8), [1, 0, 0], 3.8.ad_q_ay 
(-1, 0, -16), [3, 0, 0], 3.8.ab_ai_q 
(0, -1, 12), [0, 3, 0], 3.8.ab_u_aq 
(1, 0, -16), [1, 0, 0], 3.8.b_ai_aq 
(0, 1, 12), [0, 1, 0], 3.8.b_u_q 
(3, 0, -16), [3, 0, 0], 3.8.d_ai_abw 
(4, -1, -8), [0, 3, 0], 3.8.d_ae_abw 
(4, -1, 0), [0, 3, 0], 3.8.d_e_aq 
(3, 0, 8), [3, 0, 0], 3.8.d_q_y 
(5, 0, -16), [1, 0, 0], 3.8.f_ai_adc 
(5, 0, -8), [1, 0, 0], 3.8.f_a_abo 
(4, 1, 0), [0, 1, 0], 3.8.f_m_q 
(4, 1, 8), [0, 1, 0], 3.8.f_u_bw 
(4, 3, 8), [0, 3, 0], 3.8.h_bc_dc 
(4, 7, 24), [0, 3, 0], 3.8.l_ci_ia 
