(-6, -7, 27), [3, 2, 0], 3.9.an_da_alc 
(-6, -5, 15), [3, 4, 6], 3.9.al_cc_agy 
(-6, -5, 21), [3, 4, 3], 3.9.al_ci_aii 
(-6, -4, 9), [3, 5, 0], 3.9.ak_bq_aew 
(-3, -7, 27), [6, 2, 0], 3.9.ak_cf_ahz 
(-6, -2, 0), [3, 7, 0], 3.9.ai_v_abk 
(-6, -2, 6), [3, 7, 6], 3.9.ai_bb_acu 
(-6, -2, 9), [3, 7, 0], 3.9.ai_be_adm 
(-5, -3, 9), [4, 6, 0], 3.9.ai_bh_adv 
(-3, -5, 15), [6, 4, 6], 3.9.ai_bn_aff 
(-3, -5, 21), [6, 4, 3], 3.9.ai_bt_afx 
(-6, -1, -9), [3, 8, 0], 3.9.ah_g_bk 
(-6, -1, -6), [3, 8, 3], 3.9.ah_j_s 
(-6, -1, -3), [3, 8, 6], 3.9.ah_m_a 
(-6, -1, 0), [3, 8, 0], 3.9.ah_p_as 
(-6, -1, 3), [3, 8, 3], 3.9.ah_s_abk 
(-6, -1, 9), [3, 8, 0], 3.9.ah_y_acu 
(-3, -4, 9), [6, 5, 0], 3.9.ah_be_adv 
(0, -7, 27), [0, 2, 0], 3.9.ah_bk_aew 
(-3, -4, 15), [6, 5, 6], 3.9.ah_bk_aen 
(-6, 1, -9), [3, 1, 0], 3.9.af_ag_cu 
(-6, 1, -3), [3, 1, 6], 3.9.af_a_bk 
(-5, 0, -9), [4, 0, 0], 3.9.af_a_bt 
(-6, 1, 0), [3, 1, 0], 3.9.af_d_s 
(-6, 1, 3), [3, 1, 3], 3.9.af_g_a 
(-6, 1, 9), [3, 1, 0], 3.9.af_m_abk 
(-3, -2, 0), [6, 7, 0], 3.9.af_p_abk 
(-3, -2, 6), [6, 7, 6], 3.9.af_v_acc 
(0, -5, 15), [0, 4, 6], 3.9.af_y_adm 
(-3, -2, 9), [6, 7, 0], 3.9.af_y_acl 
(-3, -2, 12), [6, 7, 3], 3.9.af_bb_acu 
(0, -5, 21), [0, 4, 3], 3.9.af_be_adm 
(-6, 2, 0), [3, 2, 0], 3.9.ae_ad_bk 
(-3, -1, -9), [6, 8, 0], 3.9.ae_d_j 
(-6, 2, 9), [3, 2, 0], 3.9.ae_g_as 
(-6, 2, 12), [3, 2, 3], 3.9.ae_j_abk 
(-3, -1, -3), [6, 8, 6], 3.9.ae_j_aj 
(-4, 0, 0), [5, 0, 0], 3.9.ae_j_a 
(-3, -1, 0), [6, 8, 0], 3.9.ae_m_as 
(3, -7, 27), [3, 2, 0], 3.9.ae_p_abt 
(-3, -1, 3), [6, 8, 3], 3.9.ae_p_abb 
(-3, -1, 9), [6, 8, 0], 3.9.ae_v_abt 
(0, -4, 15), [0, 5, 6], 3.9.ae_y_acu 
(-6, 4, 9), [3, 4, 0], 3.9.ac_ag_s 
