(-8, -7, 40), [0, 1, 0], 3.16.ap_ei_auy 
(-8, -5, 24), [0, 3, 0], 3.16.an_dc_ano 
(-4, -9, 44), [0, 3, 0], 3.16.an_ds_arw 
(-7, -4, 16), [1, 0, 0], 3.16.al_ci_ajg 
(-8, -3, 24), [0, 1, 0], 3.16.al_cm_alc 
(-4, -7, 28), [0, 1, 0], 3.16.al_cu_amy 
(-4, -7, 36), [0, 1, 0], 3.16.al_dc_aoe 
(-8, -1, -8), [0, 3, 0], 3.16.aj_q_bg 
(-8, -1, 8), [0, 3, 0], 3.16.aj_bg_ads 
(-8, -1, 24), [0, 3, 0], 3.16.aj_bw_aiq 
(-4, -5, 12), [0, 3, 0], 3.16.aj_bw_aia 
(-4, -5, 16), [0, 3, 0], 3.16.aj_ca_aiq 
(-5, -4, 16), [3, 0, 0], 3.16.aj_ca_aia 
(-4, -5, 20), [0, 3, 0], 3.16.aj_ce_ajg 
(0, -9, 44), [0, 3, 0], 3.16.aj_ci_alc 
(-4, -5, 24), [0, 3, 0], 3.16.aj_ci_ajw 
(0, -9, 48), [0, 3, 0], 3.16.aj_cm_alc 
(-4, -5, 28), [0, 3, 0], 3.16.aj_cm_akm 
(-8, 1, -8), [0, 1, 0], 3.16.ah_a_ds 
(-8, 1, -4), [0, 1, 0], 3.16.ah_e_cm 
(-8, 1, 8), [0, 1, 0], 3.16.ah_q_abg 
(-7, 0, 0), [1, 0, 0], 3.16.ah_q_a 
(-4, -3, -4), [0, 1, 0], 3.16.ah_y_adc 
(-4, -3, 0), [0, 1, 0], 3.16.ah_bc_ads 
(-8, 1, 24), [0, 1, 0], 3.16.ah_bg_age 
(-4, -3, 12), [0, 1, 0], 3.16.ah_bo_afo 
(-3, -4, 16), [1, 0, 0], 3.16.ah_bs_agu 
(-4, -3, 16), [0, 1, 0], 3.16.ah_bs_age 
(-4, -3, 20), [0, 1, 0], 3.16.ah_bw_agu 
(-4, -1, -20), [0, 3, 0], 3.16.af_a_bw 
(-5, 0, -16), [3, 0, 0], 3.16.af_a_dc 
(-4, -1, -16), [0, 3, 0], 3.16.af_e_bg 
(-8, 3, 16), [0, 3, 0], 3.16.af_i_abg 
(-4, -1, -12), [0, 3, 0], 3.16.af_i_q 
(-4, -1, -8), [0, 3, 0], 3.16.af_m_a 
(-8, 3, 24), [0, 3, 0], 3.16.af_q_ads 
(-4, -1, -4), [0, 3, 0], 3.16.af_q_aq 
(-5, 0, 0), [3, 0, 0], 3.16.af_q_a 
(-4, -1, 0), [0, 3, 0], 3.16.af_u_abg 
(4, -9, 44), [0, 3, 0], 3.16.af_y_aei 
(-4, -1, 4), [0, 3, 0], 3.16.af_y_abw 
(0, -5, 12), [0, 3, 0], 3.16.af_bc_age 
(4, -9, 48), [0, 3, 0], 3.16.af_bc_ads 
(-4, -1, 8), [0, 3, 0], 3.16.af_bc_acm 
(0, -5, 16), [0, 3, 0], 3.16.af_bg_age 
(0, -5, 20), [0, 3, 0], 3.16.af_bk_age 
(-1, -4, 16), [3, 0, 0], 3.16.af_bk_afo 
(-4, -1, 28), [0, 3, 0], 3.16.af_bw_afo 
(-4, 1, -20), [0, 1, 0], 3.16.ad_ai_ei 
(-4, 1, -16), [0, 1, 0], 3.16.ad_ae_ds 
(-8, 5, 24), [0, 1, 0], 3.16.ad_a_abg 
(-3, 0, -16), [1, 0, 0], 3.16.ad_a_bw 
(-4, 1, -12), [0, 1, 0], 3.16.ad_a_dc 
(-8, 5, 28), [0, 1, 0], 3.16.ad_e_acm 
(-7, 4, 16), [1, 0, 0], 3.16.ad_e_q 
(-4, 1, -8), [0, 1, 0], 3.16.ad_e_cm 
(-4, 1, -4), [0, 1, 0], 3.16.ad_i_bw 
(0, -3, -4), [0, 1, 0], 3.16.ad_m_ads 
(-4, 1, 0), [0, 1, 0], 3.16.ad_m_bg 
(4, -7, 28), [0, 1, 0], 3.16.ad_q_aei 
(0, -3, 0), [0, 1, 0], 3.16.ad_q_ads 
(-3, 0, 0), [1, 0, 0], 3.16.ad_q_a 
(-4, 1, 4), [0, 1, 0], 3.16.ad_q_q 
(4, -7, 36), [0, 1, 0], 3.16.ad_y_adc 
(1, -4, 16), [1, 0, 0], 3.16.ad_bc_aei 
(0, -3, 12), [0, 1, 0], 3.16.ad_bc_ads 
(4, -7, 40), [0, 1, 0], 3.16.ad_bc_acm 
(0, -3, 16), [0, 1, 0], 3.16.ad_bg_ads 
(0, -3, 20), [0, 1, 0], 3.16.ad_bk_ads 
(-4, 1, 24), [0, 1, 0], 3.16.ad_bk_acm 
(-4, 1, 28), [0, 1, 0], 3.16.ad_bo_adc 
(0, -1, -20), [0, 3, 0], 3.16.ab_ae_abg 
(-8, 7, 40), [0, 3, 0], 3.16.ab_a_ads 
(0, -1, -16), [0, 3, 0], 3.16.ab_a_abg 
(-1, 0, -16), [3, 0, 0], 3.16.ab_a_q 
(-4, 3, -4), [0, 3, 0], 3.16.ab_a_ei 
(0, -1, -12), [0, 3, 0], 3.16.ab_e_abg 
(4, -5, 12), [0, 3, 0], 3.16.ab_i_aei 
(0, -1, -8), [0, 3, 0], 3.16.ab_i_abg 
(4, -5, 16), [0, 3, 0], 3.16.ab_m_ads 
(0, -1, -4), [0, 3, 0], 3.16.ab_m_abg 
(-5, 4, 16), [3, 0, 0], 3.16.ab_m_bw 
(4, -5, 20), [0, 3, 0], 3.16.ab_q_adc 
(0, -1, 0), [0, 3, 0], 3.16.ab_q_abg 
(-1, 0, 0), [3, 0, 0], 3.16.ab_q_a 
(-4, 3, 12), [0, 3, 0], 3.16.ab_q_bw 
(3, -4, 16), [3, 0, 0], 3.16.ab_u_adc 
(4, -5, 24), [0, 3, 0], 3.16.ab_u_acm 
(0, -1, 4), [0, 3, 0], 3.16.ab_u_abg 
(-4, 3, 16), [0, 3, 0], 3.16.ab_u_bg 
(4, -5, 28), [0, 3, 0], 3.16.ab_y_abw 
(0, -1, 8), [0, 3, 0], 3.16.ab_y_abg 
(-4, 3, 20), [0, 3, 0], 3.16.ab_y_q 
(-4, 3, 24), [0, 3, 0], 3.16.ab_bc_a 
(0, -1, 16), [0, 3, 0], 3.16.ab_bg_abg 
(0, 1, -20), [0, 1, 0], 3.16.b_ae_bg 
(4, -3, -4), [0, 1, 0], 3.16.b_a_aei 
(1, 0, -16), [1, 0, 0], 3.16.b_a_aq 
(0, 1, -16), [0, 1, 0], 3.16.b_a_bg 
(8, -7, 40), [0, 1, 0], 3.16.b_a_ds 
(0, 1, -12), [0, 1, 0], 3.16.b_e_bg 
(0, 1, -8), [0, 1, 0], 3.16.b_i_bg 
(-4, 5, 12), [0, 1, 0], 3.16.b_i_ei 
(5, -4, 16), [1, 0, 0], 3.16.b_m_abw 
(0, 1, -4), [0, 1, 0], 3.16.b_m_bg 
(-4, 5, 16), [0, 1, 0], 3.16.b_m_ds 
