(0, -12, 68), [0, 5, 0], 3.17.am_dh_aps 
(0, -10, 51), [0, 7, 0], 3.17.ak_cq_anc 
(0, -9, 51), [0, 8, 0], 3.17.aj_cq_alu 
(-8, 0, 0), [9, 0, 0], 3.17.ai_r_a 
(-8, 0, 17), [9, 0, 0], 3.17.ai_bi_afg 
(-7, 0, 0), [10, 0, 0], 3.17.ah_r_a 
(-6, 0, -34), [11, 0, 0], 3.17.ag_ar_hw 
(-6, 0, -17), [11, 0, 0], 3.17.ag_a_dy 
(0, -6, 17), [0, 11, 0], 3.17.ag_bi_ahw 
(-6, 0, 17), [11, 0, 0], 3.17.ag_bi_ady 
(-5, 0, 0), [12, 0, 0], 3.17.af_r_a 
(0, -5, 17), [0, 12, 0], 3.17.af_bi_ago 
(-4, 0, -17), [13, 0, 0], 3.17.ae_a_cq 
(0, -4, 0), [0, 13, 0], 3.17.ae_r_afg 
(-4, 0, 0), [13, 0, 0], 3.17.ae_r_a 
(0, -4, 17), [0, 13, 0], 3.17.ae_bi_afg 
(0, -3, 0), [0, 14, 0], 3.17.ad_r_ady 
(-3, 0, 0), [14, 0, 0], 3.17.ad_r_a 
(0, -3, 17), [0, 14, 0], 3.17.ad_bi_ady 
(-2, 0, -34), [15, 0, 0], 3.17.ac_ar_cq 
(0, -2, -17), [0, 15, 0], 3.17.ac_a_acq 
(-2, 0, -17), [15, 0, 0], 3.17.ac_a_bi 
(0, -2, 0), [0, 15, 0], 3.17.ac_r_acq 
(-2, 0, 0), [15, 0, 0], 3.17.ac_r_a 
(0, -2, 17), [0, 15, 0], 3.17.ac_bi_acq 
(-2, 0, 17), [15, 0, 0], 3.17.ac_bi_abi 
(0, -1, -17), [0, 16, 0], 3.17.ab_a_abi 
(0, -1, 0), [0, 16, 0], 3.17.ab_r_abi 
(-1, 0, 0), [16, 0, 0], 3.17.ab_r_a 
(0, -1, 17), [0, 16, 0], 3.17.ab_bi_abi 
(0, 1, -17), [0, 1, 0], 3.17.b_a_bi 
(1, 0, 0), [1, 0, 0], 3.17.b_r_a 
(0, 1, 0), [0, 1, 0], 3.17.b_r_bi 
(0, 1, 17), [0, 1, 0], 3.17.b_bi_bi 
(2, 0, -34), [2, 0, 0], 3.17.c_ar_acq 
(2, 0, -17), [2, 0, 0], 3.17.c_a_abi 
(0, 2, -17), [0, 2, 0], 3.17.c_a_cq 
(2, 0, 0), [2, 0, 0], 3.17.c_r_a 
(0, 2, 0), [0, 2, 0], 3.17.c_r_cq 
(2, 0, 17), [2, 0, 0], 3.17.c_bi_bi 
(0, 2, 17), [0, 2, 0], 3.17.c_bi_cq 
(3, 0, 0), [3, 0, 0], 3.17.d_r_a 
(0, 3, 0), [0, 3, 0], 3.17.d_r_dy 
(0, 3, 17), [0, 3, 0], 3.17.d_bi_dy 
(4, 0, -17), [4, 0, 0], 3.17.e_a_acq 
(4, 0, 0), [4, 0, 0], 3.17.e_r_a 
(0, 4, 0), [0, 4, 0], 3.17.e_r_fg 
(0, 4, 17), [0, 4, 0], 3.17.e_bi_fg 
(5, 0, 0), [5, 0, 0], 3.17.f_r_a 
(0, 5, 17), [0, 5, 0], 3.17.f_bi_go 
(6, 0, -34), [6, 0, 0], 3.17.g_ar_ahw 
(6, 0, -17), [6, 0, 0], 3.17.g_a_ady 
(6, 0, 17), [6, 0, 0], 3.17.g_bi_dy 
(0, 6, 17), [0, 6, 0], 3.17.g_bi_hw 
(7, 0, 0), [7, 0, 0], 3.17.h_r_a 
(8, 0, 0), [8, 0, 0], 3.17.i_r_a 
(8, 0, 17), [8, 0, 0], 3.17.i_bi_fg 
(0, 9, 51), [0, 9, 0], 3.17.j_cq_lu 
(0, 10, 51), [0, 10, 0], 3.17.k_cq_nc 
(0, 12, 68), [0, 12, 0], 3.17.m_dh_ps 
