(0, -13, 76), [0, 6, 0], 3.19.an_dr_ata 
(0, -10, 57), [0, 9, 0], 3.19.ak_cy_aoq 
(0, -9, 57), [0, 10, 0], 3.19.aj_cy_ane 
(-8, 0, 0), [11, 0, 0], 3.19.ai_t_a 
(-8, 0, 19), [11, 0, 0], 3.19.ai_bm_afw 
(-6, 0, -19), [13, 0, 0], 3.19.ag_a_ek 
(-6, 0, 0), [13, 0, 0], 3.19.ag_t_a 
(0, -6, 19), [0, 13, 0], 3.19.ag_bm_aiu 
(-6, 0, 19), [13, 0, 0], 3.19.ag_bm_aek 
(-5, 0, 0), [14, 0, 0], 3.19.af_t_a 
(0, -5, 19), [0, 14, 0], 3.19.af_bm_ahi 
(-4, 0, -38), [15, 0, 0], 3.19.ae_at_fw 
(-4, 0, -19), [15, 0, 0], 3.19.ae_a_cy 
(0, -4, 0), [0, 15, 0], 3.19.ae_t_afw 
(-4, 0, 0), [15, 0, 0], 3.19.ae_t_a 
(0, -4, 19), [0, 15, 0], 3.19.ae_bm_afw 
(-4, 0, 19), [15, 0, 0], 3.19.ae_bm_acy 
(0, -3, 0), [0, 16, 0], 3.19.ad_t_aek 
(-3, 0, 0), [16, 0, 0], 3.19.ad_t_a 
(0, -3, 19), [0, 16, 0], 3.19.ad_bm_aek 
(-2, 0, -38), [17, 0, 0], 3.19.ac_at_cy 
(0, -2, -19), [0, 17, 0], 3.19.ac_a_acy 
(-2, 0, -19), [17, 0, 0], 3.19.ac_a_bm 
(0, -2, 0), [0, 17, 0], 3.19.ac_t_acy 
(-2, 0, 0), [17, 0, 0], 3.19.ac_t_a 
(0, -2, 19), [0, 17, 0], 3.19.ac_bm_acy 
(-2, 0, 19), [17, 0, 0], 3.19.ac_bm_abm 
(0, -1, -19), [0, 18, 0], 3.19.ab_a_abm 
(0, -1, 0), [0, 18, 0], 3.19.ab_t_abm 
(-1, 0, 0), [18, 0, 0], 3.19.ab_t_a 
(0, -1, 19), [0, 18, 0], 3.19.ab_bm_abm 
(0, 1, -19), [0, 1, 0], 3.19.b_a_bm 
(1, 0, 0), [1, 0, 0], 3.19.b_t_a 
(0, 1, 0), [0, 1, 0], 3.19.b_t_bm 
(0, 1, 19), [0, 1, 0], 3.19.b_bm_bm 
(2, 0, -38), [2, 0, 0], 3.19.c_at_acy 
(2, 0, -19), [2, 0, 0], 3.19.c_a_abm 
(0, 2, -19), [0, 2, 0], 3.19.c_a_cy 
(2, 0, 0), [2, 0, 0], 3.19.c_t_a 
(0, 2, 0), [0, 2, 0], 3.19.c_t_cy 
(2, 0, 19), [2, 0, 0], 3.19.c_bm_bm 
(0, 2, 19), [0, 2, 0], 3.19.c_bm_cy 
(3, 0, 0), [3, 0, 0], 3.19.d_t_a 
(0, 3, 0), [0, 3, 0], 3.19.d_t_ek 
(0, 3, 19), [0, 3, 0], 3.19.d_bm_ek 
(4, 0, -38), [4, 0, 0], 3.19.e_at_afw 
(4, 0, -19), [4, 0, 0], 3.19.e_a_acy 
(4, 0, 0), [4, 0, 0], 3.19.e_t_a 
(0, 4, 0), [0, 4, 0], 3.19.e_t_fw 
(4, 0, 19), [4, 0, 0], 3.19.e_bm_cy 
(0, 4, 19), [0, 4, 0], 3.19.e_bm_fw 
(5, 0, 0), [5, 0, 0], 3.19.f_t_a 
(0, 5, 19), [0, 5, 0], 3.19.f_bm_hi 
(6, 0, -19), [6, 0, 0], 3.19.g_a_aek 
(6, 0, 0), [6, 0, 0], 3.19.g_t_a 
(6, 0, 19), [6, 0, 0], 3.19.g_bm_ek 
(0, 6, 19), [0, 6, 0], 3.19.g_bm_iu 
(8, 0, 0), [8, 0, 0], 3.19.i_t_a 
(8, 0, 19), [8, 0, 0], 3.19.i_bm_fw 
(0, 9, 57), [0, 9, 0], 3.19.j_cy_ne 
(0, 10, 57), [0, 10, 0], 3.19.k_cy_oq 
(0, 13, 76), [0, 13, 0], 3.19.n_dr_ta 
