(0, -14, 92), [0, 9, 0], 3.23.ao_el_ayu 
(0, -11, 69), [0, 12, 0], 3.23.al_do_atm 
(0, -10, 69), [0, 13, 0], 3.23.ak_do_ars 
(-9, 0, 0), [14, 0, 0], 3.23.aj_x_a 
(-8, 0, -46), [15, 0, 0], 3.23.ai_ax_oe 
(-8, 0, -23), [15, 0, 0], 3.23.ai_a_hc 
(-8, 0, 0), [15, 0, 0], 3.23.ai_x_a 
(-8, 0, 23), [15, 0, 0], 3.23.ai_bu_ahc 
(0, -7, 23), [0, 16, 0], 3.23.ah_bu_amk 
(-6, 0, -23), [17, 0, 0], 3.23.ag_a_fi 
(-6, 0, 0), [17, 0, 0], 3.23.ag_x_a 
(0, -6, 23), [0, 17, 0], 3.23.ag_bu_akq 
(-6, 0, 23), [17, 0, 0], 3.23.ag_bu_afi 
(-5, 0, 0), [18, 0, 0], 3.23.af_x_a 
(0, -5, 23), [0, 18, 0], 3.23.af_bu_aiw 
(-4, 0, -23), [19, 0, 0], 3.23.ae_a_do 
(0, -4, 0), [0, 19, 0], 3.23.ae_x_ahc 
(-4, 0, 0), [19, 0, 0], 3.23.ae_x_a 
(0, -4, 23), [0, 19, 0], 3.23.ae_bu_ahc 
(-4, 0, 23), [19, 0, 0], 3.23.ae_bu_ado 
(0, -3, 0), [0, 20, 0], 3.23.ad_x_afi 
(-3, 0, 0), [20, 0, 0], 3.23.ad_x_a 
(0, -3, 23), [0, 20, 0], 3.23.ad_bu_afi 
(0, -2, -23), [0, 21, 0], 3.23.ac_a_ado 
(-2, 0, -23), [21, 0, 0], 3.23.ac_a_bu 
(0, -2, 0), [0, 21, 0], 3.23.ac_x_ado 
(-2, 0, 0), [21, 0, 0], 3.23.ac_x_a 
(0, -2, 23), [0, 21, 0], 3.23.ac_bu_ado 
(-2, 0, 23), [21, 0, 0], 3.23.ac_bu_abu 
(0, -1, -23), [0, 22, 0], 3.23.ab_a_abu 
(0, -1, 0), [0, 22, 0], 3.23.ab_x_abu 
(-1, 0, 0), [22, 0, 0], 3.23.ab_x_a 
(0, -1, 23), [0, 22, 0], 3.23.ab_bu_abu 
(0, 1, -23), [0, 1, 0], 3.23.b_a_bu 
(1, 0, 0), [1, 0, 0], 3.23.b_x_a 
(0, 1, 0), [0, 1, 0], 3.23.b_x_bu 
(0, 1, 23), [0, 1, 0], 3.23.b_bu_bu 
(2, 0, -23), [2, 0, 0], 3.23.c_a_abu 
(0, 2, -23), [0, 2, 0], 3.23.c_a_do 
(2, 0, 0), [2, 0, 0], 3.23.c_x_a 
(0, 2, 0), [0, 2, 0], 3.23.c_x_do 
(2, 0, 23), [2, 0, 0], 3.23.c_bu_bu 
(0, 2, 23), [0, 2, 0], 3.23.c_bu_do 
(3, 0, 0), [3, 0, 0], 3.23.d_x_a 
(0, 3, 0), [0, 3, 0], 3.23.d_x_fi 
(0, 3, 23), [0, 3, 0], 3.23.d_bu_fi 
(4, 0, -23), [4, 0, 0], 3.23.e_a_ado 
(4, 0, 0), [4, 0, 0], 3.23.e_x_a 
(0, 4, 0), [0, 4, 0], 3.23.e_x_hc 
(4, 0, 23), [4, 0, 0], 3.23.e_bu_do 
(0, 4, 23), [0, 4, 0], 3.23.e_bu_hc 
(5, 0, 0), [5, 0, 0], 3.23.f_x_a 
(0, 5, 23), [0, 5, 0], 3.23.f_bu_iw 
(6, 0, -23), [6, 0, 0], 3.23.g_a_afi 
(6, 0, 0), [6, 0, 0], 3.23.g_x_a 
(6, 0, 23), [6, 0, 0], 3.23.g_bu_fi 
(0, 6, 23), [0, 6, 0], 3.23.g_bu_kq 
(0, 7, 23), [0, 7, 0], 3.23.h_bu_mk 
(8, 0, -46), [8, 0, 0], 3.23.i_ax_aoe 
(8, 0, -23), [8, 0, 0], 3.23.i_a_ahc 
(8, 0, 0), [8, 0, 0], 3.23.i_x_a 
(8, 0, 23), [8, 0, 0], 3.23.i_bu_hc 
(9, 0, 0), [9, 0, 0], 3.23.j_x_a 
(0, 10, 69), [0, 10, 0], 3.23.k_do_rs 
(0, 11, 69), [0, 11, 0], 3.23.l_do_tm 
(0, 14, 92), [0, 14, 0], 3.23.o_el_yu 
