(-10, -9, 65), [2, 3, 1], 3.25.at_gy_abqi 
(-10, -8, 55), [2, 0, 3], 3.25.as_ge_abko 
(-10, -7, 45), [2, 1, 1], 3.25.ar_fk_abeu 
(-10, -6, 35), [2, 2, 3], 3.25.aq_eq_aza 
(-10, -4, 10), [2, 0, 2], 3.25.ao_cx_alo 
(-10, -4, 15), [2, 0, 3], 3.25.ao_dc_anm 
(-10, -4, 30), [2, 0, 2], 3.25.ao_dr_atg 
(-9, -5, 25), [3, 3, 1], 3.25.ao_dr_ash 
(-10, -4, 40), [2, 0, 0], 3.25.ao_eb_axc 
(-5, -9, 45), [3, 3, 1], 3.25.ao_el_azz 
(-5, -9, 60), [3, 3, 0], 3.25.ao_fa_abcw 
(-10, -3, 5), [2, 1, 1], 3.25.an_ci_ahs 
(-10, -3, 30), [2, 1, 2], 3.25.an_dh_ari 
(-5, -8, 40), [3, 0, 0], 3.25.an_eb_axc 
(-10, -2, -5), [2, 2, 3], 3.25.am_bo_aby 
(-10, -2, 10), [2, 2, 2], 3.25.am_cd_ahs 
(-10, -2, 20), [2, 2, 0], 3.25.am_cn_alo 
(-7, -5, 25), [1, 3, 1], 3.25.am_dh_aqj 
(-10, -2, 45), [2, 2, 1], 3.25.am_dm_ave 
(-5, -7, 30), [3, 1, 2], 3.25.am_dm_atg 
(-5, -7, 35), [3, 1, 3], 3.25.am_dr_auf 
(-5, -7, 40), [3, 1, 0], 3.25.am_dw_ave 
(-10, -1, -15), [2, 3, 1], 3.25.al_u_dw 
(-10, -1, 10), [2, 3, 2], 3.25.al_bt_afu 
(-10, -1, 35), [2, 3, 3], 3.25.al_cs_apk 
(-5, -6, 20), [3, 2, 0], 3.25.al_cx_apk 
(-6, -5, 25), [2, 3, 1], 3.25.al_dc_apk 
(-5, -6, 30), [3, 2, 2], 3.25.al_dh_ari 
(-10, 1, -35), [2, 1, 1], 3.25.aj_au_pk 
(-10, 1, -10), [2, 1, 2], 3.25.aj_f_fu 
(-10, 1, 15), [2, 1, 3], 3.25.aj_be_adw 
(-10, 1, 40), [2, 1, 0], 3.25.aj_cd_anm 
(-5, -4, 20), [3, 0, 0], 3.25.aj_cn_alo 
(-4, -5, 25), [0, 3, 1], 3.25.aj_cs_anm 
(-9, 0, 50), [3, 0, 2], 3.25.aj_cx_ari 
(-10, 2, -20), [2, 2, 0], 3.25.ai_ap_lo 
(-10, 2, 5), [2, 2, 1], 3.25.ai_k_by 
