(-4, -1, 4), [0, 3, 0], 3.4.af_m_ay 
(-2, -3, 6), [2, 1, 2], 3.4.af_q_abk 
(-3, 0, -4), [1, 0, 0], 3.4.ad_a_m 
(-4, 1, 4), [0, 1, 0], 3.4.ad_e_ai 
(-2, -1, -2), [2, 3, 2], 3.4.ad_e_ae 
(-2, -1, 0), [2, 3, 0], 3.4.ad_g_ai 
(-1, -2, 4), [3, 2, 0], 3.4.ad_k_au 
(-1, 0, -4), [3, 0, 0], 3.4.ab_a_e 
(-2, 1, -2), [2, 1, 2], 3.4.ab_a_m 
(0, -1, -2), [0, 3, 2], 3.4.ab_c_ai 
(-3, 2, 4), [1, 2, 0], 3.4.ab_c_e 
(2, -3, 6), [2, 1, 2], 3.4.ab_e_am 
(0, -1, 0), [0, 3, 0], 3.4.ab_e_ai 
(-1, 0, 0), [3, 0, 0], 3.4.ab_e_a 
(2, -1, -2), [2, 3, 2], 3.4.b_a_am 
(1, 0, -4), [1, 0, 0], 3.4.b_a_ae 
(3, -2, 4), [3, 2, 0], 3.4.b_c_ae 
(0, 1, -2), [0, 1, 2], 3.4.b_c_i 
(1, 0, 0), [1, 0, 0], 3.4.b_e_a 
(0, 1, 0), [0, 1, 0], 3.4.b_e_i 
(-2, 3, 6), [2, 3, 2], 3.4.b_e_m 
(3, 0, -4), [3, 0, 0], 3.4.d_a_am 
(2, 1, -2), [2, 1, 2], 3.4.d_e_e 
(4, -1, 4), [0, 3, 0], 3.4.d_e_i 
(2, 1, 0), [2, 1, 0], 3.4.d_g_i 
(1, 2, 4), [1, 2, 0], 3.4.d_k_u 
(4, 1, 4), [0, 1, 0], 3.4.f_m_y 
(2, 3, 6), [2, 3, 2], 3.4.f_q_bk 
