(-4, 0, 0), [0, 0, 0], 3.5.ae_f_a 
(-4, 0, 5), [0, 0, 1], 3.5.ae_k_au 
(1, -5, 15), [1, 3, 3], 3.5.ae_p_abj 
(0, -3, 5), [0, 1, 1], 3.5.ad_k_abe 
(2, -5, 15), [2, 3, 3], 3.5.ad_k_au 
(-2, 0, -10), [2, 0, 2], 3.5.ac_af_u 
(-2, 0, -5), [2, 0, 3], 3.5.ac_a_k 
(0, -2, 0), [0, 2, 0], 3.5.ac_f_au 
(3, -5, 15), [3, 3, 3], 3.5.ac_f_af 
(-2, 0, 0), [2, 0, 0], 3.5.ac_f_a 
(0, -2, 5), [0, 2, 1], 3.5.ac_k_au 
(0, -1, -5), [0, 3, 3], 3.5.ab_a_ak 
(4, -5, 15), [0, 3, 3], 3.5.ab_a_k 
(0, -1, 0), [0, 3, 0], 3.5.ab_f_ak 
(-1, 0, 0), [3, 0, 0], 3.5.ab_f_a 
(0, -1, 5), [0, 3, 1], 3.5.ab_k_ak 
(-4, 5, 15), [0, 1, 3], 3.5.b_a_ak 
(0, 1, -5), [0, 1, 3], 3.5.b_a_k 
(1, 0, 0), [1, 0, 0], 3.5.b_f_a 
(0, 1, 0), [0, 1, 0], 3.5.b_f_k 
(0, 1, 5), [0, 1, 1], 3.5.b_k_k 
(2, 0, -10), [2, 0, 2], 3.5.c_af_au 
(2, 0, -5), [2, 0, 3], 3.5.c_a_ak 
(2, 0, 0), [2, 0, 0], 3.5.c_f_a 
(-3, 5, 15), [1, 1, 3], 3.5.c_f_f 
(0, 2, 0), [0, 2, 0], 3.5.c_f_u 
(0, 2, 5), [0, 2, 1], 3.5.c_k_u 
(-2, 5, 15), [2, 1, 3], 3.5.d_k_u 
(0, 3, 5), [0, 3, 1], 3.5.d_k_be 
(4, 0, 0), [0, 0, 0], 3.5.e_f_a 
(4, 0, 5), [0, 0, 1], 3.5.e_k_u 
(-1, 5, 15), [3, 1, 3], 3.5.e_p_bj 
