(0, -6, 21), [0, 1, 0], 3.7.ag_bc_adg 
(-4, 0, -7), [3, 0, 0], 3.7.ae_a_bc 
(-4, 0, 7), [3, 0, 0], 3.7.ae_o_abc 
(-3, 0, 0), [4, 0, 0], 3.7.ad_h_a 
(0, -3, 7), [0, 4, 0], 3.7.ad_o_abq 
(-2, 0, -7), [5, 0, 0], 3.7.ac_a_o 
(0, -2, 0), [0, 5, 0], 3.7.ac_h_abc 
(-2, 0, 0), [5, 0, 0], 3.7.ac_h_a 
(0, -2, 7), [0, 5, 0], 3.7.ac_o_abc 
(-2, 0, 7), [5, 0, 0], 3.7.ac_o_ao 
(0, -1, -7), [0, 6, 0], 3.7.ab_a_ao 
(0, -1, 0), [0, 6, 0], 3.7.ab_h_ao 
(-1, 0, 0), [6, 0, 0], 3.7.ab_h_a 
(0, -1, 7), [0, 6, 0], 3.7.ab_o_ao 
(0, 1, -7), [0, 1, 0], 3.7.b_a_o 
(1, 0, 0), [1, 0, 0], 3.7.b_h_a 
(0, 1, 0), [0, 1, 0], 3.7.b_h_o 
(0, 1, 7), [0, 1, 0], 3.7.b_o_o 
(2, 0, -7), [2, 0, 0], 3.7.c_a_ao 
(2, 0, 0), [2, 0, 0], 3.7.c_h_a 
(0, 2, 0), [0, 2, 0], 3.7.c_h_bc 
(2, 0, 7), [2, 0, 0], 3.7.c_o_o 
(0, 2, 7), [0, 2, 0], 3.7.c_o_bc 
(3, 0, 0), [3, 0, 0], 3.7.d_h_a 
(0, 3, 7), [0, 3, 0], 3.7.d_o_bq 
(4, 0, -7), [4, 0, 0], 3.7.e_a_abc 
(4, 0, 7), [4, 0, 0], 3.7.e_o_bc 
(0, 6, 21), [0, 6, 0], 3.7.g_bc_dg 
