(-5, -4, 8), [3, 0, 0], 3.8.aj_bk_aea 
(-4, -3, 4), [0, 1, 0], 3.8.ah_y_acm 
(-3, -4, 8), [1, 0, 0], 3.8.ah_bc_adk 
(0, -7, 24), [0, 1, 0], 3.8.ah_bg_aei 
(-4, -1, -8), [0, 3, 0], 3.8.af_e_q 
(-5, 0, 8), [3, 0, 0], 3.8.af_q_abo 
(-1, -4, 8), [3, 0, 0], 3.8.af_u_acu 
(-4, -1, 12), [0, 3, 0], 3.8.af_y_acm 
(-3, 0, -8), [1, 0, 0], 3.8.ad_a_y 
(4, -7, 24), [0, 1, 0], 3.8.ad_e_aq 
(1, -4, 8), [1, 0, 0], 3.8.ad_m_ace 
(0, -3, 4), [0, 1, 0], 3.8.ad_m_abw 
(-4, 1, 8), [0, 1, 0], 3.8.ad_m_aq 
(0, -3, 8), [0, 1, 0], 3.8.ad_q_abw 
(-4, 1, 12), [0, 1, 0], 3.8.ad_q_abg 
(-5, 4, 8), [3, 0, 0], 3.8.ab_ae_y 
(0, -1, -8), [0, 3, 0], 3.8.ab_a_aq 
(-1, 0, -8), [3, 0, 0], 3.8.ab_a_i 
(-4, 3, 4), [0, 3, 0], 3.8.ab_a_bg 
(3, -4, 8), [3, 0, 0], 3.8.ab_e_abo 
(-4, 3, 8), [0, 3, 0], 3.8.ab_e_q 
(0, -1, 0), [0, 3, 0], 3.8.ab_i_aq 
(0, -1, 8), [0, 3, 0], 3.8.ab_q_aq 
(-1, 0, 8), [3, 0, 0], 3.8.ab_q_ai 
(5, -4, 8), [1, 0, 0], 3.8.b_ae_ay 
(4, -3, 4), [0, 1, 0], 3.8.b_a_abg 
(1, 0, -8), [1, 0, 0], 3.8.b_a_ai 
(0, 1, -8), [0, 1, 0], 3.8.b_a_q 
(4, -3, 8), [0, 1, 0], 3.8.b_e_aq 
(-3, 4, 8), [1, 0, 0], 3.8.b_e_bo 
(0, 1, 0), [0, 1, 0], 3.8.b_i_q 
(1, 0, 8), [1, 0, 0], 3.8.b_q_i 
(0, 1, 8), [0, 1, 0], 3.8.b_q_q 
(3, 0, -8), [3, 0, 0], 3.8.d_a_ay 
(-4, 7, 24), [0, 3, 0], 3.8.d_e_q 
(4, -1, 8), [0, 3, 0], 3.8.d_m_q 
(0, 3, 4), [0, 3, 0], 3.8.d_m_bw 
(-1, 4, 8), [3, 0, 0], 3.8.d_m_ce 
(4, -1, 12), [0, 3, 0], 3.8.d_q_bg 
(0, 3, 8), [0, 3, 0], 3.8.d_q_bw 
(4, 1, -8), [0, 1, 0], 3.8.f_e_aq 
(5, 0, 8), [1, 0, 0], 3.8.f_q_bo 
(1, 4, 8), [1, 0, 0], 3.8.f_u_cu 
(4, 1, 12), [0, 1, 0], 3.8.f_y_cm 
(4, 3, 4), [0, 3, 0], 3.8.h_y_cm 
(3, 4, 8), [3, 0, 0], 3.8.h_bc_dk 
(0, 7, 24), [0, 3, 0], 3.8.h_bg_ei 
(5, 4, 8), [1, 0, 0], 3.8.j_bk_ea 
