(-6, -8, 33), [2, 0, 1], 3.11.ao_do_aok 
(-5, -8, 33), [3, 0, 1], 3.11.an_dg_and 
(-6, -7, 33), [2, 1, 1], 3.11.an_di_ano 
(-5, -7, 33), [3, 1, 1], 3.11.am_db_amh 
(0, -11, 51), [0, 1, 3], 3.11.al_ck_aji 
(-3, -8, 33), [1, 0, 1], 3.11.al_cq_akp 
(-4, -7, 33), [0, 1, 1], 3.11.al_cu_ala 
(-6, -4, 11), [2, 0, 3], 3.11.ak_bu_afy 
(-2, -8, 33), [2, 0, 1], 3.11.ak_ci_aji 
(-3, -7, 33), [1, 1, 1], 3.11.ak_cn_ajt 
(-6, -3, 0), [2, 1, 0], 3.11.aj_bd_aco 
(-5, -4, 11), [3, 0, 3], 3.11.aj_bq_afn 
(-1, -8, 33), [3, 0, 1], 3.11.aj_ca_aib 
(-2, -7, 33), [2, 1, 1], 3.11.aj_cg_aim 
(-5, -3, 11), [3, 1, 3], 3.11.ai_bl_aer 
(-6, -1, -11), [2, 3, 1], 3.11.ah_g_bs 
(-5, -2, 11), [3, 2, 3], 3.11.ah_bg_adv 
(-3, -4, 11), [1, 0, 3], 3.11.ah_bi_aer 
(0, -7, 25), [0, 1, 1], 3.11.ah_bk_afy 
(1, -8, 33), [1, 0, 1], 3.11.ah_bk_afn 
(0, -6, 21), [0, 2, 1], 3.11.ag_bg_afc 
(0, -6, 23), [0, 2, 3], 3.11.ag_bi_afc 
(-6, 1, -11), [2, 1, 1], 3.11.af_ag_dk 
(3, -8, 33), [3, 0, 1], 3.11.af_u_acz 
(-1, -4, 11), [3, 0, 3], 3.11.af_ba_adv 
(-4, -1, 11), [0, 3, 3], 3.11.af_ba_aco 
(-3, -2, 11), [1, 2, 3], 3.11.af_bc_acz 
(0, -5, 19), [0, 3, 3], 3.11.af_be_aeg 
(0, -5, 20), [0, 3, 0], 3.11.af_bf_aeg 
(0, -5, 21), [0, 3, 1], 3.11.af_bg_aeg 
(0, -5, 23), [0, 3, 3], 3.11.af_bi_aeg 
(0, -5, 24), [0, 3, 0], 3.11.af_bj_aeg 
(0, -5, 25), [0, 3, 1], 3.11.af_bk_aeg 
(-5, 1, -11), [3, 1, 1], 3.11.ae_af_cz 
(0, -4, 21), [0, 0, 1], 3.11.ae_bg_adk 
(0, -4, 23), [0, 0, 3], 3.11.ae_bi_adk 
(0, -4, 24), [0, 0, 0], 3.11.ae_bj_adk 
(5, -8, 33), [1, 0, 1], 3.11.ad_e_al 
(-4, 1, 0), [0, 1, 0], 3.11.ad_h_w 
(-5, 2, 11), [3, 2, 3], 3.11.ad_m_al 
(1, -4, 11), [1, 0, 3], 3.11.ad_s_acz 
(-1, -2, 11), [3, 2, 3], 3.11.ad_y_acd 
(0, -3, 19), [0, 1, 3], 3.11.ad_be_aco 
(0, -3, 20), [0, 1, 0], 3.11.ad_bf_aco 
(0, -3, 21), [0, 1, 1], 3.11.ad_bg_aco 
(0, -3, 23), [0, 1, 3], 3.11.ad_bi_aco 
(-4, 2, 0), [0, 2, 0], 3.11.ac_d_bs 
(2, -4, 11), [2, 0, 3], 3.11.ac_o_aco 
(-3, 1, 11), [1, 1, 3], 3.11.ac_t_al 
(0, -2, 21), [0, 2, 1], 3.11.ac_bg_abs 
(-5, 4, 11), [3, 0, 3], 3.11.ab_c_bh 
(3, -4, 11), [3, 0, 3], 3.11.ab_k_acd 
(2, -3, 11), [2, 1, 3], 3.11.ab_q_abs 
(-3, 2, 11), [1, 2, 3], 3.11.ab_q_l 
(1, -2, 11), [1, 2, 3], 3.11.ab_u_abh 
(0, -1, 19), [0, 3, 3], 3.11.ab_be_aw 
(0, -1, 21), [0, 3, 1], 3.11.ab_bg_aw 
(0, 0, -21), [0, 0, 3], 3.11.a_ak_a 
(0, 0, 3), [0, 0, 3], 3.11.a_o_a 
(2, -2, 11), [2, 2, 3], 3.11.a_s_aw 
(-2, 2, 11), [2, 2, 3], 3.11.a_s_w 
(5, -4, 11), [1, 0, 3], 3.11.b_c_abh 
(-3, 4, 11), [1, 0, 3], 3.11.b_k_cd 
(3, -2, 11), [3, 2, 3], 3.11.b_q_al 
(-2, 3, 11), [2, 3, 3], 3.11.b_q_bs 
(-1, 2, 11), [3, 2, 3], 3.11.b_u_bh 
