(-7, -9, 39), [6, 4, 0], 3.13.aq_el_atn 
(-6, -9, 39), [7, 4, 0], 3.13.ap_ec_asa 
(-7, -8, 39), [6, 5, 0], 3.13.ap_ee_asn 
(-5, -9, 39), [8, 4, 0], 3.13.ao_dt_aqn 
(-6, -8, 39), [7, 5, 0], 3.13.ao_dw_ara 
(-4, -9, 39), [9, 4, 0], 3.13.an_dk_apa 
(-5, -8, 39), [8, 5, 0], 3.13.an_do_apn 
(-7, -5, 13), [6, 8, 0], 3.13.am_cj_ain 
(-3, -9, 39), [10, 4, 0], 3.13.am_db_ann 
(-4, -8, 39), [9, 5, 0], 3.13.am_dg_aoa 
(-7, -4, 13), [6, 9, 0], 3.13.al_cc_ahn 
(0, -11, 55), [0, 2, 3], 3.13.al_cq_ala 
(-2, -9, 39), [11, 4, 0], 3.13.al_cs_ama 
(-3, -8, 39), [10, 5, 0], 3.13.al_cy_amn 
(-6, -4, 13), [7, 9, 0], 3.13.ak_by_aha 
(-1, -9, 39), [12, 4, 0], 3.13.ak_cj_akn 
(-2, -8, 39), [11, 5, 0], 3.13.ak_cq_ala 
(-7, -2, 13), [6, 11, 0], 3.13.aj_bo_afn 
(-5, -4, 13), [8, 9, 0], 3.13.aj_bu_agn 
(-1, -8, 39), [12, 5, 0], 3.13.aj_ci_ajn 
(-7, -1, -13), [6, 12, 0], 3.13.ai_h_cn 
(-5, -3, 13), [8, 10, 0], 3.13.ai_bp_afn 
(1, -9, 39), [1, 4, 0], 3.13.ai_br_ahn 
(-6, -1, 0), [7, 12, 0], 3.13.ah_t_aba 
(-5, -2, 13), [8, 11, 0], 3.13.ah_bk_aen 
(0, -7, 25), [0, 6, 12], 3.13.ah_bm_aha 
(-3, -4, 13), [10, 9, 0], 3.13.ah_bm_afn 
(0, -7, 27), [0, 6, 1], 3.13.ah_bo_aha 
(0, -7, 28), [0, 6, 2], 3.13.ah_bp_aha 
(0, -7, 29), [0, 6, 3], 3.13.ah_bq_aha 
(1, -8, 39), [1, 5, 0], 3.13.ah_bs_agn 
(-7, 1, -13), [6, 1, 0], 3.13.ag_ah_en 
(0, -6, 25), [0, 7, 12], 3.13.ag_bm_aga 
(0, -6, 27), [0, 7, 1], 3.13.ag_bo_aga 
(-6, 1, -13), [7, 1, 0], 3.13.af_ag_ea 
(-7, 2, 13), [6, 2, 0], 3.13.af_m_abn 
(3, -8, 39), [3, 5, 0], 3.13.af_bc_adn 
(-1, -4, 13), [12, 9, 0], 3.13.af_be_aen 
(-4, -1, 13), [9, 12, 0], 3.13.af_be_ada 
(-3, -2, 13), [10, 11, 0], 3.13.af_bg_adn 
(0, -5, 23), [0, 8, 10], 3.13.af_bk_afa 
(0, -5, 24), [0, 8, 11], 3.13.af_bl_afa 
(0, -5, 25), [0, 8, 12], 3.13.af_bm_afa 
(0, -5, 27), [0, 8, 1], 3.13.af_bo_afa 
(0, -5, 28), [0, 8, 2], 3.13.af_bp_afa 
(0, -5, 29), [0, 8, 3], 3.13.af_bq_afa 
(-5, 1, -13), [8, 1, 0], 3.13.ae_af_dn 
(0, -4, 3), [0, 9, 3], 3.13.ae_q_aea 
(0, -4, 24), [0, 9, 11], 3.13.ae_bl_aea 
(0, -4, 25), [0, 9, 12], 3.13.ae_bm_aea 
(0, -4, 27), [0, 9, 1], 3.13.ae_bo_aea 
(-7, 4, 13), [6, 4, 0], 3.13.ad_ac_n 
(5, -8, 39), [5, 5, 0], 3.13.ad_m_an 
(2, -5, 13), [2, 8, 0], 3.13.ad_q_aea 
(-5, 2, 13), [8, 2, 0], 3.13.ad_q_an 
