(-8, -13, 73), [0, 3, 1], 3.16.av_hl_abmm 
(-8, -12, 65), [0, 0, 1], 3.16.au_gv_abiu 
(-8, -11, 57), [0, 1, 1], 3.16.at_gf_abfc 
(-8, -11, 59), [0, 1, 3], 3.16.at_gh_abfs 
(-8, -11, 61), [0, 1, 1], 3.16.at_gj_abgi 
(-8, -10, 49), [0, 2, 1], 3.16.as_fp_abbk 
(-8, -10, 51), [0, 2, 3], 3.16.as_fr_abca 
(-8, -10, 55), [0, 2, 3], 3.16.as_fv_abdg 
(-8, -9, 41), [0, 3, 1], 3.16.ar_ez_axs 
(-8, -9, 43), [0, 3, 3], 3.16.ar_fb_ayi 
(-8, -9, 45), [0, 3, 1], 3.16.ar_fd_ayy 
(-8, -9, 47), [0, 3, 3], 3.16.ar_ff_azo 
(-8, -9, 49), [0, 3, 1], 3.16.ar_fh_abae 
(-8, -9, 51), [0, 3, 3], 3.16.ar_fj_abau 
(-4, -13, 73), [0, 3, 1], 3.16.ar_fl_abbg 
(-8, -8, 33), [0, 0, 1], 3.16.aq_ej_aua 
(-8, -8, 35), [0, 0, 3], 3.16.aq_el_auq 
(-8, -8, 37), [0, 0, 1], 3.16.aq_en_avg 
(-8, -8, 41), [0, 0, 1], 3.16.aq_er_awm 
(-8, -8, 43), [0, 0, 3], 3.16.aq_et_axc 
(-7, -9, 44), [1, 3, 0], 3.16.aq_et_awy 
(-8, -8, 45), [0, 0, 1], 3.16.aq_ev_axs 
(-7, -9, 48), [1, 3, 0], 3.16.aq_ex_aya 
(-4, -12, 65), [0, 0, 1], 3.16.aq_ez_ayu 
(-8, -7, 25), [0, 1, 1], 3.16.ap_dt_aqi 
(-8, -7, 27), [0, 1, 3], 3.16.ap_dv_aqy 
(-8, -7, 29), [0, 1, 1], 3.16.ap_dx_aro 
(-8, -7, 31), [0, 1, 3], 3.16.ap_dz_ase 
(-8, -7, 33), [0, 1, 1], 3.16.ap_eb_asu 
(-8, -7, 35), [0, 1, 3], 3.16.ap_ed_atk 
(-8, -7, 37), [0, 1, 1], 3.16.ap_ef_aua 
(-8, -7, 39), [0, 1, 3], 3.16.ap_eh_auq 
(-8, -7, 41), [0, 1, 1], 3.16.ap_ej_avg 
(-8, -7, 43), [0, 1, 3], 3.16.ap_el_avw 
(-4, -11, 57), [0, 1, 1], 3.16.ap_en_awi 
(-4, -11, 59), [0, 1, 3], 3.16.ap_ep_awq 
(-4, -11, 61), [0, 1, 1], 3.16.ap_er_awy 
