(-8, -12, 68), [0, 0, 0], 3.17.au_gz_abkq 
(-7, -12, 68), [1, 0, 0], 3.17.at_gn_abia 
(-8, -10, 51), [0, 2, 3], 3.17.as_fs_abcu 
(-6, -12, 68), [2, 0, 0], 3.17.as_gb_abfk 
(-7, -10, 51), [1, 2, 3], 3.17.ar_fi_abav 
(-8, -9, 51), [0, 3, 3], 3.17.ar_fk_abbm 
(-5, -12, 68), [3, 0, 0], 3.17.ar_fp_abcu 
(-7, -9, 51), [1, 3, 3], 3.17.aq_fb_azn 
(-5, -10, 51), [3, 2, 3], 3.17.ap_eo_awx 
(-3, -12, 68), [1, 0, 0], 3.17.ap_er_axo 
(-6, -9, 51), [2, 3, 3], 3.17.ap_es_axo 
(-8, -6, 17), [0, 2, 1], 3.17.ao_de_anc 
(-4, -10, 51), [0, 2, 3], 3.17.ao_ee_auy 
(-5, -9, 51), [3, 3, 3], 3.17.ao_ej_avp 
(-7, -6, 17), [1, 2, 1], 3.17.an_cy_aml 
(-3, -10, 51), [1, 2, 3], 3.17.an_du_asz 
(-4, -9, 51), [0, 3, 3], 3.17.an_ea_atq 
(-7, -5, 17), [1, 3, 1], 3.17.am_cr_ald 
(-2, -10, 51), [2, 2, 3], 3.17.am_dk_ara 
(-3, -9, 51), [1, 3, 3], 3.17.am_dr_arr 
(-7, -4, 17), [1, 0, 1], 3.17.al_ck_ajv 
(-5, -6, 17), [3, 2, 1], 3.17.al_cm_ald 
(-1, -10, 51), [3, 2, 3], 3.17.al_da_apb 
(-2, -9, 51), [2, 3, 3], 3.17.al_di_aps 
(-8, -2, -17), [0, 2, 3], 3.17.ak_q_cq 
(-7, -3, 0), [1, 1, 0], 3.17.ak_bm_ady 
(-1, -9, 51), [3, 3, 3], 3.17.ak_cz_ant 
(-7, -2, -17), [1, 2, 3], 3.17.aj_o_bz 
(-7, -2, 0), [1, 2, 0], 3.17.aj_bf_acq 
(-7, -2, 17), [1, 2, 1], 3.17.aj_bw_ahf 
(-3, -6, 17), [1, 2, 1], 3.17.aj_ca_ajv 
(-6, -3, 17), [2, 1, 1], 3.17.aj_ca_ahw 
(-5, -4, 17), [3, 0, 1], 3.17.aj_cc_ain 
(1, -10, 51), [1, 2, 3], 3.17.aj_cg_ald 
(0, -8, 33), [0, 0, 1], 3.17.ai_by_akm 
(0, -8, 35), [0, 0, 3], 3.17.ai_ca_akm 
(-5, -2, -17), [3, 2, 3], 3.17.ah_k_r 
(3, -10, 51), [3, 2, 3], 3.17.ah_bm_ahf 
(-1, -6, 17), [3, 2, 1], 3.17.ah_bo_ain 
(-5, -2, 17), [3, 2, 1], 3.17.ah_bs_afx 
(-3, -4, 17), [1, 0, 1], 3.17.ah_bu_ahf 
(0, -7, 31), [0, 1, 3], 3.17.ah_bw_aje 
(0, -7, 32), [0, 1, 0], 3.17.ah_bx_aje 
(0, -7, 33), [0, 1, 1], 3.17.ah_by_aje 
(0, -7, 35), [0, 1, 3], 3.17.ah_ca_aje 
(0, -7, 36), [0, 1, 0], 3.17.ah_cb_aje 
(0, -7, 37), [0, 1, 1], 3.17.ah_cc_aje 
(-8, 2, -17), [0, 2, 3], 3.17.ag_aq_hw 
(-7, 1, -17), [1, 1, 3], 3.17.ag_ah_fx 
(-5, -1, 17), [3, 3, 1], 3.17.ag_bn_aep 
(0, -6, 33), [0, 2, 1], 3.17.ag_by_ahw 
(0, -6, 35), [0, 2, 3], 3.17.ag_ca_ahw 
(-7, 2, -17), [1, 2, 3], 3.17.af_ao_hf 
(-3, -2, -17), [1, 2, 3], 3.17.af_g_ar 
(5, -10, 51), [1, 2, 3], 3.17.af_s_adh 
(-7, 2, 17), [1, 2, 1], 3.17.af_u_abz 
(1, -6, 17), [1, 2, 1], 3.17.af_bc_ahf 
(-1, -4, 17), [3, 0, 1], 3.17.af_bm_afx 
(-3, -2, 17), [1, 2, 1], 3.17.af_bo_aep 
(0, -5, 31), [0, 3, 3], 3.17.af_bw_ago 
(0, -5, 32), [0, 3, 0], 3.17.af_bx_ago 
(0, -5, 33), [0, 3, 1], 3.17.af_by_ago 
(0, -5, 35), [0, 3, 3], 3.17.af_ca_ago 
(0, -5, 36), [0, 3, 0], 3.17.af_cb_ago 
(0, -5, 37), [0, 3, 1], 3.17.af_cc_ago 
(-6, 2, -17), [2, 2, 3], 3.17.ae_am_go 
(2, -6, 17), [2, 2, 1], 3.17.ae_w_ago 
(0, -4, 33), [0, 0, 1], 3.17.ae_by_afg 
(0, -4, 35), [0, 0, 3], 3.17.ae_ca_afg 
(-5, 2, -17), [3, 2, 3], 3.17.ad_ak_fx 
(7, -10, 51), [3, 2, 3], 3.17.ad_ac_r 
(-1, -2, -17), [3, 2, 3], 3.17.ad_c_abz 
(-7, 4, 17), [1, 0, 1], 3.17.ad_g_r 
(-5, 2, 0), [3, 2, 0], 3.17.ad_h_cq 
(3, -6, 17), [3, 2, 1], 3.17.ad_q_afx 
(2, -5, 17), [2, 3, 1], 3.17.ad_y_afg 
(-5, 2, 17), [3, 2, 1], 3.17.ad_y_ar 
(1, -4, 17), [1, 0, 1], 3.17.ad_be_aep 
(-4, 1, 17), [0, 1, 1], 3.17.ad_be_abi 
(-1, -2, 17), [3, 2, 1], 3.17.ad_bk_adh 
(0, -3, 31), [0, 1, 3], 3.17.ad_bw_ady 
(0, -3, 32), [0, 1, 0], 3.17.ad_bx_ady 
(0, -3, 33), [0, 1, 1], 3.17.ad_by_ady 
