(-8, -13, 76), [0, 3, 0], 3.19.av_hr_abqk 
(-7, -13, 76), [1, 3, 0], 3.19.au_he_abnm 
(-6, -13, 76), [2, 3, 0], 3.19.at_gr_abko 
(-8, -10, 57), [0, 2, 1], 3.19.as_ga_abge 
(-7, -10, 57), [1, 2, 1], 3.19.ar_fq_abdz 
(-4, -13, 76), [0, 3, 0], 3.19.ar_fr_abes 
(-8, -9, 57), [0, 3, 1], 3.19.ar_fs_abes 
(-3, -13, 76), [1, 3, 0], 3.19.aq_fe_abbu 
(-5, -10, 57), [3, 2, 1], 3.19.ap_ew_azp 
(-6, -9, 57), [2, 3, 1], 3.19.ap_fa_abai 
(-5, -9, 57), [3, 3, 1], 3.19.ao_er_ayd 
(-8, -5, 19), [0, 3, 3], 3.19.an_da_ane 
(-7, -6, 19), [1, 2, 3], 3.19.an_dc_anx 
(-3, -10, 57), [1, 2, 1], 3.19.an_ec_avf 
(-4, -9, 57), [0, 3, 1], 3.19.an_ei_avy 
(-2, -10, 57), [2, 2, 1], 3.19.am_ds_ata 
(-3, -9, 57), [1, 3, 1], 3.19.am_dz_att 
(-8, -3, 0), [0, 1, 0], 3.19.al_br_aek 
(-7, -4, 19), [1, 0, 3], 3.19.al_co_akz 
(-5, -6, 19), [3, 2, 3], 3.19.al_cq_aml 
(-1, -10, 57), [3, 2, 1], 3.19.al_di_aqv 
(-8, -1, -19), [0, 3, 1], 3.19.aj_i_ek 
(-7, -2, -19), [1, 2, 1], 3.19.aj_o_cf 
(-7, -2, 0), [1, 2, 0], 3.19.aj_bh_acy 
(-7, -2, 19), [1, 2, 3], 3.19.aj_ca_aib 
(-3, -6, 19), [1, 2, 3], 3.19.aj_ce_akz 
(-6, -3, 19), [2, 1, 3], 3.19.aj_ce_aiu 
(-5, -4, 19), [3, 0, 3], 3.19.aj_cg_ajn 
(0, -9, 41), [0, 3, 1], 3.19.aj_ci_ane 
(1, -10, 57), [1, 2, 1], 3.19.aj_co_aml 
(0, -8, 37), [0, 0, 1], 3.19.ai_ce_als 
(0, -8, 39), [0, 0, 3], 3.19.ai_cg_als 
(-5, -2, -19), [3, 2, 1], 3.19.ah_k_t 
(-1, -6, 19), [3, 2, 3], 3.19.ah_bs_ajn 
(3, -10, 57), [3, 2, 1], 3.19.ah_bu_aib 
(-5, -2, 19), [3, 2, 3], 3.19.ah_bw_agp 
(-3, -4, 19), [1, 0, 3], 3.19.ah_by_aib 
(0, -7, 35), [0, 1, 3], 3.19.ah_cc_akg 
(0, -7, 36), [0, 1, 0], 3.19.ah_cd_akg 
(0, -7, 37), [0, 1, 1], 3.19.ah_ce_akg 
(0, -7, 39), [0, 1, 3], 3.19.ah_cg_akg 
(0, -7, 40), [0, 1, 0], 3.19.ah_ch_akg 
(0, -7, 41), [0, 1, 1], 3.19.ah_ci_akg 
(-7, 1, -19), [1, 1, 1], 3.19.ag_ah_gp 
(-5, -1, 19), [3, 3, 3], 3.19.ag_br_afd 
(0, -6, 37), [0, 2, 1], 3.19.ag_ce_aiu 
(0, -6, 39), [0, 2, 3], 3.19.ag_cg_aiu 
(-7, 2, -19), [1, 2, 1], 3.19.af_ao_ib 
(-3, -2, -19), [1, 2, 1], 3.19.af_g_at 
(-7, 2, 19), [1, 2, 3], 3.19.af_y_acf 
(5, -10, 57), [1, 2, 1], 3.19.af_ba_adr 
(1, -6, 19), [1, 2, 3], 3.19.af_bg_aib 
(-1, -4, 19), [3, 0, 3], 3.19.af_bq_agp 
(-3, -2, 19), [1, 2, 3], 3.19.af_bs_afd 
(0, -5, 35), [0, 3, 3], 3.19.af_cc_ahi 
(0, -5, 36), [0, 3, 0], 3.19.af_cd_ahi 
(0, -5, 37), [0, 3, 1], 3.19.af_ce_ahi 
(0, -5, 39), [0, 3, 3], 3.19.af_cg_ahi 
(0, -5, 40), [0, 3, 0], 3.19.af_ch_ahi 
(0, -5, 41), [0, 3, 1], 3.19.af_ci_ahi 
(0, -4, 37), [0, 0, 1], 3.19.ae_ce_afw 
(0, -4, 39), [0, 0, 3], 3.19.ae_cg_afw 
(-5, 2, -19), [3, 2, 1], 3.19.ad_ak_gp 
(-1, -2, -19), [3, 2, 1], 3.19.ad_c_acf 
(7, -10, 57), [3, 2, 1], 3.19.ad_g_t 
(-5, 2, 0), [3, 2, 0], 3.19.ad_j_cy 
(-7, 4, 19), [1, 0, 3], 3.19.ad_k_t 
(3, -6, 19), [3, 2, 3], 3.19.ad_u_agp 
(-5, 2, 19), [3, 2, 3], 3.19.ad_bc_at 
(1, -4, 19), [1, 0, 3], 3.19.ad_bi_afd 
(-4, 1, 19), [0, 1, 3], 3.19.ad_bi_abm 
(-1, -2, 19), [3, 2, 3], 3.19.ad_bo_adr 
(0, -3, 35), [0, 1, 3], 3.19.ad_cc_aek 
(0, -3, 36), [0, 1, 0], 3.19.ad_cd_aek 
(0, -3, 37), [0, 1, 1], 3.19.ad_ce_aek 
(0, -3, 39), [0, 1, 3], 3.19.ad_cg_aek 
(3, -5, 19), [3, 3, 3], 3.19.ac_x_afd 
(0, -2, 37), [0, 2, 1], 3.19.ac_ce_acy 
(-3, 2, -19), [1, 2, 1], 3.19.ab_ag_fd 
(-7, 6, 19), [1, 2, 3], 3.19.ab_ae_dr 
(1, -2, -19), [1, 2, 1], 3.19.ab_ac_adr 
(5, -6, 19), [1, 2, 3], 3.19.ab_i_afd 
(-5, 4, 19), [3, 0, 3], 3.19.ab_s_cf 
(3, -4, 19), [3, 0, 3], 3.19.ab_ba_adr 
(-3, 2, 19), [1, 2, 3], 3.19.ab_bg_t 
(1, -2, 19), [1, 2, 3], 3.19.ab_bk_acf 
(0, -1, 35), [0, 3, 3], 3.19.ab_cc_abm 
(0, -1, 37), [0, 3, 1], 3.19.ab_ce_abm 
(0, 0, -37), [0, 0, 3], 3.19.a_as_a 
(3, -3, 19), [3, 1, 3], 3.19.a_bd_acf 
(-3, 3, 19), [1, 3, 3], 3.19.a_bd_cf 
(0, 0, 11), [0, 0, 3], 3.19.a_be_a 
(0, 0, 36), [0, 0, 0], 3.19.a_cd_a 
(3, -2, -19), [3, 2, 1], 3.19.b_ag_afd 
(7, -6, 19), [3, 2, 3], 3.19.b_ae_adr 
(-1, 2, -19), [3, 2, 1], 3.19.b_ac_dr 
(-5, 6, 19), [3, 2, 3], 3.19.b_i_fd 
(5, -4, 19), [1, 0, 3], 3.19.b_s_acf 
(-3, 4, 19), [1, 0, 3], 3.19.b_ba_dr 
(3, -2, 19), [3, 2, 3], 3.19.b_bg_at 
(-1, 2, 19), [3, 2, 3], 3.19.b_bk_cf 
