(-9, -14, 92), [3, 2, 0], 3.23.ax_jh_aceq 
(-8, -14, 92), [0, 2, 0], 3.23.aw_it_acbc 
(-7, -14, 92), [1, 2, 0], 3.23.av_if_abxo 
(-6, -14, 92), [2, 2, 0], 3.23.au_hr_abua 
(-8, -11, 69), [0, 1, 1], 3.23.at_gy_abos 
(-9, -10, 69), [3, 2, 1], 3.23.at_ha_abpp 
(-5, -14, 92), [3, 2, 0], 3.23.at_hd_abqm 
(-7, -10, 69), [1, 2, 1], 3.23.ar_gg_abkh 
(-6, -10, 69), [2, 2, 1], 3.23.aq_fw_abhq 
(-9, -6, 23), [3, 2, 3], 3.23.ap_dw_asp 
(-4, -11, 69), [0, 1, 1], 3.23.ap_fg_abec 
(-5, -10, 69), [3, 2, 1], 3.23.ap_fm_abez 
(-3, -11, 69), [1, 1, 1], 3.23.ao_ev_abbl 
(-4, -10, 69), [0, 2, 1], 3.23.ao_fc_abci 
(-9, -4, 0), [3, 0, 0], 3.23.an_ch_ahc 
(-9, -4, 23), [3, 0, 3], 3.23.an_de_apb 
(-8, -5, 23), [0, 3, 3], 3.23.an_di_apy 
(-7, -6, 23), [1, 2, 3], 3.23.an_dk_aqv 
(-3, -10, 69), [1, 2, 1], 3.23.an_es_azr 
(-9, -2, -23), [3, 2, 1], 3.23.al_s_el 
(-9, -2, 23), [3, 2, 3], 3.23.al_cm_aln 
(-7, -4, 23), [1, 0, 3], 3.23.al_cw_anh 
(-5, -6, 23), [3, 2, 3], 3.23.al_cy_apb 
(-1, -10, 69), [3, 2, 1], 3.23.al_dy_auj 
(-9, -1, -23), [3, 3, 1], 3.23.ak_j_gf 
(-7, -2, -23), [1, 2, 1], 3.23.aj_o_cr 
(-7, -2, 23), [1, 2, 3], 3.23.aj_ci_ajt 
(-3, -6, 23), [1, 2, 3], 3.23.aj_cm_anh 
(0, -9, 43), [0, 3, 3], 3.23.aj_co_apy 
(-5, -4, 23), [3, 0, 3], 3.23.aj_co_aln 
(0, -9, 44), [0, 3, 0], 3.23.aj_cp_apy 
(0, -9, 45), [0, 3, 1], 3.23.aj_cq_apy 
(0, -9, 47), [0, 3, 3], 3.23.aj_cs_apy 
(0, -9, 48), [0, 3, 0], 3.23.aj_ct_apy 
(0, -9, 49), [0, 3, 1], 3.23.aj_cu_apy 
(1, -10, 69), [1, 2, 1], 3.23.aj_de_apb 
(-6, -2, 23), [2, 2, 3], 3.23.ai_cg_aiw 
(0, -8, 41), [0, 0, 1], 3.23.ai_cm_aoe 
(0, -8, 45), [0, 0, 1], 3.23.ai_cq_aoe 
(0, -8, 47), [0, 0, 3], 3.23.ai_cs_aoe 
(-9, 2, -23), [3, 2, 1], 3.23.ah_as_ln 
(-8, 1, -23), [0, 1, 1], 3.23.ah_ai_iw 
(-5, -2, -23), [3, 2, 1], 3.23.ah_k_x 
(-9, 2, 23), [3, 2, 3], 3.23.ah_bc_ael 
(-1, -6, 23), [3, 2, 3], 3.23.ah_ca_aln 
(-5, -2, 23), [3, 2, 3], 3.23.ah_ce_ahz 
(-3, -4, 23), [1, 0, 3], 3.23.ah_cg_ajt 
(3, -10, 69), [3, 2, 1], 3.23.ah_ck_ajt 
(0, -7, 43), [0, 1, 3], 3.23.ah_co_amk 
(0, -7, 44), [0, 1, 0], 3.23.ah_cp_amk 
(0, -7, 45), [0, 1, 1], 3.23.ah_cq_amk 
(0, -7, 47), [0, 1, 3], 3.23.ah_cs_amk 
(0, -7, 48), [0, 1, 0], 3.23.ah_ct_amk 
(0, -7, 49), [0, 1, 1], 3.23.ah_cu_amk 
(-5, -1, 23), [3, 3, 3], 3.23.ag_bz_agf 
(0, -6, 45), [0, 2, 1], 3.23.ag_cq_akq 
(0, -6, 47), [0, 2, 3], 3.23.ag_cs_akq 
(-7, 2, -23), [1, 2, 1], 3.23.af_ao_jt 
(-3, -2, -23), [1, 2, 1], 3.23.af_g_ax 
(-9, 4, 23), [3, 0, 3], 3.23.af_k_ax 
(-7, 2, 23), [1, 2, 3], 3.23.af_bg_acr 
(1, -6, 23), [1, 2, 3], 3.23.af_bo_ajt 
(5, -10, 69), [1, 2, 1], 3.23.af_bq_ael 
(-1, -4, 23), [3, 0, 3], 3.23.af_by_ahz 
(-3, -2, 23), [1, 2, 3], 3.23.af_ca_agf 
(0, -5, 43), [0, 3, 3], 3.23.af_co_aiw 
(0, -5, 44), [0, 3, 0], 3.23.af_cp_aiw 
(0, -5, 45), [0, 3, 1], 3.23.af_cq_aiw 
(0, -5, 47), [0, 3, 3], 3.23.af_cs_aiw 
(0, -5, 48), [0, 3, 0], 3.23.af_ct_aiw 
(0, -5, 49), [0, 3, 1], 3.23.af_cu_aiw 
(0, -4, 45), [0, 0, 1], 3.23.ae_cq_ahc 
(0, -4, 47), [0, 0, 3], 3.23.ae_cs_ahc 
(-5, 2, -23), [3, 2, 1], 3.23.ad_ak_hz 
(-9, 6, 23), [3, 2, 3], 3.23.ad_ai_cr 
(-1, -2, -23), [3, 2, 1], 3.23.ad_c_acr 
(-7, 4, 23), [1, 0, 3], 3.23.ad_s_x 
(7, -10, 69), [3, 2, 1], 3.23.ad_w_x 
(3, -6, 23), [3, 2, 3], 3.23.ad_bc_ahz 
(-5, 2, 23), [3, 2, 3], 3.23.ad_bk_ax 
(1, -4, 23), [1, 0, 3], 3.23.ad_bq_agf 
(-4, 1, 23), [0, 1, 3], 3.23.ad_bq_abu 
(-1, -2, 23), [3, 2, 3], 3.23.ad_bw_ael 
(0, -3, 43), [0, 1, 3], 3.23.ad_co_afi 
(0, -3, 44), [0, 1, 0], 3.23.ad_cp_afi 
(0, -3, 45), [0, 1, 1], 3.23.ad_cq_afi 
(0, -3, 47), [0, 1, 3], 3.23.ad_cs_afi 
(3, -5, 23), [3, 3, 3], 3.23.ac_bf_agf 
(-4, 2, 23), [0, 2, 3], 3.23.ac_bm_a 
(0, -2, 45), [0, 2, 1], 3.23.ac_cq_ado 
(-3, 2, -23), [1, 2, 1], 3.23.ab_ag_gf 
(1, -2, -23), [1, 2, 1], 3.23.ab_ac_ael 
(9, -10, 69), [1, 2, 1], 3.23.ab_c_gf 
(-5, 4, 0), [3, 0, 0], 3.23.ab_d_hc 
(-7, 6, 23), [1, 2, 3], 3.23.ab_e_el 
(5, -6, 23), [1, 2, 3], 3.23.ab_q_agf 
(-5, 4, 23), [3, 0, 3], 3.23.ab_ba_cr 
(3, -4, 23), [3, 0, 3], 3.23.ab_bi_ael 
