(-10, -17, 121), [2, 3, 1], 3.25.abb_me_adbg 
(-10, -16, 111), [2, 0, 3], 3.25.aba_lk_acvm 
(-10, -16, 112), [2, 0, 0], 3.25.aba_ll_acvw 
(-10, -15, 101), [2, 1, 1], 3.25.az_kq_acps 
(-10, -15, 102), [2, 1, 2], 3.25.az_kr_acqc 
(-10, -15, 103), [2, 1, 3], 3.25.az_ks_acqm 
(-10, -14, 91), [2, 2, 3], 3.25.ay_jw_acjy 
(-10, -14, 92), [2, 2, 0], 3.25.ay_jx_acki 
(-10, -14, 93), [2, 2, 1], 3.25.ay_jy_acks 
(-10, -14, 94), [2, 2, 2], 3.25.ay_jz_aclc 
(-10, -14, 96), [2, 2, 0], 3.25.ay_kb_aclw 
(-10, -14, 97), [2, 2, 1], 3.25.ay_kc_acmg 
(-10, -13, 81), [2, 3, 1], 3.25.ax_jc_acee 
(-10, -13, 82), [2, 3, 2], 3.25.ax_jd_aceo 
(-10, -13, 83), [2, 3, 3], 3.25.ax_je_acey 
(-10, -13, 84), [2, 3, 0], 3.25.ax_jf_acfi 
(-10, -13, 87), [2, 3, 3], 3.25.ax_ji_acgm 
(-10, -13, 88), [2, 3, 0], 3.25.ax_jj_acgw 
(-10, -13, 89), [2, 3, 1], 3.25.ax_jk_achg 
(-10, -13, 91), [2, 3, 3], 3.25.ax_jm_acia 
(-10, -12, 71), [2, 0, 3], 3.25.aw_ii_abyk 
(-10, -12, 72), [2, 0, 0], 3.25.aw_ij_abyu 
(-10, -12, 73), [2, 0, 1], 3.25.aw_ik_abze 
(-10, -12, 74), [2, 0, 2], 3.25.aw_il_abzo 
(-10, -12, 76), [2, 0, 0], 3.25.aw_in_acai 
(-10, -12, 79), [2, 0, 3], 3.25.aw_iq_acbm 
(-10, -12, 81), [2, 0, 1], 3.25.aw_is_accg 
(-9, -13, 85), [3, 3, 1], 3.25.aw_it_accl 
(-10, -12, 83), [2, 0, 3], 3.25.aw_iu_acda 
(-10, -12, 84), [2, 0, 0], 3.25.aw_iv_acdk 
(-5, -17, 121), [3, 3, 1], 3.25.aw_ix_acdz 
