(-2, -3, 5), [2, 1, 1], 3.2.af_n_aw 
(-2, -2, 3), [2, 2, 3], 3.2.ae_j_ao 
(-2, -1, -1), [2, 3, 3], 3.2.ad_d_ac 
(-2, -1, 1), [2, 3, 1], 3.2.ad_f_ag 
(0, -3, 5), [0, 1, 1], 3.2.ad_h_am 
(-2, -1, 3), [2, 3, 3], 3.2.ad_h_ak 
(-2, 0, -3), [2, 0, 1], 3.2.ac_ab_g 
(-2, 0, -1), [2, 0, 3], 3.2.ac_b_c 
(-2, 0, 1), [2, 0, 1], 3.2.ac_d_ac 
(0, -2, 3), [0, 2, 3], 3.2.ac_f_ai 
(-2, 1, -1), [2, 1, 3], 3.2.ab_ab_g 
(0, -1, -1), [0, 3, 3], 3.2.ab_b_ae 
(2, -3, 5), [2, 1, 1], 3.2.ab_b_ac 
(-2, 1, 1), [2, 1, 1], 3.2.ab_b_c 
(0, -1, 1), [0, 3, 1], 3.2.ab_d_ae 
(-2, 1, 3), [2, 1, 3], 3.2.ab_d_ac 
(0, -1, 3), [0, 3, 3], 3.2.ab_f_ae 
(0, 0, -3), [0, 0, 1], 3.2.a_ab_a 
(1, -1, 0), [1, 3, 0], 3.2.a_b_ae 
(-1, 1, 0), [3, 1, 0], 3.2.a_b_e 
(0, 0, 1), [0, 0, 1], 3.2.a_d_a 
(2, -1, -1), [2, 3, 3], 3.2.b_ab_ag 
(2, -1, 1), [2, 3, 1], 3.2.b_b_ac 
(-2, 3, 5), [2, 3, 1], 3.2.b_b_c 
(0, 1, -1), [0, 1, 3], 3.2.b_b_e 
(2, -1, 3), [2, 3, 3], 3.2.b_d_c 
(0, 1, 1), [0, 1, 1], 3.2.b_d_e 
(0, 1, 3), [0, 1, 3], 3.2.b_f_e 
(2, 0, -3), [2, 0, 1], 3.2.c_ab_ag 
(2, 0, -1), [2, 0, 3], 3.2.c_b_ac 
(2, 0, 1), [2, 0, 1], 3.2.c_d_c 
(0, 2, 3), [0, 2, 3], 3.2.c_f_i 
(2, 1, -1), [2, 1, 3], 3.2.d_d_c 
(2, 1, 1), [2, 1, 1], 3.2.d_f_g 
(2, 1, 3), [2, 1, 3], 3.2.d_h_k 
(0, 3, 5), [0, 3, 1], 3.2.d_h_m 
(2, 2, 3), [2, 2, 3], 3.2.e_j_o 
(2, 3, 5), [2, 3, 1], 3.2.f_n_w 
