(-3, -4, 8), [1, 0, 0], 3.3.ah_x_abw 
(-3, -3, 5), [1, 1, 1], 3.3.ag_r_abh 
(-3, -3, 7), [1, 1, 3], 3.3.ag_t_abn 
(-3, -2, 1), [1, 2, 1], 3.3.af_k_ap 
(-3, -2, 2), [1, 2, 2], 3.3.af_l_as 
(-3, -2, 4), [1, 2, 0], 3.3.af_n_ay 
(-3, -2, 5), [1, 2, 1], 3.3.af_o_abb 
(-3, -1, -2), [1, 3, 2], 3.3.ae_e_a 
(-3, -1, -1), [1, 3, 3], 3.3.ae_f_ad 
(-3, -1, 1), [1, 3, 1], 3.3.ae_h_aj 
(-3, 0, -5), [1, 0, 3], 3.3.ad_ac_p 
(-3, 0, -4), [1, 0, 0], 3.3.ad_ab_m 
(-3, 0, -2), [1, 0, 2], 3.3.ad_b_g 
(-3, 0, -1), [1, 0, 3], 3.3.ad_c_d 
(-3, 0, 1), [1, 0, 1], 3.3.ad_e_ad 
(0, -3, 5), [0, 1, 1], 3.3.ad_i_as 
(-2, -1, 3), [2, 3, 3], 3.3.ad_i_am 
(0, -3, 7), [0, 1, 3], 3.3.ad_k_as 
(-3, 1, -2), [1, 1, 2], 3.3.ac_ac_m 
(-3, 1, -1), [1, 1, 3], 3.3.ac_ab_j 
(0, -2, 1), [0, 2, 1], 3.3.ac_e_am 
(-1, -1, 3), [3, 3, 3], 3.3.ac_h_aj 
(0, -2, 5), [0, 2, 1], 3.3.ac_i_am 
(-3, 2, 1), [1, 2, 1], 3.3.ab_ac_j 
(-3, 2, 2), [1, 2, 2], 3.3.ab_ab_g 
(-3, 2, 5), [1, 2, 1], 3.3.ab_c_ad 
(-2, 1, 3), [2, 1, 3], 3.3.ab_e_a 
(0, -1, 5), [0, 3, 1], 3.3.ab_i_ag 
(0, 0, -5), [0, 0, 3], 3.3.a_ac_a 
(3, -3, 5), [3, 1, 1], 3.3.a_ab_ad 
(-3, 3, 5), [1, 3, 1], 3.3.a_ab_d 
(1, -1, 3), [1, 3, 3], 3.3.a_f_ad 
(-1, 1, 3), [3, 1, 3], 3.3.a_f_d 
(0, 0, 4), [0, 0, 0], 3.3.a_h_a 
(3, -2, 1), [3, 2, 1], 3.3.b_ac_aj 
(3, -2, 2), [3, 2, 2], 3.3.b_ab_ag 
(3, -2, 5), [3, 2, 1], 3.3.b_c_d 
(2, -1, 3), [2, 3, 3], 3.3.b_e_a 
(0, 1, 5), [0, 1, 1], 3.3.b_i_g 
(3, -1, -2), [3, 3, 2], 3.3.c_ac_am 
(3, -1, -1), [3, 3, 3], 3.3.c_ab_aj 
(0, 2, 1), [0, 2, 1], 3.3.c_e_m 
(1, 1, 3), [1, 1, 3], 3.3.c_h_j 
(0, 2, 5), [0, 2, 1], 3.3.c_i_m 
(3, 0, -5), [3, 0, 3], 3.3.d_ac_ap 
(3, 0, -4), [3, 0, 0], 3.3.d_ab_am 
(3, 0, -2), [3, 0, 2], 3.3.d_b_ag 
(3, 0, -1), [3, 0, 3], 3.3.d_c_ad 
(3, 0, 1), [3, 0, 1], 3.3.d_e_d 
(2, 1, 3), [2, 1, 3], 3.3.d_i_m 
(0, 3, 5), [0, 3, 1], 3.3.d_i_s 
(0, 3, 7), [0, 3, 3], 3.3.d_k_s 
(3, 1, -2), [3, 1, 2], 3.3.e_e_a 
(3, 1, -1), [3, 1, 3], 3.3.e_f_d 
(3, 1, 1), [3, 1, 1], 3.3.e_h_j 
(3, 2, 1), [3, 2, 1], 3.3.f_k_p 
(3, 2, 2), [3, 2, 2], 3.3.f_l_s 
(3, 2, 4), [3, 2, 0], 3.3.f_n_y 
(3, 2, 5), [3, 2, 1], 3.3.f_o_bb 
(3, 3, 5), [3, 3, 1], 3.3.g_r_bh 
(3, 3, 7), [3, 3, 3], 3.3.g_t_bn 
(3, 4, 8), [3, 0, 0], 3.3.h_x_bw 
