(-4, -5, 13), [0, 3, 1], 3.4.aj_bl_ado 
(-4, -4, 9), [0, 0, 1], 3.4.ai_bd_acq 
(-4, -3, 5), [0, 1, 1], 3.4.ah_v_abs 
(-4, -3, 7), [0, 1, 3], 3.4.ah_x_aca 
(-4, -3, 9), [0, 1, 1], 3.4.ah_z_aci 
(-2, -5, 13), [2, 3, 1], 3.4.ah_bb_aco 
(-4, -2, 1), [0, 2, 1], 3.4.ag_n_au 
(-4, -2, 3), [0, 2, 3], 3.4.ag_p_abc 
(-4, -2, 7), [0, 2, 3], 3.4.ag_t_abs 
(-3, -3, 6), [1, 1, 2], 3.4.ag_t_abq 
(-2, -4, 9), [2, 0, 1], 3.4.ag_v_aby 
(-4, -1, -3), [0, 3, 1], 3.4.af_f_e 
(-4, -1, -1), [0, 3, 3], 3.4.af_h_ae 
(-4, -1, 1), [0, 3, 1], 3.4.af_j_am 
(-4, -1, 3), [0, 3, 3], 3.4.af_l_au 
(-4, -1, 5), [0, 3, 1], 3.4.af_n_abc 
(-4, -1, 7), [0, 3, 3], 3.4.af_p_abk 
(-2, -3, 5), [2, 1, 1], 3.4.af_p_abi 
(0, -5, 13), [0, 3, 1], 3.4.af_r_abo 
(-2, -3, 7), [2, 1, 3], 3.4.af_r_abm 
(-2, -3, 9), [2, 1, 1], 3.4.af_t_abq 
(-4, 0, -7), [0, 0, 1], 3.4.ae_ad_bc 
(-4, 0, -5), [0, 0, 3], 3.4.ae_ab_u 
(-4, 0, -3), [0, 0, 1], 3.4.ae_b_m 
(-4, 0, 1), [0, 0, 1], 3.4.ae_f_ae 
(-3, -1, -2), [1, 3, 2], 3.4.ae_f_ac 
(-4, 0, 3), [0, 0, 3], 3.4.ae_h_am 
(-3, -1, 0), [1, 3, 0], 3.4.ae_h_ai 
(-4, 0, 5), [0, 0, 1], 3.4.ae_j_au 
(-3, -1, 4), [1, 3, 0], 3.4.ae_l_au 
(0, -4, 9), [0, 0, 1], 3.4.ae_n_abg 
(-2, -2, 7), [2, 2, 3], 3.4.ae_p_abe 
(-4, 1, -3), [0, 1, 1], 3.4.ad_ad_u 
(-4, 1, -1), [0, 1, 3], 3.4.ad_ab_m 
(-4, 1, 1), [0, 1, 1], 3.4.ad_b_e 
(-4, 1, 3), [0, 1, 3], 3.4.ad_d_ae 
