(-4, -3, 5), [0, 1, 1], 3.5.ah_w_aby 
(-4, -2, 0), [0, 2, 0], 3.5.ag_n_au 
(-4, -2, 5), [0, 2, 1], 3.5.ag_s_abo 
(0, -6, 17), [0, 2, 1], 3.5.ag_w_aci 
(-4, -1, -5), [0, 3, 3], 3.5.af_e_k 
(-4, -1, 0), [0, 3, 0], 3.5.af_j_ak 
(-3, -2, 5), [1, 2, 1], 3.5.af_q_abj 
(0, -5, 13), [0, 3, 1], 3.5.af_s_aby 
(-3, -1, -5), [1, 3, 3], 3.5.ae_d_f 
(-3, -1, 5), [1, 3, 1], 3.5.ae_n_az 
(0, -4, 9), [0, 0, 1], 3.5.ae_o_abo 
(0, -4, 11), [0, 0, 3], 3.5.ae_q_abo 
(-4, 1, -5), [0, 1, 3], 3.5.ad_ae_be 
(0, -3, 7), [0, 1, 3], 3.5.ad_m_abe 
(-1, -2, 5), [3, 2, 1], 3.5.ad_m_az 
(-2, -1, 5), [2, 3, 1], 3.5.ad_m_au 
(0, -3, 8), [0, 1, 0], 3.5.ad_n_abe 
(0, -3, 9), [0, 1, 1], 3.5.ad_o_abe 
(0, -3, 11), [0, 1, 3], 3.5.ad_q_abe 
(-3, 1, -5), [1, 1, 3], 3.5.ac_ad_z 
(1, -3, 5), [1, 1, 1], 3.5.ac_h_az 
(-1, -1, 5), [3, 3, 1], 3.5.ac_l_ap 
(0, -2, 8), [0, 2, 0], 3.5.ac_n_au 
(0, -2, 9), [0, 2, 1], 3.5.ac_o_au 
(-4, 3, 5), [0, 3, 1], 3.5.ab_ac_k 
(-3, 2, 0), [1, 2, 0], 3.5.ab_ab_u 
(-3, 2, 5), [1, 2, 1], 3.5.ab_e_f 
(1, -2, 5), [1, 2, 1], 3.5.ab_i_ap 
(-2, 1, 5), [2, 1, 1], 3.5.ab_i_a 
(0, -1, 7), [0, 3, 3], 3.5.ab_m_ak 
(0, -1, 9), [0, 3, 1], 3.5.ab_o_ak 
(0, 0, -9), [0, 0, 3], 3.5.a_ae_a 
(0, 0, -1), [0, 0, 3], 3.5.a_e_a 
(0, 0, 3), [0, 0, 3], 3.5.a_i_a 
(1, -1, 5), [1, 3, 1], 3.5.a_j_af 
(-1, 1, 5), [3, 1, 1], 3.5.a_j_f 
(0, 0, 7), [0, 0, 3], 3.5.a_m_a 
(0, 0, 8), [0, 0, 0], 3.5.a_n_a 
(4, -3, 5), [0, 1, 1], 3.5.b_ac_ak 
(3, -2, 0), [3, 2, 0], 3.5.b_ab_au 
(3, -2, 5), [3, 2, 1], 3.5.b_e_af 
(2, -1, 5), [2, 3, 1], 3.5.b_i_a 
(-1, 2, 5), [3, 2, 1], 3.5.b_i_p 
(0, 1, 7), [0, 1, 3], 3.5.b_m_k 
(0, 1, 9), [0, 1, 1], 3.5.b_o_k 
(3, -1, -5), [3, 3, 3], 3.5.c_ad_az 
(-1, 3, 5), [3, 3, 1], 3.5.c_h_z 
(1, 1, 5), [1, 1, 1], 3.5.c_l_p 
(0, 2, 8), [0, 2, 0], 3.5.c_n_u 
(0, 2, 9), [0, 2, 1], 3.5.c_o_u 
(4, -1, -5), [0, 3, 3], 3.5.d_ae_abe 
(2, 1, 5), [2, 1, 1], 3.5.d_m_u 
(1, 2, 5), [1, 2, 1], 3.5.d_m_z 
(0, 3, 7), [0, 3, 3], 3.5.d_m_be 
(0, 3, 8), [0, 3, 0], 3.5.d_n_be 
(0, 3, 9), [0, 3, 1], 3.5.d_o_be 
(0, 3, 11), [0, 3, 3], 3.5.d_q_be 
(3, 1, -5), [3, 1, 3], 3.5.e_d_af 
(3, 1, 5), [3, 1, 1], 3.5.e_n_z 
(0, 4, 9), [0, 0, 1], 3.5.e_o_bo 
(0, 4, 11), [0, 0, 3], 3.5.e_q_bo 
(4, 1, -5), [0, 1, 3], 3.5.f_e_ak 
(4, 1, 0), [0, 1, 0], 3.5.f_j_k 
(3, 2, 5), [3, 2, 1], 3.5.f_q_bj 
(0, 5, 13), [0, 1, 1], 3.5.f_s_by 
(4, 2, 0), [0, 2, 0], 3.5.g_n_u 
(4, 2, 5), [0, 2, 1], 3.5.g_s_bo 
(0, 6, 17), [0, 2, 1], 3.5.g_w_ci 
(4, 3, 5), [0, 3, 1], 3.5.h_w_by 
