(-5, -6, 21), [2, 1, 0], 3.7.al_cg_ahh 
(-4, -6, 21), [3, 1, 0], 3.7.ak_ca_agm 
(-3, -6, 21), [4, 1, 0], 3.7.aj_bu_afr 
(-5, -3, 7), [2, 4, 0], 3.7.ai_bd_acz 
(-2, -6, 21), [5, 1, 0], 3.7.ai_bo_aew 
(-5, -2, 0), [2, 5, 0], 3.7.ah_r_abc 
(-5, -2, 7), [2, 5, 0], 3.7.ah_y_acl 
(-4, -3, 7), [3, 4, 0], 3.7.ah_ba_acs 
(-1, -6, 21), [6, 1, 0], 3.7.ah_bi_aeb 
(-5, -1, -7), [2, 6, 0], 3.7.ag_f_v 
(-4, -2, 7), [3, 5, 0], 3.7.ag_w_ace 
(-4, -1, 0), [3, 6, 0], 3.7.af_l_ao 
(0, -5, 13), [0, 2, 6], 3.7.af_u_acs 
(-3, -2, 7), [4, 5, 0], 3.7.af_u_abx 
(0, -5, 15), [0, 2, 1], 3.7.af_w_acs 
(1, -6, 21), [1, 1, 0], 3.7.af_w_acl 
(0, -5, 16), [0, 2, 2], 3.7.af_x_acs 
(0, -5, 17), [0, 2, 3], 3.7.af_y_acs 
(-5, 1, -7), [2, 1, 0], 3.7.ae_af_bx 
(-3, -1, 7), [4, 6, 0], 3.7.ae_r_abj 
(0, -4, 13), [0, 3, 6], 3.7.ae_u_ace 
(0, -4, 15), [0, 3, 1], 3.7.ae_w_ace 
(0, -4, 16), [0, 3, 2], 3.7.ae_x_ace 
(-4, 1, -7), [3, 1, 0], 3.7.ad_ae_bq 
(-5, 2, 7), [2, 2, 0], 3.7.ad_e_ah 
(3, -6, 21), [3, 1, 0], 3.7.ad_k_av 
(-1, -2, 7), [6, 5, 0], 3.7.ad_q_abj 
(0, -3, 11), [0, 4, 4], 3.7.ad_s_abq 
(0, -3, 12), [0, 4, 5], 3.7.ad_t_abq 
(0, -3, 13), [0, 4, 6], 3.7.ad_u_abq 
(0, -3, 15), [0, 4, 1], 3.7.ad_w_abq 
(-3, 1, -7), [4, 1, 0], 3.7.ac_ad_bj 
(1, -3, 7), [1, 4, 0], 3.7.ac_l_abj 
(0, -2, 12), [0, 5, 5], 3.7.ac_t_abc 
(0, -2, 13), [0, 5, 6], 3.7.ac_u_abc 
(5, -6, 21), [5, 1, 0], 3.7.ab_ac_v 
