(-4, -9, 35), [0, 3, 3], 3.8.an_db_aky 
(-5, -7, 24), [3, 1, 0], 3.8.am_cp_aiy 
(-4, -7, 25), [0, 1, 1], 3.8.al_cj_aie 
(-4, -7, 27), [0, 1, 3], 3.8.al_cl_aim 
(-4, -6, 19), [0, 2, 3], 3.8.ak_bz_agq 
(-3, -7, 24), [1, 1, 0], 3.8.ak_cb_ahc 
(-4, -6, 23), [0, 2, 3], 3.8.ak_cd_ahg 
(-4, -5, 13), [0, 3, 1], 3.8.aj_bp_afc 
(0, -9, 35), [0, 3, 3], 3.8.aj_br_afo 
(-4, -5, 15), [0, 3, 3], 3.8.aj_br_afk 
(-4, -5, 17), [0, 3, 1], 3.8.aj_bt_afs 
(-4, -5, 19), [0, 3, 3], 3.8.aj_bv_aga 
(-4, -5, 21), [0, 3, 1], 3.8.aj_bx_agi 
(-5, -3, 4), [3, 1, 0], 3.8.ai_bb_acq 
(-4, -4, 7), [0, 0, 3], 3.8.ai_bf_ado 
(-5, -3, 8), [3, 1, 0], 3.8.ai_bf_adk 
(-4, -4, 13), [0, 0, 1], 3.8.ai_bl_aem 
(-1, -7, 24), [3, 1, 0], 3.8.ai_bn_afg 
(-4, -4, 15), [0, 0, 3], 3.8.ai_bn_aeu 
(-4, -4, 17), [0, 0, 1], 3.8.ai_bp_afc 
(-4, -3, 1), [0, 1, 1], 3.8.ah_v_aca 
(-4, -3, 3), [0, 1, 3], 3.8.ah_x_aci 
(-4, -3, 5), [0, 1, 1], 3.8.ah_z_acq 
(-4, -3, 7), [0, 1, 3], 3.8.ah_bb_acy 
(-4, -3, 9), [0, 1, 1], 3.8.ah_bd_adg 
(-4, -3, 11), [0, 1, 3], 3.8.ah_bf_ado 
(0, -7, 25), [0, 1, 1], 3.8.ah_bh_aei 
(-4, -3, 13), [0, 1, 1], 3.8.ah_bh_adw 
(0, -7, 27), [0, 1, 3], 3.8.ah_bj_aei 
(-4, -3, 15), [0, 1, 3], 3.8.ah_bj_aee 
(-4, -3, 17), [0, 1, 1], 3.8.ah_bl_aem 
(-5, -1, -8), [3, 3, 0], 3.8.ag_f_y 
(-5, -1, 0), [3, 3, 0], 3.8.ag_n_aq 
(-4, -2, 3), [0, 2, 3], 3.8.ag_t_abs 
(-4, -2, 5), [0, 2, 1], 3.8.ag_v_aca 
(-4, -2, 7), [0, 2, 3], 3.8.ag_x_aci 
(-4, -2, 9), [0, 2, 1], 3.8.ag_z_acq 
(0, -6, 19), [0, 2, 3], 3.8.ag_bb_ads 
(-4, -2, 11), [0, 2, 3], 3.8.ag_bb_acy 
(-4, -1, -9), [0, 3, 3], 3.8.af_d_u 
(-4, -1, -7), [0, 3, 1], 3.8.af_f_m 
(4, -9, 35), [0, 3, 3], 3.8.af_h_ae 
(-4, -1, -5), [0, 3, 3], 3.8.af_h_e 
(-4, -1, -3), [0, 3, 1], 3.8.af_j_ae 
(-4, -1, -1), [0, 3, 3], 3.8.af_l_am 
(-4, -1, 1), [0, 3, 1], 3.8.af_n_au 
(-4, -1, 3), [0, 3, 3], 3.8.af_p_abc 
