(-6, -9, 37), [3, 0, 1], 3.9.ap_dw_aou 
(-6, -8, 31), [3, 1, 4], 3.9.ao_dk_ams 
(-6, -8, 32), [3, 1, 5], 3.9.ao_dl_amy 
(-6, -7, 25), [3, 2, 7], 3.9.an_cy_akq 
(-6, -7, 26), [3, 2, 8], 3.9.an_cz_akw 
(-6, -7, 29), [3, 2, 2], 3.9.an_dc_alo 
(-6, -6, 19), [3, 3, 1], 3.9.am_cm_aio 
(-6, -6, 20), [3, 3, 2], 3.9.am_cn_aiu 
(-6, -6, 22), [3, 3, 4], 3.9.am_cp_ajg 
(-6, -6, 25), [3, 3, 7], 3.9.am_cs_ajy 
(-5, -7, 27), [4, 2, 0], 3.9.am_ct_akb 
(-3, -9, 37), [6, 0, 1], 3.9.am_cv_akn 
(-6, -5, 13), [3, 4, 4], 3.9.al_ca_agm 
(-6, -5, 14), [3, 4, 5], 3.9.al_cb_ags 
(-6, -5, 16), [3, 4, 7], 3.9.al_cd_ahe 
(-6, -5, 17), [3, 4, 8], 3.9.al_ce_ahk 
(-6, -5, 19), [3, 4, 1], 3.9.al_cg_ahw 
(-6, -5, 20), [3, 4, 2], 3.9.al_ch_aic 
(-6, -5, 23), [3, 4, 5], 3.9.al_ck_aiu 
(-3, -8, 31), [6, 1, 4], 3.9.al_cm_ajd 
(-4, -7, 27), [5, 2, 0], 3.9.al_cm_aja 
(-3, -8, 32), [6, 1, 5], 3.9.al_cn_ajg 
(-6, -4, 7), [3, 5, 7], 3.9.ak_bo_aek 
(-6, -4, 8), [3, 5, 8], 3.9.ak_bp_aeq 
(-6, -4, 11), [3, 5, 2], 3.9.ak_bs_afi 
(-6, -4, 16), [3, 5, 7], 3.9.ak_bx_agm 
(-5, -5, 15), [4, 4, 6], 3.9.ak_bx_agj 
(-6, -4, 17), [3, 5, 8], 3.9.ak_by_ags 
(-6, -4, 19), [3, 5, 1], 3.9.ak_ca_ahe 
(-6, -4, 20), [3, 5, 2], 3.9.ak_cb_ahk 
(-3, -7, 25), [6, 2, 7], 3.9.ak_cd_aht 
(-5, -5, 21), [4, 4, 3], 3.9.ak_cd_ahn 
(-3, -7, 26), [6, 2, 8], 3.9.ak_ce_ahw 
(-3, -7, 29), [6, 2, 2], 3.9.ak_ch_aif 
(-6, -3, 1), [3, 6, 1], 3.9.aj_bc_aci 
(-6, -3, 2), [3, 6, 2], 3.9.aj_bd_aco 
(-6, -3, 4), [3, 6, 4], 3.9.aj_bf_ada 
(-6, -3, 5), [3, 6, 5], 3.9.aj_bg_adg 
(-6, -3, 7), [3, 6, 7], 3.9.aj_bi_ads 
(-6, -3, 10), [3, 6, 1], 3.9.aj_bl_aek 
(-6, -3, 11), [3, 6, 2], 3.9.aj_bm_aeq 
(-5, -4, 9), [4, 5, 0], 3.9.aj_bm_aen 
(-6, -3, 13), [3, 6, 4], 3.9.aj_bo_afc 
(-6, -3, 17), [3, 6, 8], 3.9.aj_bs_aga 
(-4, -5, 15), [5, 4, 6], 3.9.aj_bs_afu 
