(-4, -8, 33), [0, 0, 1], 3.11.am_cy_alw 
(0, -10, 45), [0, 2, 1], 3.11.ak_ce_aim 
(-6, -3, 11), [2, 1, 3], 3.11.aj_bo_afc 
(0, -9, 38), [0, 3, 2], 3.11.aj_bx_ahq 
(0, -9, 39), [0, 3, 3], 3.11.aj_by_ahq 
(0, -9, 41), [0, 3, 1], 3.11.aj_ca_ahq 
(-6, -2, 0), [2, 2, 0], 3.11.ai_x_abs 
(-5, -3, 0), [3, 1, 0], 3.11.ai_ba_aco 
(-6, -2, 11), [2, 2, 3], 3.11.ai_bi_aeg 
(-4, -4, 11), [0, 0, 3], 3.11.ai_bm_afc 
(0, -8, 32), [0, 0, 0], 3.11.ai_br_agu 
(0, -8, 35), [0, 0, 3], 3.11.ai_bu_agu 
(0, -8, 36), [0, 0, 0], 3.11.ai_bv_agu 
(-1, -7, 33), [3, 1, 1], 3.11.ai_bz_ahf 
(-6, -1, 0), [2, 3, 0], 3.11.ah_r_aw 
(-5, -2, 0), [3, 2, 0], 3.11.ah_v_abs 
(-4, -3, 0), [0, 1, 0], 3.11.ah_x_aco 
(-6, -1, 11), [2, 3, 3], 3.11.ah_bc_adk 
(-4, -3, 11), [0, 1, 3], 3.11.ah_bi_aeg 
(0, -7, 26), [0, 1, 2], 3.11.ah_bl_afy 
(0, -7, 27), [0, 1, 3], 3.11.ah_bm_afy 
(0, -7, 29), [0, 1, 1], 3.11.ah_bo_afy 
(0, -7, 30), [0, 1, 2], 3.11.ah_bp_afy 
(0, -7, 31), [0, 1, 3], 3.11.ah_bq_afy 
(-5, -1, -11), [3, 3, 1], 3.11.ag_f_bh 
(-5, -1, 0), [3, 3, 0], 3.11.ag_q_aw 
(-4, -2, 0), [0, 2, 0], 3.11.ag_t_abs 
(-3, -3, 0), [1, 1, 0], 3.11.ag_u_aco 
(-5, -1, 11), [3, 3, 3], 3.11.ag_bb_acz 
(2, -8, 33), [2, 0, 1], 3.11.ag_bc_aeg 
(0, -6, 18), [0, 2, 2], 3.11.ag_bd_afc 
(0, -6, 19), [0, 2, 3], 3.11.ag_be_afc 
(-2, -4, 11), [2, 0, 3], 3.11.ag_be_aeg 
(-4, -2, 11), [0, 2, 3], 3.11.ag_be_adk 
(0, -6, 20), [0, 2, 0], 3.11.ag_bf_afc 
(-3, -3, 11), [1, 1, 3], 3.11.ag_bf_adv 
(0, -6, 24), [0, 2, 0], 3.11.ag_bj_afc 
(0, -6, 25), [0, 2, 1], 3.11.ag_bk_afc 
(0, -6, 26), [0, 2, 2], 3.11.ag_bl_afc 
(1, -7, 33), [1, 1, 1], 3.11.ag_bl_aer 
(0, -6, 28), [0, 2, 0], 3.11.ag_bn_afc 
(0, -6, 29), [0, 2, 1], 3.11.ag_bo_afc 
(-4, -1, -11), [0, 3, 1], 3.11.af_e_w 
(-6, 1, 0), [2, 1, 0], 3.11.af_f_w 
(-4, -1, 0), [0, 3, 0], 3.11.af_p_aw 
(-6, 1, 11), [2, 1, 3], 3.11.af_q_abs 
(-2, -3, 0), [2, 1, 0], 3.11.af_r_aco 
(-3, -2, 0), [1, 2, 0], 3.11.af_r_abs 
(0, -5, 12), [0, 3, 0], 3.11.af_x_aeg 
(0, -5, 13), [0, 3, 1], 3.11.af_y_aeg 
(0, -5, 14), [0, 3, 2], 3.11.af_z_aeg 
(0, -5, 15), [0, 3, 3], 3.11.af_ba_aeg 
(0, -5, 17), [0, 3, 1], 3.11.af_bc_aeg 
(-2, -3, 11), [2, 1, 3], 3.11.af_bc_adk 
(0, -5, 18), [0, 3, 2], 3.11.af_bd_aeg 
(2, -7, 33), [2, 1, 1], 3.11.af_be_adk 
(0, -5, 27), [0, 3, 3], 3.11.af_bm_aeg 
(-6, 2, 0), [2, 2, 0], 3.11.ae_ab_bs 
(-3, -1, -11), [1, 3, 1], 3.11.ae_d_l 
(-5, 1, 0), [3, 1, 0], 3.11.ae_g_w 
(-6, 2, 11), [2, 2, 3], 3.11.ae_k_aw 
(4, -8, 33), [0, 0, 1], 3.11.ae_m_abs 
(-1, -3, 0), [3, 1, 0], 3.11.ae_o_aco 
(-3, -1, 0), [1, 3, 0], 3.11.ae_o_aw 
(-2, -2, 0), [2, 2, 0], 3.11.ae_p_abs 
(0, -4, 5), [0, 0, 1], 3.11.ae_q_adk 
(0, -4, 6), [0, 0, 2], 3.11.ae_r_adk 
(-5, 1, 11), [3, 1, 3], 3.11.ae_r_abh 
(0, -4, 7), [0, 0, 3], 3.11.ae_s_adk 
(0, -4, 8), [0, 0, 0], 3.11.ae_t_adk 
(0, -4, 9), [0, 0, 1], 3.11.ae_u_adk 
(0, -4, 12), [0, 0, 0], 3.11.ae_x_adk 
(3, -7, 33), [3, 1, 1], 3.11.ae_x_acd 
(0, -4, 13), [0, 0, 1], 3.11.ae_y_adk 
(0, -4, 14), [0, 0, 2], 3.11.ae_z_adk 
(-1, -3, 11), [3, 1, 3], 3.11.ae_z_acz 
