(-6, -5, 13), [7, 8, 0], 3.13.al_ce_aia 
(-7, -3, 0), [6, 10, 0], 3.13.ak_bi_ada 
(-7, -3, 13), [6, 10, 0], 3.13.ak_bv_agn 
(-5, -5, 13), [8, 8, 0], 3.13.ak_bz_ahn 
(0, -10, 48), [0, 3, 9], 3.13.ak_cj_aka 
(0, -10, 49), [0, 3, 10], 3.13.ak_ck_aka 
(-7, -2, 0), [6, 11, 0], 3.13.aj_bb_aca 
(-6, -3, 0), [7, 10, 0], 3.13.aj_bf_ada 
(-6, -3, 13), [7, 10, 0], 3.13.aj_bs_aga 
(-4, -5, 13), [9, 8, 0], 3.13.aj_bu_aha 
(0, -9, 41), [0, 4, 2], 3.13.aj_cc_aja 
(0, -9, 42), [0, 4, 3], 3.13.aj_cd_aja 
(0, -9, 43), [0, 4, 4], 3.13.aj_ce_aja 
(0, -9, 45), [0, 4, 6], 3.13.aj_cg_aja 
(-7, -1, 0), [6, 12, 0], 3.13.ai_u_aba 
(-6, -2, 0), [7, 11, 0], 3.13.ai_z_aca 
(-5, -3, 0), [8, 10, 0], 3.13.ai_bc_ada 
(-7, -1, 13), [6, 12, 0], 3.13.ai_bh_aen 
(-6, -2, 13), [7, 11, 0], 3.13.ai_bm_afa 
(-3, -5, 13), [10, 8, 0], 3.13.ai_bp_agn 
(-4, -4, 13), [9, 9, 0], 3.13.ai_bq_aga 
(0, -8, 32), [0, 5, 6], 3.13.ai_bt_aia 
(0, -8, 34), [0, 5, 8], 3.13.ai_bv_aia 
(0, -8, 35), [0, 5, 9], 3.13.ai_bw_aia 
(0, -8, 36), [0, 5, 10], 3.13.ai_bx_aia 
(0, -8, 37), [0, 5, 11], 3.13.ai_by_aia 
(0, -8, 40), [0, 5, 1], 3.13.ai_cb_aia 
(-6, -1, -13), [7, 12, 0], 3.13.ah_g_ca 
(-5, -2, 0), [8, 11, 0], 3.13.ah_x_aca 
(-4, -3, 0), [9, 10, 0], 3.13.ah_z_ada 
(-6, -1, 13), [7, 12, 0], 3.13.ah_bg_aea 
(2, -9, 39), [2, 4, 0], 3.13.ah_bi_aga 
(-2, -5, 13), [11, 8, 0], 3.13.ah_bk_aga 
(-4, -3, 13), [9, 10, 0], 3.13.ah_bm_afa 
(0, -7, 30), [0, 6, 4], 3.13.ah_br_aha 
(0, -7, 31), [0, 6, 5], 3.13.ah_bs_aha 
(0, -7, 33), [0, 6, 7], 3.13.ah_bu_aha 
(0, -7, 34), [0, 6, 8], 3.13.ah_bv_aha 
(0, -7, 35), [0, 6, 9], 3.13.ah_bw_aha 
(0, -7, 37), [0, 6, 11], 3.13.ah_by_aha 
(-5, -1, -13), [8, 12, 0], 3.13.ag_f_bn 
(-7, 1, 0), [6, 1, 0], 3.13.ag_g_ba 
(-5, -1, 0), [8, 12, 0], 3.13.ag_s_aba 
(-7, 1, 13), [6, 1, 0], 3.13.ag_t_acn 
(-4, -2, 0), [9, 11, 0], 3.13.ag_v_aca 
(-3, -3, 0), [10, 10, 0], 3.13.ag_w_ada 
(3, -9, 39), [3, 4, 0], 3.13.ag_z_aen 
(0, -6, 18), [0, 7, 5], 3.13.ag_bf_aga 
(-1, -5, 13), [12, 8, 0], 3.13.ag_bf_afn 
(-5, -1, 13), [8, 12, 0], 3.13.ag_bf_adn 
(0, -6, 20), [0, 7, 7], 3.13.ag_bh_aga 
(0, -6, 21), [0, 7, 8], 3.13.ag_bi_aga 
(-2, -4, 13), [11, 9, 0], 3.13.ag_bi_afa 
(-4, -2, 13), [9, 11, 0], 3.13.ag_bi_aea 
(0, -6, 22), [0, 7, 9], 3.13.ag_bj_aga 
(-3, -3, 13), [10, 10, 0], 3.13.ag_bj_aen 
(0, -6, 23), [0, 7, 10], 3.13.ag_bk_aga 
(2, -8, 39), [2, 5, 0], 3.13.ag_bk_afa 
(0, -6, 24), [0, 7, 11], 3.13.ag_bl_aga 
(0, -6, 28), [0, 7, 2], 3.13.ag_bp_aga 
(0, -6, 29), [0, 7, 3], 3.13.ag_bq_aga 
(0, -6, 30), [0, 7, 4], 3.13.ag_br_aga 
(0, -6, 32), [0, 7, 6], 3.13.ag_bt_aga 
(0, -6, 33), [0, 7, 7], 3.13.ag_bu_aga 
(-7, 2, 0), [6, 2, 0], 3.13.af_ab_ca 
(-4, -1, -13), [9, 12, 0], 3.13.af_e_ba 
(-6, 1, 0), [7, 1, 0], 3.13.af_h_ba 
(4, -9, 39), [4, 4, 0], 3.13.af_q_ada 
(-4, -1, 0), [9, 12, 0], 3.13.af_r_aba 
(-2, -3, 0), [11, 10, 0], 3.13.af_t_ada 
(-3, -2, 0), [10, 11, 0], 3.13.af_t_aca 
(-6, 1, 13), [7, 1, 0], 3.13.af_u_aca 
(0, -5, 11), [0, 8, 11], 3.13.af_y_afa 
(0, -5, 14), [0, 8, 1], 3.13.af_bb_afa 
(0, -5, 15), [0, 8, 2], 3.13.af_bc_afa 
(0, -5, 16), [0, 8, 3], 3.13.af_bd_afa 
(0, -5, 17), [0, 8, 4], 3.13.af_be_afa 
(0, -5, 18), [0, 8, 5], 3.13.af_bf_afa 
(0, -5, 19), [0, 8, 6], 3.13.af_bg_afa 
(-2, -3, 13), [11, 10, 0], 3.13.af_bg_aea 
(0, -5, 21), [0, 8, 8], 3.13.af_bi_afa 
(0, -5, 22), [0, 8, 9], 3.13.af_bj_afa 
(0, -5, 31), [0, 8, 5], 3.13.af_bs_afa 
(-7, 3, 0), [6, 3, 0], 3.13.ae_ai_da 
(-6, 2, 0), [7, 2, 0], 3.13.ae_b_ca 
(-3, -1, -13), [10, 12, 0], 3.13.ae_d_n 
(-7, 3, 13), [6, 3, 0], 3.13.ae_f_an 
(5, -9, 39), [5, 4, 0], 3.13.ae_h_abn 
(-5, 1, 0), [8, 1, 0], 3.13.ae_i_ba 
(-6, 2, 13), [7, 2, 0], 3.13.ae_o_aba 
(-1, -3, 0), [12, 10, 0], 3.13.ae_q_ada 
(-3, -1, 0), [10, 12, 0], 3.13.ae_q_aba 
(0, -4, 4), [0, 9, 4], 3.13.ae_r_aea 
(-2, -2, 0), [11, 11, 0], 3.13.ae_r_aca 
(0, -4, 6), [0, 9, 6], 3.13.ae_t_aea 
(0, -4, 7), [0, 9, 7], 3.13.ae_u_aea 
(4, -8, 39), [4, 5, 0], 3.13.ae_u_aca 
(1, -5, 13), [1, 8, 0], 3.13.ae_v_aen 
(0, -4, 8), [0, 9, 8], 3.13.ae_v_aea 
(-5, 1, 13), [8, 1, 0], 3.13.ae_v_abn 
(0, -4, 9), [0, 9, 9], 3.13.ae_w_aea 
(0, -4, 10), [0, 9, 10], 3.13.ae_x_aea 
(0, -4, 11), [0, 9, 11], 3.13.ae_y_aea 
(0, -4, 12), [0, 9, 12], 3.13.ae_z_aea 
(0, -4, 15), [0, 9, 2], 3.13.ae_bc_aea 
(0, -4, 16), [0, 9, 3], 3.13.ae_bd_aea 
(-1, -3, 13), [12, 10, 0], 3.13.ae_bd_adn 
(-3, -1, 13), [10, 12, 0], 3.13.ae_bd_acn 
(0, -4, 17), [0, 9, 4], 3.13.ae_be_aea 
(-2, -2, 13), [11, 11, 0], 3.13.ae_be_ada 
(0, -4, 18), [0, 9, 5], 3.13.ae_bf_aea 
(0, -4, 19), [0, 9, 6], 3.13.ae_bg_aea 
(0, -4, 20), [0, 9, 7], 3.13.ae_bh_aea 
(0, -4, 22), [0, 9, 9], 3.13.ae_bj_aea 
(0, -4, 23), [0, 9, 10], 3.13.ae_bk_aea 
(0, -4, 28), [0, 9, 2], 3.13.ae_bp_aea 
(-6, 3, 0), [7, 3, 0], 3.13.ad_af_da 
