(-6, -10, 51), [2, 2, 3], 3.17.aq_ey_ayw 
(-4, -12, 68), [0, 0, 0], 3.17.aq_fd_abae 
(-2, -12, 68), [2, 0, 0], 3.17.ao_ef_auy 
(-8, -5, 17), [0, 3, 1], 3.17.an_cw_alu 
(0, -13, 75), [0, 3, 3], 3.17.an_do_ara 
(-1, -12, 68), [3, 0, 0], 3.17.an_dt_asi 
(-8, -4, 0), [0, 0, 0], 3.17.am_bx_afg 
(-8, -4, 17), [0, 0, 1], 3.17.am_co_akm 
(-6, -6, 17), [2, 2, 1], 3.17.am_cs_alu 
(0, -12, 65), [0, 0, 1], 3.17.am_de_aps 
(0, -12, 67), [0, 0, 3], 3.17.am_dg_aps 
(-8, -3, 0), [0, 1, 0], 3.17.al_bp_ady 
(-7, -4, 0), [1, 0, 0], 3.17.al_bt_afg 
(-8, -3, 17), [0, 1, 1], 3.17.al_cg_aje 
(-6, -5, 17), [2, 3, 1], 3.17.al_cm_akm 
(1, -12, 68), [1, 0, 0], 3.17.al_cv_anc 
(0, -11, 57), [0, 1, 1], 3.17.al_cw_aok 
(0, -11, 59), [0, 1, 3], 3.17.al_cy_aok 
(0, -11, 60), [0, 1, 0], 3.17.al_cz_aok 
(0, -11, 61), [0, 1, 1], 3.17.al_da_aok 
(0, -11, 63), [0, 1, 3], 3.17.al_dc_aok 
(-8, -2, 0), [0, 2, 0], 3.17.ak_bh_acq 
(-6, -4, 0), [2, 0, 0], 3.17.ak_bp_afg 
(-8, -2, 17), [0, 2, 1], 3.17.ak_by_ahw 
(-7, -3, 17), [1, 1, 1], 3.17.ak_cd_ain 
(-4, -6, 17), [0, 2, 1], 3.17.ak_cg_akm 
(-6, -4, 17), [2, 0, 1], 3.17.ak_cg_aje 
(-5, -5, 17), [3, 3, 1], 3.17.ak_ch_ajv 
(2, -12, 68), [2, 0, 0], 3.17.ak_cj_akm 
(0, -10, 49), [0, 2, 1], 3.17.ak_co_anc 
(0, -10, 52), [0, 2, 0], 3.17.ak_cr_anc 
(0, -10, 53), [0, 2, 1], 3.17.ak_cs_anc 
(0, -10, 54), [0, 2, 2], 3.17.ak_ct_anc 
(0, -10, 56), [0, 2, 0], 3.17.ak_cv_anc 
(0, -10, 57), [0, 2, 1], 3.17.ak_cw_anc 
(-8, -1, -17), [0, 3, 3], 3.17.aj_i_dy 
(-8, -1, 0), [0, 3, 0], 3.17.aj_z_abi 
(-6, -3, 0), [2, 1, 0], 3.17.aj_bj_ady 
(-5, -4, 0), [3, 0, 0], 3.17.aj_bl_afg 
(-8, -1, 17), [0, 3, 1], 3.17.aj_bq_ago 
(3, -12, 68), [3, 0, 0], 3.17.aj_bx_ahw 
(-4, -5, 17), [0, 3, 1], 3.17.aj_cc_aje 
(0, -9, 41), [0, 3, 1], 3.17.aj_cg_alu 
(0, -9, 43), [0, 3, 3], 3.17.aj_ci_alu 
(0, -9, 44), [0, 3, 0], 3.17.aj_cj_alu 
(0, -9, 45), [0, 3, 1], 3.17.aj_ck_alu 
(0, -9, 46), [0, 3, 2], 3.17.aj_cl_alu 
(0, -9, 47), [0, 3, 3], 3.17.aj_cm_alu 
(0, -9, 49), [0, 3, 1], 3.17.aj_co_alu 
(0, -9, 50), [0, 3, 2], 3.17.aj_cp_alu 
(0, -9, 53), [0, 3, 1], 3.17.aj_cs_alu 
(-7, -1, -17), [1, 3, 3], 3.17.ai_h_dh 
(-6, -2, -17), [2, 2, 3], 3.17.ai_m_bi 
(-7, -1, 0), [1, 3, 0], 3.17.ai_y_abi 
(-6, -2, 0), [2, 2, 0], 3.17.ai_bd_acq 
(-5, -3, 0), [3, 1, 0], 3.17.ai_bg_ady 
(-4, -4, 0), [0, 0, 0], 3.17.ai_bh_afg 
(4, -12, 68), [0, 0, 0], 3.17.ai_bl_afg 
(-7, -1, 17), [1, 3, 1], 3.17.ai_bp_afx 
(-2, -6, 17), [2, 2, 1], 3.17.ai_bu_aje 
(-6, -2, 17), [2, 2, 1], 3.17.ai_bu_ago 
(2, -10, 51), [2, 2, 3], 3.17.ai_bw_aje 
(0, -8, 32), [0, 0, 0], 3.17.ai_bx_akm 
(-3, -5, 17), [1, 3, 1], 3.17.ai_bx_ain 
(-5, -3, 17), [3, 1, 1], 3.17.ai_bx_ahf 
(-4, -4, 17), [0, 0, 1], 3.17.ai_by_ahw 
(0, -8, 36), [0, 0, 0], 3.17.ai_cb_akm 
(0, -8, 37), [0, 0, 1], 3.17.ai_cc_akm 
(0, -8, 38), [0, 0, 2], 3.17.ai_cd_akm 
(0, -8, 39), [0, 0, 3], 3.17.ai_ce_akm 
(0, -8, 40), [0, 0, 0], 3.17.ai_cf_akm 
(0, -8, 42), [0, 0, 2], 3.17.ai_ch_akm 
(1, -9, 51), [1, 3, 3], 3.17.ai_ch_ajv 
(0, -8, 43), [0, 0, 3], 3.17.ai_ci_akm 
(0, -8, 44), [0, 0, 0], 3.17.ai_cj_akm 
(0, -8, 45), [0, 0, 1], 3.17.ai_ck_akm 
(0, -8, 47), [0, 0, 3], 3.17.ai_cm_akm 
(0, -8, 48), [0, 0, 0], 3.17.ai_cn_akm 
