(-5, -13, 76), [3, 3, 0], 3.19.as_ge_abhq 
(-6, -10, 57), [2, 2, 1], 3.19.aq_fg_abbu 
(-7, -9, 57), [1, 3, 1], 3.19.aq_fj_abcn 
(0, -15, 93), [0, 1, 1], 3.19.ap_ei_avy 
(-2, -13, 76), [2, 3, 0], 3.19.ap_er_ayw 
(-8, -6, 19), [0, 2, 3], 3.19.ao_di_aoq 
(0, -14, 85), [0, 2, 1], 3.19.ao_ea_aum 
(-1, -13, 76), [3, 3, 0], 3.19.ao_ee_avy 
(-4, -10, 57), [0, 2, 1], 3.19.ao_em_axk 
(0, -13, 77), [0, 3, 1], 3.19.an_ds_ata 
(0, -13, 79), [0, 3, 3], 3.19.an_du_ata 
(-8, -4, 0), [0, 0, 0], 3.19.am_bz_afw 
(-8, -4, 19), [0, 0, 3], 3.19.am_cs_als 
(-7, -5, 19), [1, 3, 3], 3.19.am_cv_aml 
(-6, -6, 19), [2, 2, 3], 3.19.am_cw_ane 
(1, -13, 76), [1, 3, 0], 3.19.am_de_aqc 
(0, -12, 67), [0, 0, 3], 3.19.am_di_aro 
(0, -12, 68), [0, 0, 0], 3.19.am_dj_aro 
(0, -12, 69), [0, 0, 1], 3.19.am_dk_aro 
(0, -12, 71), [0, 0, 3], 3.19.am_dm_aro 
(0, -12, 72), [0, 0, 0], 3.19.am_dn_aro 
(-7, -4, 0), [1, 0, 0], 3.19.al_bv_afw 
(-8, -3, 19), [0, 1, 3], 3.19.al_ck_akg 
(-6, -5, 19), [2, 3, 3], 3.19.al_cq_als 
(2, -13, 76), [2, 3, 0], 3.19.al_cr_ane 
(0, -11, 58), [0, 1, 2], 3.19.al_cz_aqc 
(0, -11, 59), [0, 1, 3], 3.19.al_da_aqc 
(0, -11, 60), [0, 1, 0], 3.19.al_db_aqc 
(0, -11, 61), [0, 1, 1], 3.19.al_dc_aqc 
(0, -11, 63), [0, 1, 3], 3.19.al_de_aqc 
(0, -11, 64), [0, 1, 0], 3.19.al_df_aqc 
