(-9, -11, 69), [3, 1, 1], 3.23.au_hj_abrj 
(-7, -11, 69), [1, 1, 1], 3.23.as_gn_abmb 
(-4, -14, 92), [0, 2, 0], 3.23.as_gp_abmy 
(-8, -10, 69), [0, 2, 1], 3.23.as_gq_abmy 
(-3, -14, 92), [1, 2, 0], 3.23.ar_gb_abjk 
(-6, -11, 69), [2, 1, 1], 3.23.ar_gc_abjk 
(-9, -7, 23), [3, 1, 3], 3.23.aq_ef_auj 
(0, -16, 108), [0, 0, 0], 3.23.aq_fb_abci 
(-2, -14, 92), [2, 2, 0], 3.23.aq_fn_abfw 
(-5, -11, 69), [3, 1, 1], 3.23.aq_fr_abgt 
(-8, -7, 23), [0, 1, 3], 3.23.ap_dy_atm 
(0, -15, 98), [0, 1, 2], 3.23.ap_er_abao 
(0, -15, 99), [0, 1, 3], 3.23.ap_es_abao 
(0, -15, 101), [0, 1, 1], 3.23.ap_eu_abao 
(-1, -14, 92), [3, 2, 0], 3.23.ap_ez_abci 
(-9, -5, 23), [3, 3, 3], 3.23.ao_dn_aqv 
(-8, -6, 23), [0, 2, 3], 3.23.ao_dq_ars 
(-7, -7, 23), [1, 1, 3], 3.23.ao_dr_asp 
(0, -14, 89), [0, 2, 1], 3.23.ao_ei_ayu 
(0, -14, 90), [0, 2, 2], 3.23.ao_ej_ayu 
(0, -14, 93), [0, 2, 1], 3.23.ao_em_ayu 
(-6, -7, 23), [2, 1, 3], 3.23.an_dk_ars 
(1, -14, 92), [1, 2, 0], 3.23.an_dx_avg 
(0, -13, 79), [0, 3, 3], 3.23.an_dy_axa 
(0, -13, 80), [0, 3, 0], 3.23.an_dz_axa 
(0, -13, 81), [0, 3, 1], 3.23.an_ea_axa 
(0, -13, 83), [0, 3, 3], 3.23.an_ec_axa 
(0, -13, 84), [0, 3, 0], 3.23.an_ed_axa 
(0, -13, 85), [0, 3, 1], 3.23.an_ee_axa 
(0, -13, 87), [0, 3, 3], 3.23.an_eg_axa 
(-2, -11, 69), [2, 1, 1], 3.23.an_ek_ayu 
(-9, -3, 0), [3, 1, 0], 3.23.am_by_afi 
(-8, -4, 0), [0, 0, 0], 3.23.am_cd_ahc 
(-9, -3, 23), [3, 1, 3], 3.23.am_cv_anh 
(-8, -4, 23), [0, 0, 3], 3.23.am_da_aoe 
(-5, -7, 23), [3, 1, 3], 3.23.am_dd_aqv 
(-7, -5, 23), [1, 3, 3], 3.23.am_dd_apb 
(-6, -6, 23), [2, 2, 3], 3.23.am_de_apy 
(2, -14, 92), [2, 2, 0], 3.23.am_dj_ars 
(0, -12, 70), [0, 0, 2], 3.23.am_dp_avg 
(0, -12, 71), [0, 0, 3], 3.23.am_dq_avg 
(0, -12, 72), [0, 0, 0], 3.23.am_dr_avg 
(0, -12, 74), [0, 0, 2], 3.23.am_dt_avg 
(0, -12, 75), [0, 0, 3], 3.23.am_du_avg 
(0, -12, 76), [0, 0, 0], 3.23.am_dv_avg 
(0, -12, 77), [0, 0, 1], 3.23.am_dw_avg 
(0, -12, 79), [0, 0, 3], 3.23.am_dy_avg 
(-1, -11, 69), [3, 1, 1], 3.23.am_dz_awd 
(0, -12, 80), [0, 0, 0], 3.23.am_dz_avg 
(-2, -10, 69), [2, 2, 1], 3.23.am_ei_axa 
(-9, -2, 0), [3, 2, 0], 3.23.al_bp_ado 
(-8, -3, 0), [0, 1, 0], 3.23.al_bv_afi 
(-7, -4, 0), [1, 0, 0], 3.23.al_bz_ahc 
(-8, -3, 23), [0, 1, 3], 3.23.al_cs_amk 
(3, -14, 92), [3, 2, 0], 3.23.al_cv_aoe 
(-4, -7, 23), [0, 1, 3], 3.23.al_cw_apy 
(-6, -5, 23), [2, 3, 3], 3.23.al_cy_aoe 
(0, -11, 60), [0, 1, 0], 3.23.al_df_atm 
(0, -11, 61), [0, 1, 1], 3.23.al_dg_atm 
(0, -11, 62), [0, 1, 2], 3.23.al_dh_atm 
(0, -11, 63), [0, 1, 3], 3.23.al_di_atm 
(0, -11, 65), [0, 1, 1], 3.23.al_dk_atm 
(0, -11, 66), [0, 1, 2], 3.23.al_dl_atm 
(0, -11, 67), [0, 1, 3], 3.23.al_dm_atm 
(0, -11, 68), [0, 1, 0], 3.23.al_dn_atm 
(0, -11, 71), [0, 1, 3], 3.23.al_dq_atm 
(0, -11, 72), [0, 1, 0], 3.23.al_dr_atm 
(0, -11, 73), [0, 1, 1], 3.23.al_ds_atm 
(0, -11, 75), [0, 1, 3], 3.23.al_du_atm 
(-8, -2, -23), [0, 2, 1], 3.23.ak_q_do 
(-9, -1, 0), [3, 3, 0], 3.23.ak_bg_abu 
(-8, -2, 0), [0, 2, 0], 3.23.ak_bn_ado 
(-7, -3, 0), [1, 1, 0], 3.23.ak_bs_afi 
(-6, -4, 0), [2, 0, 0], 3.23.ak_bv_ahc 
(-9, -1, 23), [3, 3, 3], 3.23.ak_cd_ajt 
(4, -14, 92), [0, 2, 0], 3.23.ak_ch_akq 
(-8, -2, 23), [0, 2, 3], 3.23.ak_ck_akq 
(-3, -7, 23), [1, 1, 3], 3.23.ak_cp_apb 
(-7, -3, 23), [1, 1, 3], 3.23.ak_cp_aln 
(-4, -6, 23), [0, 2, 3], 3.23.ak_cs_aoe 
(-6, -4, 23), [2, 0, 3], 3.23.ak_cs_amk 
(-5, -5, 23), [3, 3, 3], 3.23.ak_ct_anh 
(0, -10, 50), [0, 2, 2], 3.23.ak_cv_ars 
(0, -10, 51), [0, 2, 3], 3.23.ak_cw_ars 
(0, -10, 52), [0, 2, 0], 3.23.ak_cx_ars 
(0, -10, 53), [0, 2, 1], 3.23.ak_cy_ars 
(0, -10, 54), [0, 2, 2], 3.23.ak_cz_ars 
(0, -10, 56), [0, 2, 0], 3.23.ak_db_ars 
(0, -10, 57), [0, 2, 1], 3.23.ak_dc_ars 
(0, -10, 58), [0, 2, 2], 3.23.ak_dd_ars 
(1, -11, 69), [1, 1, 1], 3.23.ak_dd_aqv 
(0, -10, 59), [0, 2, 3], 3.23.ak_de_ars 
(0, -10, 60), [0, 2, 0], 3.23.ak_df_ars 
(0, -10, 61), [0, 2, 1], 3.23.ak_dg_ars 
(0, -10, 63), [0, 2, 3], 3.23.ak_di_ars 
(0, -10, 64), [0, 2, 0], 3.23.ak_dj_ars 
(0, -10, 65), [0, 2, 1], 3.23.ak_dk_ars 
(0, -10, 66), [0, 2, 2], 3.23.ak_dl_ars 
(0, -10, 68), [0, 2, 0], 3.23.ak_dn_ars 
(-8, -1, -23), [0, 3, 1], 3.23.aj_i_fi 
(-8, -1, 0), [0, 3, 0], 3.23.aj_bf_abu 
(-7, -2, 0), [1, 2, 0], 3.23.aj_bl_ado 
(-6, -3, 0), [2, 1, 0], 3.23.aj_bp_afi 
