(-10, -12, 78), [2, 0, 2], 3.25.aw_ip_acbc 
(-10, -11, 76), [2, 1, 0], 3.25.av_id_abyk 
(-5, -16, 112), [3, 0, 0], 3.25.av_ij_acai 
(-7, -13, 85), [1, 3, 1], 3.25.au_ht_abvx 
(-10, -9, 56), [2, 3, 0], 3.25.at_gp_abmw 
(-10, -8, 34), [2, 0, 2], 3.25.as_fj_abcm 
(-10, -8, 38), [2, 0, 2], 3.25.as_fn_abea 
(-10, -8, 39), [2, 0, 3], 3.25.as_fo_abek 
(-10, -8, 42), [2, 0, 2], 3.25.as_fr_abfo 
(-10, -8, 46), [2, 0, 2], 3.25.as_fv_abhc 
(-10, -8, 48), [2, 0, 0], 3.25.as_fx_abhw 
(-10, -8, 58), [2, 0, 2], 3.25.as_gh_abls 
(-9, -9, 60), [3, 3, 0], 3.25.as_gk_abmc 
(-9, -9, 65), [3, 3, 1], 3.25.as_gp_abnv 
(-5, -13, 82), [3, 3, 2], 3.25.as_gq_abou 
(-7, -11, 70), [1, 1, 2], 3.25.as_gq_aboa 
(-5, -13, 83), [3, 3, 3], 3.25.as_gr_aboz 
(-5, -13, 84), [3, 3, 0], 3.25.as_gs_abpe 
(-5, -13, 88), [3, 3, 0], 3.25.as_gw_abpy 
(-10, -7, 36), [2, 1, 0], 3.25.ar_fb_abbi 
(-10, -7, 38), [2, 1, 2], 3.25.ar_fd_abcc 
(-8, -9, 45), [0, 3, 1], 3.25.ar_fm_abfe 
(-10, -7, 52), [2, 1, 0], 3.25.ar_fr_abhm 
(-6, -11, 65), [2, 1, 1], 3.25.ar_ga_abke 
(-9, -8, 60), [3, 0, 0], 3.25.ar_gb_abke 
(-5, -12, 76), [3, 0, 0], 3.25.ar_gf_abls 
(-8, -9, 65), [0, 3, 1], 3.25.ar_gg_abli 
(-10, -6, 18), [2, 2, 2], 3.25.aq_dz_asm 
(-10, -6, 19), [2, 2, 3], 3.25.aq_ea_asw 
(-10, -6, 26), [2, 2, 2], 3.25.aq_eh_avo 
(-10, -6, 28), [2, 2, 0], 3.25.aq_ej_awi 
(-10, -6, 37), [2, 2, 1], 3.25.aq_es_azu 
(-8, -8, 35), [0, 0, 3], 3.25.aq_eu_abae 
(-10, -6, 42), [2, 2, 2], 3.25.aq_ex_abbs 
(-9, -7, 40), [3, 1, 0], 3.25.aq_ey_abbi 
(-8, -8, 40), [0, 0, 0], 3.25.aq_ez_abbs 
(-10, -6, 46), [2, 2, 2], 3.25.aq_fb_abdg 
(-7, -9, 45), [1, 3, 1], 3.25.aq_fd_abdl 
(-9, -7, 45), [3, 1, 1], 3.25.aq_fd_abdb 
(-5, -11, 62), [3, 1, 2], 3.25.aq_fm_abhc 
(-5, -11, 63), [3, 1, 3], 3.25.aq_fn_abhh 
(-9, -7, 55), [3, 1, 3], 3.25.aq_fn_abgn 
(-7, -9, 55), [1, 3, 3], 3.25.aq_fn_abgd 
(-5, -11, 64), [3, 1, 0], 3.25.aq_fo_abhm 
(-8, -8, 55), [0, 0, 3], 3.25.aq_fo_abgi 
(-5, -11, 66), [3, 1, 2], 3.25.aq_fq_abhw 
(-7, -9, 60), [1, 3, 0], 3.25.aq_fs_abhm 
(-3, -13, 85), [1, 3, 1], 3.25.aq_ft_abiv 
(-5, -11, 69), [3, 1, 1], 3.25.aq_ft_abil 
(-8, -8, 60), [0, 0, 0], 3.25.aq_ft_abhw 
(-5, -11, 72), [3, 1, 0], 3.25.aq_fw_abja 
(-5, -11, 73), [3, 1, 1], 3.25.aq_fx_abjf 
(-5, -11, 76), [3, 1, 0], 3.25.aq_ga_abju 
(-10, -5, 16), [2, 3, 0], 3.25.ap_dn_apu 
(-10, -5, 18), [2, 3, 2], 3.25.ap_dp_aqo 
(-10, -5, 32), [2, 3, 0], 3.25.ap_ed_avy 
(-9, -6, 30), [3, 2, 2], 3.25.ap_ef_avy 
(-8, -7, 30), [0, 1, 2], 3.25.ap_eh_aws 
(-8, -7, 35), [0, 1, 3], 3.25.ap_em_ayg 
(-9, -6, 40), [3, 2, 0], 3.25.ap_ep_azk 
(-7, -8, 40), [1, 0, 0], 3.25.ap_er_abae 
(-10, -5, 48), [2, 3, 0], 3.25.ap_et_abcc 
(-10, -5, 49), [2, 3, 1], 3.25.ap_eu_abcm 
(-6, -9, 45), [2, 3, 1], 3.25.ap_eu_abbs 
(-5, -10, 52), [3, 2, 0], 3.25.ap_ex_abdg 
(-5, -10, 54), [3, 2, 2], 3.25.ap_ez_abdq 
(-5, -10, 56), [3, 2, 0], 3.25.ap_fb_abea 
(-5, -10, 58), [3, 2, 2], 3.25.ap_fd_abek 
(-4, -11, 65), [0, 1, 1], 3.25.ap_fe_abfe 
(-6, -9, 55), [2, 3, 3], 3.25.ap_fe_abea 
(-2, -13, 85), [2, 3, 1], 3.25.ap_fg_abfo 
(-8, -7, 55), [0, 1, 3], 3.25.ap_fg_abek 
(-5, -10, 62), [3, 2, 2], 3.25.ap_fh_abfe 
(-4, -11, 70), [0, 1, 2], 3.25.ap_fj_abfy 
(-5, -10, 64), [3, 2, 0], 3.25.ap_fj_abfo 
(-6, -9, 60), [2, 3, 0], 3.25.ap_fj_abfe 
(-5, -10, 68), [3, 2, 0], 3.25.ap_fn_abgi 
(-10, -4, -2), [2, 0, 2], 3.25.ao_cl_agy 
(-10, -4, -1), [2, 0, 3], 3.25.ao_cm_ahi 
(-10, -4, 2), [2, 0, 2], 3.25.ao_cp_aim 
(-10, -4, 6), [2, 0, 2], 3.25.ao_ct_aka 
(-10, -4, 14), [2, 0, 2], 3.25.ao_db_anc 
(-10, -4, 17), [2, 0, 1], 3.25.ao_de_aog 
(-10, -4, 22), [2, 0, 2], 3.25.ao_dj_aqe 
(-10, -4, 26), [2, 0, 2], 3.25.ao_dn_ars 
(-8, -6, 20), [0, 2, 0], 3.25.ao_dp_ars 
(-10, -4, 34), [2, 0, 2], 3.25.ao_dv_auu 
(-8, -6, 30), [0, 2, 2], 3.25.ao_dz_auu 
(-10, -4, 39), [2, 0, 3], 3.25.ao_ea_aws 
(-7, -7, 30), [1, 1, 2], 3.25.ao_ea_avo 
(-6, -8, 35), [2, 0, 3], 3.25.ao_ee_axm 
(-10, -4, 44), [2, 0, 0], 3.25.ao_ef_ayq 
(-7, -7, 35), [1, 1, 3], 3.25.ao_ef_awx 
(-10, -4, 46), [2, 0, 2], 3.25.ao_eh_azk 
(-5, -9, 42), [3, 3, 2], 3.25.ao_ei_azk 
