(-3, -1, 2), [0, 2, 2], 3.3.ae_i_am 
(0, -4, 8), [0, 2, 2], 3.3.ae_l_ay 
(-3, -1, 5), [0, 2, 2], 3.3.ae_l_av 
(-3, 0, 4), [0, 0, 1], 3.3.ad_h_am 
(-3, 1, 1), [0, 1, 1], 3.3.ac_b_d 
(-3, 1, 2), [0, 1, 2], 3.3.ac_c_a 
(0, -2, 2), [0, 1, 2], 3.3.ac_f_am 
(-3, 1, 5), [0, 1, 2], 3.3.ac_f_aj 
(0, -2, 4), [0, 1, 1], 3.3.ac_h_am 
(3, -4, 8), [0, 2, 2], 3.3.ab_ab_a 
(0, -1, -2), [0, 2, 1], 3.3.ab_b_ag 
(-3, 2, 4), [0, 2, 1], 3.3.ab_b_a 
(0, -1, -1), [0, 2, 2], 3.3.ab_c_ag 
(0, -1, 1), [0, 2, 1], 3.3.ab_e_ag 
(0, -1, 2), [0, 2, 2], 3.3.ab_f_ag 
(0, 0, -4), [0, 0, 2], 3.3.a_ab_a 
(-3, 3, 7), [0, 0, 1], 3.3.a_b_ad 
(0, 0, -2), [0, 0, 1], 3.3.a_b_a 
(3, -3, 7), [0, 0, 1], 3.3.a_b_d 
(0, 0, -1), [0, 0, 2], 3.3.a_c_a 
(0, 0, 1), [0, 0, 1], 3.3.a_e_a 
(-3, 4, 8), [0, 1, 2], 3.3.b_ab_a 
(3, -2, 4), [0, 1, 1], 3.3.b_b_a 
(0, 1, -2), [0, 1, 1], 3.3.b_b_g 
(0, 1, -1), [0, 1, 2], 3.3.b_c_g 
(0, 1, 1), [0, 1, 1], 3.3.b_e_g 
(0, 1, 2), [0, 1, 2], 3.3.b_f_g 
(3, -1, 1), [0, 2, 1], 3.3.c_b_ad 
(3, -1, 2), [0, 2, 2], 3.3.c_c_a 
(3, -1, 5), [0, 2, 2], 3.3.c_f_j 
(0, 2, 2), [0, 2, 2], 3.3.c_f_m 
(0, 2, 4), [0, 2, 1], 3.3.c_h_m 
(3, 0, 4), [0, 0, 1], 3.3.d_h_m 
(3, 1, 2), [0, 1, 2], 3.3.e_i_m 
(3, 1, 5), [0, 1, 2], 3.3.e_l_v 
(0, 4, 8), [0, 1, 2], 3.3.e_l_y 
