(-2, -2, 1), [2, 2, 1], 3.4.ae_j_as 
(-2, -2, 3), [2, 2, 3], 3.4.ae_l_aw 
(-1, -3, 6), [3, 1, 2], 3.4.ae_n_abe 
(-2, 0, -5), [2, 0, 3], 3.4.ac_ab_k 
(-2, 0, -3), [2, 0, 1], 3.4.ac_b_g 
(-3, 1, 0), [1, 1, 0], 3.4.ac_b_i 
(-1, -1, -2), [3, 3, 2], 3.4.ac_d_ag 
(0, -2, 1), [0, 2, 1], 3.4.ac_f_aq 
(2, -4, 9), [2, 0, 1], 3.4.ac_f_ao 
(-1, -1, 0), [3, 3, 0], 3.4.ac_f_ai 
(-3, 1, 4), [1, 1, 0], 3.4.ac_f_ae 
(0, 0, -7), [0, 0, 1], 3.4.a_ad_a 
(0, 0, -5), [0, 0, 3], 3.4.a_ab_a 
(1, -1, -2), [1, 3, 2], 3.4.a_b_ak 
(3, -3, 6), [3, 1, 2], 3.4.a_b_ag 
(0, 0, -3), [0, 0, 1], 3.4.a_b_a 
(-3, 3, 6), [1, 3, 2], 3.4.a_b_g 
(-1, 1, -2), [3, 1, 2], 3.4.a_b_k 
(1, -1, 0), [1, 3, 0], 3.4.a_d_ai 
(-1, 1, 0), [3, 1, 0], 3.4.a_d_i 
(0, 0, 3), [0, 0, 3], 3.4.a_h_a 
(2, 0, -5), [2, 0, 3], 3.4.c_ab_ak 
(3, -1, 0), [3, 3, 0], 3.4.c_b_ai 
(2, 0, -3), [2, 0, 1], 3.4.c_b_ag 
(1, 1, -2), [1, 1, 2], 3.4.c_d_g 
(3, -1, 4), [3, 3, 0], 3.4.c_f_e 
(1, 1, 0), [1, 1, 0], 3.4.c_f_i 
(-2, 4, 9), [2, 0, 1], 3.4.c_f_o 
(0, 2, 1), [0, 2, 1], 3.4.c_f_q 
(2, 2, 1), [2, 2, 1], 3.4.e_j_s 
(2, 2, 3), [2, 2, 3], 3.4.e_l_w 
(1, 3, 6), [1, 3, 2], 3.4.e_n_be 
