(-3, -3, 5), [2, 2, 0], 3.5.ag_t_abt 
(-3, -2, 0), [2, 3, 0], 3.5.af_l_au 
(-4, -1, 5), [1, 4, 0], 3.5.af_o_abe 
(-2, -3, 5), [3, 2, 0], 3.5.af_q_abo 
(-3, -1, 0), [2, 4, 0], 3.5.ae_i_ak 
(-2, -2, 0), [3, 3, 0], 3.5.ae_j_au 
(0, -4, 8), [0, 1, 3], 3.5.ae_n_abo 
(-1, -3, 5), [4, 2, 0], 3.5.ae_n_abj 
(-2, -2, 5), [3, 3, 0], 3.5.ae_o_abe 
(0, -4, 12), [0, 1, 2], 3.5.ae_r_abo 
(-4, 1, 0), [1, 1, 0], 3.5.ad_b_k 
(-2, -1, -5), [3, 4, 0], 3.5.ad_c_a 
(-4, 1, 5), [1, 1, 0], 3.5.ad_g_ak 
(-1, -2, 0), [4, 3, 0], 3.5.ad_h_au 
(-2, -1, 0), [3, 4, 0], 3.5.ad_h_ak 
(0, -3, 4), [0, 2, 4], 3.5.ad_j_abe 
(-4, 2, 0), [1, 2, 0], 3.5.ac_ad_u 
(-1, -1, -5), [4, 4, 0], 3.5.ac_b_af 
(-4, 2, 5), [1, 2, 0], 3.5.ac_c_a 
(-3, 1, 0), [2, 1, 0], 3.5.ac_c_k 
(0, -2, -1), [0, 3, 4], 3.5.ac_e_au 
(0, -2, 1), [0, 3, 1], 3.5.ac_g_au 
(-1, -1, 0), [4, 4, 0], 3.5.ac_g_ak 
(-3, 1, 5), [2, 1, 0], 3.5.ac_h_af 
(0, -2, 3), [0, 3, 3], 3.5.ac_i_au 
(0, -2, 4), [0, 3, 4], 3.5.ac_j_au 
(0, -2, 6), [0, 3, 1], 3.5.ac_l_au 
(-2, 1, -5), [3, 1, 0], 3.5.ab_ac_u 
(0, -1, -4), [0, 4, 1], 3.5.ab_b_ak 
(0, -1, -3), [0, 4, 2], 3.5.ab_c_ak 
(1, -2, 0), [1, 3, 0], 3.5.ab_d_au 
(-2, 1, 0), [3, 1, 0], 3.5.ab_d_k 
(2, -3, 5), [2, 2, 0], 3.5.ab_e_au 
(0, -1, -1), [0, 4, 4], 3.5.ab_e_ak 
(0, -1, 1), [0, 4, 1], 3.5.ab_g_ak 
(0, -1, 2), [0, 4, 2], 3.5.ab_h_ak 
(0, -1, 3), [0, 4, 3], 3.5.ab_i_ak 
(0, -1, 6), [0, 4, 1], 3.5.ab_l_ak 
(0, 0, -8), [0, 0, 2], 3.5.a_ad_a 
(0, 0, -7), [0, 0, 3], 3.5.a_ac_a 
(1, -1, -5), [1, 4, 0], 3.5.a_ab_ap 
(-1, 1, -5), [4, 1, 0], 3.5.a_ab_p 
(2, -2, 0), [2, 3, 0], 3.5.a_b_au 
(3, -3, 5), [3, 2, 0], 3.5.a_b_ap 
(0, 0, -4), [0, 0, 1], 3.5.a_b_a 
(-3, 3, 5), [2, 3, 0], 3.5.a_b_p 
(-2, 2, 0), [3, 2, 0], 3.5.a_b_u 
(0, 0, -3), [0, 0, 2], 3.5.a_c_a 
(0, 0, -2), [0, 0, 3], 3.5.a_d_a 
(1, -1, 0), [1, 4, 0], 3.5.a_e_ak 
(-1, 1, 0), [4, 1, 0], 3.5.a_e_k 
(2, -2, 5), [2, 3, 0], 3.5.a_g_ak 
(-2, 2, 5), [3, 2, 0], 3.5.a_g_k 
(0, 0, 2), [0, 0, 2], 3.5.a_h_a 
(0, 0, 4), [0, 0, 4], 3.5.a_j_a 
(2, -1, -5), [2, 4, 0], 3.5.b_ac_au 
(0, 1, -4), [0, 1, 1], 3.5.b_b_k 
(0, 1, -3), [0, 1, 2], 3.5.b_c_k 
(2, -1, 0), [2, 4, 0], 3.5.b_d_ak 
(-1, 2, 0), [4, 2, 0], 3.5.b_d_u 
(0, 1, -1), [0, 1, 4], 3.5.b_e_k 
(-2, 3, 5), [3, 3, 0], 3.5.b_e_u 
(0, 1, 1), [0, 1, 1], 3.5.b_g_k 
(0, 1, 2), [0, 1, 2], 3.5.b_h_k 
(0, 1, 3), [0, 1, 3], 3.5.b_i_k 
(0, 1, 6), [0, 1, 1], 3.5.b_l_k 
(4, -2, 0), [4, 3, 0], 3.5.c_ad_au 
(1, 1, -5), [1, 1, 0], 3.5.c_b_f 
(3, -1, 0), [3, 4, 0], 3.5.c_c_ak 
(4, -2, 5), [4, 3, 0], 3.5.c_c_a 
(0, 2, -1), [0, 2, 4], 3.5.c_e_u 
(1, 1, 0), [1, 1, 0], 3.5.c_g_k 
(0, 2, 1), [0, 2, 1], 3.5.c_g_u 
(3, -1, 5), [3, 4, 0], 3.5.c_h_f 
(0, 2, 3), [0, 2, 3], 3.5.c_i_u 
(0, 2, 4), [0, 2, 4], 3.5.c_j_u 
(0, 2, 6), [0, 2, 1], 3.5.c_l_u 
(4, -1, 0), [4, 4, 0], 3.5.d_b_ak 
(2, 1, -5), [2, 1, 0], 3.5.d_c_a 
(4, -1, 5), [4, 4, 0], 3.5.d_g_k 
(2, 1, 0), [2, 1, 0], 3.5.d_h_k 
(1, 2, 0), [1, 2, 0], 3.5.d_h_u 
(0, 3, 4), [0, 3, 4], 3.5.d_j_be 
(3, 1, 0), [3, 1, 0], 3.5.e_i_k 
(2, 2, 0), [2, 2, 0], 3.5.e_j_u 
(1, 3, 5), [1, 3, 0], 3.5.e_n_bj 
(0, 4, 8), [0, 4, 3], 3.5.e_n_bo 
(2, 2, 5), [2, 2, 0], 3.5.e_o_be 
(0, 4, 12), [0, 4, 2], 3.5.e_r_bo 
(3, 2, 0), [3, 2, 0], 3.5.f_l_u 
(4, 1, 5), [4, 1, 0], 3.5.f_o_be 
(2, 3, 5), [2, 3, 0], 3.5.f_q_bo 
(3, 3, 5), [3, 3, 0], 3.5.g_t_bt 
