(0, -7, 25), [0, 0, 4], 3.7.ah_bg_adu 
(-5, -1, 0), [2, 6, 0], 3.7.ag_m_ao 
(-4, -2, 0), [3, 5, 0], 3.7.ag_p_abc 
(-5, -1, 7), [2, 6, 0], 3.7.ag_t_abx 
(-3, -3, 7), [4, 4, 0], 3.7.ag_x_acl 
(0, -6, 18), [0, 1, 4], 3.7.ag_z_adg 
(0, -6, 20), [0, 1, 6], 3.7.ag_bb_adg 
(-4, -1, -7), [3, 6, 0], 3.7.af_e_o 
(-3, -2, 0), [4, 5, 0], 3.7.af_n_abc 
(-4, -1, 7), [3, 6, 0], 3.7.af_s_abq 
(-2, -3, 7), [5, 4, 0], 3.7.af_u_ace 
(0, -5, 19), [0, 2, 5], 3.7.af_ba_acs 
(-5, 1, 0), [2, 1, 0], 3.7.ae_c_o 
(-3, -1, -7), [4, 6, 0], 3.7.ae_d_h 
(-5, 1, 7), [2, 1, 0], 3.7.ae_j_av 
(-3, -1, 0), [4, 6, 0], 3.7.ae_k_ao 
(-2, -2, 0), [5, 5, 0], 3.7.ae_l_abc 
(0, -4, 8), [0, 3, 1], 3.7.ae_p_ace 
(2, -6, 21), [2, 1, 0], 3.7.ae_q_abq 
(0, -4, 10), [0, 3, 3], 3.7.ae_r_ace 
(-1, -3, 7), [6, 4, 0], 3.7.ae_r_abx 
(0, -4, 11), [0, 3, 4], 3.7.ae_s_ace 
(-2, -2, 7), [5, 5, 0], 3.7.ae_s_abq 
(0, -4, 12), [0, 3, 5], 3.7.ae_t_ace 
(-5, 2, 0), [2, 2, 0], 3.7.ad_ad_bc 
(-2, -1, -7), [5, 6, 0], 3.7.ad_c_a 
(-4, 1, 0), [3, 1, 0], 3.7.ad_d_o 
(0, -3, 2), [0, 4, 2], 3.7.ad_j_abq 
(-1, -2, 0), [6, 5, 0], 3.7.ad_j_abc 
(-2, -1, 0), [5, 6, 0], 3.7.ad_j_ao 
(0, -3, 3), [0, 4, 3], 3.7.ad_k_abq 
(-4, 1, 7), [3, 1, 0], 3.7.ad_k_ao 
(0, -3, 5), [0, 4, 5], 3.7.ad_m_abq 
(0, -3, 6), [0, 4, 6], 3.7.ad_n_abq 
(0, -3, 8), [0, 4, 1], 3.7.ad_p_abq 
(0, -3, 9), [0, 4, 2], 3.7.ad_q_abq 
(-2, -1, 7), [5, 6, 0], 3.7.ad_q_abc 
(-5, 3, 7), [2, 3, 0], 3.7.ac_ab_h 
(-4, 2, 0), [3, 2, 0], 3.7.ac_ab_bc 
(-1, -1, -7), [6, 6, 0], 3.7.ac_b_ah 
(0, -2, -3), [0, 5, 4], 3.7.ac_e_abc 
(4, -6, 21), [4, 1, 0], 3.7.ac_e_a 
(-3, 1, 0), [4, 1, 0], 3.7.ac_e_o 
(0, -2, -2), [0, 5, 5], 3.7.ac_f_abc 
(-4, 2, 7), [3, 2, 0], 3.7.ac_g_a 
(0, -2, 1), [0, 5, 1], 3.7.ac_i_abc 
(-1, -1, 0), [6, 6, 0], 3.7.ac_i_ao 
(0, -2, 2), [0, 5, 2], 3.7.ac_j_abc 
(0, -2, 3), [0, 5, 3], 3.7.ac_k_abc 
(0, -2, 4), [0, 5, 4], 3.7.ac_l_abc 
(-3, 1, 7), [4, 1, 0], 3.7.ac_l_ah 
(0, -2, 5), [0, 5, 5], 3.7.ac_m_abc 
(0, -2, 8), [0, 5, 1], 3.7.ac_p_abc 
(-1, -1, 7), [6, 6, 0], 3.7.ac_p_av 
(0, -2, 9), [0, 5, 2], 3.7.ac_q_abc 
(0, -2, 10), [0, 5, 3], 3.7.ac_r_abc 
(-2, 1, -7), [5, 1, 0], 3.7.ab_ac_bc 
(0, -1, -8), [0, 6, 6], 3.7.ab_ab_ao 
(0, -1, -5), [0, 6, 2], 3.7.ab_c_ao 
(-4, 3, 7), [3, 3, 0], 3.7.ab_c_o 
(0, -1, -4), [0, 6, 3], 3.7.ab_d_ao 
(0, -1, -3), [0, 6, 4], 3.7.ab_e_ao 
(1, -2, 0), [1, 5, 0], 3.7.ab_f_abc 
(0, -1, -2), [0, 6, 5], 3.7.ab_f_ao 
(-2, 1, 0), [5, 1, 0], 3.7.ab_f_o 
(0, -1, -1), [0, 6, 6], 3.7.ab_g_ao 
(0, -1, 1), [0, 6, 1], 3.7.ab_i_ao 
(0, -1, 3), [0, 6, 3], 3.7.ab_k_ao 
(0, -1, 4), [0, 6, 4], 3.7.ab_l_ao 
(0, -1, 5), [0, 6, 5], 3.7.ab_m_ao 
(0, -1, 6), [0, 6, 6], 3.7.ab_n_ao 
(0, -1, 9), [0, 6, 2], 3.7.ab_q_ao 
(0, -1, 10), [0, 6, 3], 3.7.ab_r_ao 
(0, 0, -12), [0, 0, 2], 3.7.a_af_a 
(0, 0, -10), [0, 0, 4], 3.7.a_ad_a 
(0, 0, -9), [0, 0, 5], 3.7.a_ac_a 
(1, -1, -7), [1, 6, 0], 3.7.a_ab_av 
(0, 0, -8), [0, 0, 6], 3.7.a_ab_a 
(-1, 1, -7), [6, 1, 0], 3.7.a_ab_v 
(0, 0, -6), [0, 0, 1], 3.7.a_b_a 
(0, 0, -5), [0, 0, 2], 3.7.a_c_a 
(2, -2, 0), [2, 5, 0], 3.7.a_d_abc 
(0, 0, -4), [0, 0, 3], 3.7.a_d_a 
(-2, 2, 0), [5, 2, 0], 3.7.a_d_bc 
(0, 0, -3), [0, 0, 4], 3.7.a_e_a 
(3, -3, 7), [3, 4, 0], 3.7.a_f_av 
(-3, 3, 7), [4, 3, 0], 3.7.a_f_v 
(1, -1, 0), [1, 6, 0], 3.7.a_g_ao 
(0, 0, -1), [0, 0, 6], 3.7.a_g_a 
(-1, 1, 0), [6, 1, 0], 3.7.a_g_o 
(0, 0, 1), [0, 0, 1], 3.7.a_i_a 
(0, 0, 2), [0, 0, 2], 3.7.a_j_a 
(0, 0, 3), [0, 0, 3], 3.7.a_k_a 
(0, 0, 4), [0, 0, 4], 3.7.a_l_a 
(1, -1, 7), [1, 6, 0], 3.7.a_n_ah 
(0, 0, 6), [0, 0, 6], 3.7.a_n_a 
(-1, 1, 7), [6, 1, 0], 3.7.a_n_h 
(0, 0, 8), [0, 0, 1], 3.7.a_p_a 
(0, 0, 9), [0, 0, 2], 3.7.a_q_a 
(2, -1, -7), [2, 6, 0], 3.7.b_ac_abc 
(0, 1, -8), [0, 1, 6], 3.7.b_ab_o 
(4, -3, 7), [4, 4, 0], 3.7.b_c_ao 
(0, 1, -5), [0, 1, 2], 3.7.b_c_o 
(0, 1, -4), [0, 1, 3], 3.7.b_d_o 
(0, 1, -3), [0, 1, 4], 3.7.b_e_o 
(2, -1, 0), [2, 6, 0], 3.7.b_f_ao 
(0, 1, -2), [0, 1, 5], 3.7.b_f_o 
(-1, 2, 0), [6, 2, 0], 3.7.b_f_bc 
(0, 1, -1), [0, 1, 6], 3.7.b_g_o 
(0, 1, 1), [0, 1, 1], 3.7.b_i_o 
(0, 1, 3), [0, 1, 3], 3.7.b_k_o 
(0, 1, 4), [0, 1, 4], 3.7.b_l_o 
(0, 1, 5), [0, 1, 5], 3.7.b_m_o 
(0, 1, 6), [0, 1, 6], 3.7.b_n_o 
(0, 1, 9), [0, 1, 2], 3.7.b_q_o 
(0, 1, 10), [0, 1, 3], 3.7.b_r_o 
(4, -2, 0), [4, 5, 0], 3.7.c_ab_abc 
(5, -3, 7), [5, 4, 0], 3.7.c_ab_ah 
(1, 1, -7), [1, 1, 0], 3.7.c_b_h 
(3, -1, 0), [3, 6, 0], 3.7.c_e_ao 
(-4, 6, 21), [3, 6, 0], 3.7.c_e_a 
(0, 2, -3), [0, 2, 4], 3.7.c_e_bc 
(0, 2, -2), [0, 2, 5], 3.7.c_f_bc 
(4, -2, 7), [4, 5, 0], 3.7.c_g_a 
(1, 1, 0), [1, 1, 0], 3.7.c_i_o 
(0, 2, 1), [0, 2, 1], 3.7.c_i_bc 
(0, 2, 2), [0, 2, 2], 3.7.c_j_bc 
(0, 2, 3), [0, 2, 3], 3.7.c_k_bc 
(3, -1, 7), [3, 6, 0], 3.7.c_l_h 
(0, 2, 4), [0, 2, 4], 3.7.c_l_bc 
