(-4, -4, 9), [4, 4, 1], 3.8.ai_bh_adw 
(-4, -2, -3), [4, 6, 5], 3.8.ag_n_au 
(-4, -2, -1), [4, 6, 7], 3.8.ag_p_abc 
(-3, -3, 4), [5, 5, 4], 3.8.ag_v_aci 
(-5, -1, 8), [3, 7, 0], 3.8.ag_v_ace 
(1, -7, 24), [1, 1, 0], 3.8.ag_z_adk 
(-5, -1, 12), [3, 7, 4], 3.8.ag_z_acy 
(-3, -3, 8), [5, 5, 0], 3.8.ag_z_acu 
(0, -6, 23), [0, 2, 7], 3.8.ag_bf_ads 
(-4, -2, 15), [4, 6, 7], 3.8.ag_bf_ado 
(-4, 0, -15), [4, 0, 1], 3.8.ae_ah_ci 
(-4, 0, -11), [4, 0, 5], 3.8.ae_ad_bs 
(-3, -1, -8), [5, 7, 0], 3.8.ae_d_i 
(-5, 1, 0), [3, 1, 0], 3.8.ae_d_q 
(-4, 0, -5), [4, 0, 3], 3.8.ae_d_u 
(3, -7, 24), [3, 1, 0], 3.8.ae_l_abo 
(-5, 1, 8), [3, 1, 0], 3.8.ae_l_ay 
(-3, -1, 0), [5, 7, 0], 3.8.ae_l_aq 
(0, -4, 7), [0, 4, 7], 3.8.ae_p_acm 
(-1, -3, 4), [7, 5, 4], 3.8.ae_p_aca 
(-5, 1, 12), [3, 1, 4], 3.8.ae_p_abs 
(0, -4, 9), [0, 4, 1], 3.8.ae_r_acm 
(-4, 0, 9), [4, 0, 1], 3.8.ae_r_abk 
(-1, -3, 8), [7, 5, 0], 3.8.ae_t_ace 
(-4, 0, 13), [4, 0, 5], 3.8.ae_v_aca 
(5, -7, 24), [5, 1, 0], 3.8.ac_ad_i 
(-5, 3, 4), [3, 3, 4], 3.8.ac_ad_bc 
(-3, 1, -8), [5, 1, 0], 3.8.ac_ad_bo 
(-4, 2, -3), [4, 2, 5], 3.8.ac_ad_bs 
(-4, 2, -1), [4, 2, 7], 3.8.ac_ab_bk 
(-1, -1, -8), [7, 7, 0], 3.8.ac_b_ai 
(-5, 3, 8), [3, 3, 0], 3.8.ac_b_i 
(4, -6, 19), [4, 2, 3], 3.8.ac_d_au 
(-4, 2, 3), [4, 2, 3], 3.8.ac_d_u 
(0, -2, -3), [0, 6, 5], 3.8.ac_f_abg 
(-4, 2, 5), [4, 2, 5], 3.8.ac_f_m 
(-3, 1, 0), [5, 1, 0], 3.8.ac_f_q 
(0, -2, -1), [0, 6, 7], 3.8.ac_h_abg 
(4, -6, 23), [4, 2, 7], 3.8.ac_h_ae 
(-4, 2, 7), [4, 2, 7], 3.8.ac_h_e 
(1, -3, 4), [1, 5, 4], 3.8.ac_j_abs 
(-1, -1, 0), [7, 7, 0], 3.8.ac_j_aq 
(-4, 2, 9), [4, 2, 1], 3.8.ac_j_ae 
(0, -2, 3), [0, 6, 3], 3.8.ac_l_abg 
(-4, 2, 11), [4, 2, 3], 3.8.ac_l_am 
(1, -3, 8), [1, 5, 0], 3.8.ac_n_abo 
(0, -2, 5), [0, 6, 5], 3.8.ac_n_abg 
(0, -2, 7), [0, 6, 7], 3.8.ac_p_abg 
(-4, 2, 15), [4, 2, 7], 3.8.ac_p_abc 
(0, -2, 9), [0, 6, 1], 3.8.ac_r_abg 
(-1, -1, 8), [7, 7, 0], 3.8.ac_r_ay 
(-3, 1, 12), [5, 1, 4], 3.8.ac_r_au 
(0, -2, 11), [0, 6, 3], 3.8.ac_t_abg 
(-1, -1, 12), [7, 7, 4], 3.8.ac_v_abc 
(0, 0, -13), [0, 0, 3], 3.8.a_af_a 
(0, 0, -11), [0, 0, 5], 3.8.a_ad_a 
(4, -4, 7), [4, 4, 7], 3.8.a_ab_abk 
(1, -1, -8), [1, 7, 0], 3.8.a_ab_ay 
(-1, 1, -8), [7, 1, 0], 3.8.a_ab_y 
(-4, 4, 7), [4, 4, 7], 3.8.a_ab_bk 
(4, -4, 9), [4, 4, 1], 3.8.a_b_abc 
(-4, 4, 9), [4, 4, 1], 3.8.a_b_bc 
(3, -3, 4), [3, 5, 4], 3.8.a_d_abk 
(0, 0, -5), [0, 0, 3], 3.8.a_d_a 
(-3, 3, 4), [5, 3, 4], 3.8.a_d_bk 
(4, -4, 13), [4, 4, 5], 3.8.a_f_am 
(0, 0, -3), [0, 0, 5], 3.8.a_f_a 
(-4, 4, 13), [4, 4, 5], 3.8.a_f_m 
(3, -3, 8), [3, 5, 0], 3.8.a_h_ay 
(1, -1, 0), [1, 7, 0], 3.8.a_h_aq 
(4, -4, 15), [4, 4, 7], 3.8.a_h_ae 
(0, 0, -1), [0, 0, 7], 3.8.a_h_a 
(-4, 4, 15), [4, 4, 7], 3.8.a_h_e 
(-1, 1, 0), [7, 1, 0], 3.8.a_h_q 
(-3, 3, 8), [5, 3, 0], 3.8.a_h_y 
(-4, 4, 17), [4, 4, 1], 3.8.a_j_ae 
(0, 0, 1), [0, 0, 1], 3.8.a_j_a 
