(-2, -2, 2), [0, 0, 0], 3.2.ae_i_am 
(-2, 0, -4), [0, 0, 0], 3.2.ac_ac_i 
(-2, 0, -2), [0, 0, 0], 3.2.ac_a_e 
(0, -2, 2), [0, 0, 0], 3.2.ac_e_ai 
(-2, 0, 2), [0, 0, 0], 3.2.ac_e_ae 
(0, 0, -4), [0, 0, 0], 3.2.a_ac_a 
(2, -2, 2), [0, 0, 0], 3.2.a_a_ae 
(0, 0, -2), [0, 0, 0], 3.2.a_a_a 
(-2, 2, 2), [0, 0, 0], 3.2.a_a_e 
(0, 0, 2), [0, 0, 0], 3.2.a_e_a 
(2, 0, -4), [0, 0, 0], 3.2.c_ac_ai 
(2, 0, -2), [0, 0, 0], 3.2.c_a_ae 
(2, 0, 2), [0, 0, 0], 3.2.c_e_e 
(0, 2, 2), [0, 0, 0], 3.2.c_e_i 
(2, 2, 2), [0, 0, 0], 3.2.e_i_m 
