(-4, -2, 4), [0, 2, 0], 3.4.ag_q_abg 
(-4, 0, -4), [0, 0, 0], 3.4.ae_a_q 
(-4, 0, 0), [0, 0, 0], 3.4.ae_e_a 
(-2, -2, 4), [2, 2, 0], 3.4.ae_m_ay 
(-4, 2, 4), [0, 2, 0], 3.4.ac_a_a 
(-2, 0, -4), [2, 0, 0], 3.4.ac_a_i 
(-2, 0, 0), [2, 0, 0], 3.4.ac_e_a 
(0, -2, 4), [0, 2, 0], 3.4.ac_i_aq 
(0, 0, -4), [0, 0, 0], 3.4.a_a_a 
(2, -2, 4), [2, 2, 0], 3.4.a_e_ai 
(0, 0, 0), [0, 0, 0], 3.4.a_e_a 
(-2, 2, 4), [2, 2, 0], 3.4.a_e_i 
(2, 0, -4), [2, 0, 0], 3.4.c_a_ai 
(4, -2, 4), [0, 2, 0], 3.4.c_a_a 
(2, 0, 0), [2, 0, 0], 3.4.c_e_a 
(0, 2, 4), [0, 2, 0], 3.4.c_i_q 
(4, 0, -4), [0, 0, 0], 3.4.e_a_aq 
(4, 0, 0), [0, 0, 0], 3.4.e_e_a 
(2, 2, 4), [2, 2, 0], 3.4.e_m_y 
(4, 2, 4), [0, 2, 0], 3.4.g_q_bg 
