(-4, -4, 8), [0, 0, 0], 3.8.ai_bg_ads 
(-4, 0, -16), [0, 0, 0], 3.8.ae_ai_cm 
(-4, 0, -8), [0, 0, 0], 3.8.ae_a_bg 
(0, -4, 8), [0, 0, 0], 3.8.ae_q_acm 
(-4, 0, 8), [0, 0, 0], 3.8.ae_q_abg 
(0, 0, -16), [0, 0, 0], 3.8.a_ai_a 
(4, -4, 8), [0, 0, 0], 3.8.a_a_abg 
(0, 0, -8), [0, 0, 0], 3.8.a_a_a 
(-4, 4, 8), [0, 0, 0], 3.8.a_a_bg 
(0, 0, 8), [0, 0, 0], 3.8.a_q_a 
(4, 0, -16), [0, 0, 0], 3.8.e_ai_acm 
(4, 0, -8), [0, 0, 0], 3.8.e_a_abg 
(4, 0, 8), [0, 0, 0], 3.8.e_q_bg 
(0, 4, 8), [0, 0, 0], 3.8.e_q_cm 
(4, 4, 8), [0, 0, 0], 3.8.i_bg_ds 
