(-6, -3, 9), [2, 1, 1], 3.9.aj_bk_aee 
(-6, 0, -9), [2, 0, 3], 3.9.ag_a_cc 
(-3, -3, 9), [1, 1, 1], 3.9.ag_bb_add 
(-6, 3, 9), [2, 3, 1], 3.9.ad_a_a 
(-3, 0, -9), [1, 0, 3], 3.9.ad_a_bb 
(-3, 0, 0), [1, 0, 0], 3.9.ad_j_a 
(0, -3, 9), [0, 1, 1], 3.9.ad_s_acc 
(3, -3, 9), [3, 1, 1], 3.9.a_j_abb 
(-3, 3, 9), [1, 3, 1], 3.9.a_j_bb 
(3, 0, -9), [3, 0, 3], 3.9.d_a_abb 
(6, -3, 9), [2, 1, 1], 3.9.d_a_a 
(3, 0, 0), [3, 0, 0], 3.9.d_j_a 
(0, 3, 9), [0, 3, 1], 3.9.d_s_cc 
(6, 0, -9), [2, 0, 3], 3.9.g_a_acc 
(3, 3, 9), [3, 3, 1], 3.9.g_bb_dd 
(6, 3, 9), [2, 3, 1], 3.9.j_bk_ee 
