(-10, -5, 25), [2, 3, 1], 3.25.ap_dw_atg 
(-10, 0, -25), [2, 0, 3], 3.25.ak_a_jq 
(-10, 0, 0), [2, 0, 0], 3.25.ak_z_a 
(-10, 0, 50), [2, 0, 2], 3.25.ak_cx_atg 
(-5, -5, 25), [3, 3, 1], 3.25.ak_cx_aol 
(-5, 0, 0), [3, 0, 0], 3.25.af_z_a 
(-5, 0, 50), [3, 0, 2], 3.25.af_cx_ajq 
(5, -5, 25), [1, 3, 1], 3.25.a_z_aev 
(-5, 5, 25), [3, 1, 1], 3.25.a_z_ev 
(5, 0, 0), [1, 0, 0], 3.25.f_z_a 
(5, 0, 50), [1, 0, 2], 3.25.f_cx_jq 
(10, 0, -25), [2, 0, 3], 3.25.k_a_ajq 
(10, 0, 0), [2, 0, 0], 3.25.k_z_a 
(5, 5, 25), [1, 1, 1], 3.25.k_cx_ol 
(10, 0, 50), [2, 0, 2], 3.25.k_cx_tg 
(10, 5, 25), [2, 1, 1], 3.25.p_dw_tg 
