(-10, -5, 25), [15, 20, 0], 3.25.ap_dw_atg 
(-10, 0, -25), [15, 0, 0], 3.25.ak_a_jq 
(-10, 0, 0), [15, 0, 0], 3.25.ak_z_a 
(-10, 0, 50), [15, 0, 0], 3.25.ak_cx_atg 
(-5, -5, 25), [20, 20, 0], 3.25.ak_cx_aol 
(-5, 0, 0), [20, 0, 0], 3.25.af_z_a 
(-5, 0, 50), [20, 0, 0], 3.25.af_cx_ajq 
(5, -5, 25), [5, 20, 0], 3.25.a_z_aev 
(-5, 5, 25), [20, 5, 0], 3.25.a_z_ev 
(5, 0, 0), [5, 0, 0], 3.25.f_z_a 
(5, 0, 50), [5, 0, 0], 3.25.f_cx_jq 
(10, 0, -25), [10, 0, 0], 3.25.k_a_ajq 
(10, 0, 0), [10, 0, 0], 3.25.k_z_a 
(5, 5, 25), [5, 5, 0], 3.25.k_cx_ol 
(10, 0, 50), [10, 0, 0], 3.25.k_cx_tg 
(10, 5, 25), [10, 5, 0], 3.25.p_dw_tg 
