(-15, 105, -439), [7, 6, 1], 3.11.ap_eb_aqx 
(-14, 92, -375), [8, 4, 10], 3.11.ao_do_aol 
(-14, 93, -381), [8, 5, 4], 3.11.ao_dp_aor 
(-14, 94, -387), [8, 6, 9], 3.11.ao_dq_aox 
(-14, 95, -394), [8, 7, 2], 3.11.ao_dr_ape 
(-14, 96, -399), [8, 8, 8], 3.11.ao_ds_apj 
(-13, 76, -291), [9, 10, 6], 3.11.an_cy_alf 
(-13, 80, -317), [9, 3, 2], 3.11.an_dc_amf 
(-13, 81, -324), [9, 4, 6], 3.11.an_dd_amm 
(-13, 81, -323), [9, 4, 7], 3.11.an_dd_aml 
(-13, 82, -329), [9, 5, 1], 3.11.an_de_amr 
(-13, 83, -337), [9, 6, 4], 3.11.an_df_amz 
(-13, 83, -335), [9, 6, 6], 3.11.an_df_amx 
(-13, 84, -343), [9, 7, 9], 3.11.an_dg_anf 
(-13, 84, -342), [9, 7, 10], 3.11.an_dg_ane 
(-13, 85, -349), [9, 8, 3], 3.11.an_dh_anl 
(-13, 85, -348), [9, 8, 4], 3.11.an_dh_ank 
(-13, 85, -347), [9, 8, 5], 3.11.an_dh_anj 
(-13, 86, -353), [9, 9, 10], 3.11.an_di_anp 
(-13, 87, -357), [9, 10, 6], 3.11.an_dj_ant 
(-12, 68, -260), [10, 2, 4], 3.11.am_cq_aka 
(-12, 68, -259), [10, 2, 5], 3.11.am_cq_ajz 
(-12, 69, -265), [10, 3, 10], 3.11.am_cr_akf 
(-12, 70, -273), [10, 4, 2], 3.11.am_cs_akn 
(-12, 70, -272), [10, 4, 3], 3.11.am_cs_akm 
(-12, 70, -271), [10, 4, 4], 3.11.am_cs_akl 
(-12, 71, -278), [10, 5, 8], 3.11.am_ct_aks 
(-12, 71, -277), [10, 5, 9], 3.11.am_ct_akr 
(-12, 72, -285), [10, 6, 1], 3.11.am_cu_akz 
(-12, 72, -283), [10, 6, 3], 3.11.am_cu_akx 
(-12, 73, -290), [10, 7, 7], 3.11.am_cv_ale 
(-12, 74, -299), [10, 8, 9], 3.11.am_cw_aln 
